actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-09T23:13:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-09T23:13:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-09T23:13:34.9Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-12-09T23:13:34Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. B. Adebayo: Tip to J. Suggs,"[1630591, 1628976, 1628389]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-09T23:13:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,13.87976346911958,43.627450980392155,1610612753,0,0,2025-12-09T23:14:14Z,70000,False,32.0,78.0,1,left,MISS J. Suggs 8' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,8.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-12-09T23:13:51.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,0,0,2025-12-09T23:14:14Z,80000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-12-09T23:13:59.6Z,1,REGULAR,2pt,Jump Shot,[],203952,76.42904073587385,33.82352941176471,1610612748,0,2,2025-12-09T23:14:05Z,90000,False,-81.0,169.0,1,right,A. Wiggins 18' step back Jump Shot (2 PTS),[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Left Center,18.75,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M14.00S,2025-12-09T23:14:17.2Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,0,2,2025-12-09T23:14:21Z,100000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1626181]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right,,,,,,,,1.0,Powell,1626181.0,,,,,,,,,,
11,PT11M14.00S,2025-12-09T23:14:17.2Z,1,REGULAR,steal,,[],1626181,,,1610612748,0,2,2025-12-09T23:14:18Z,110000,False,,,0,,N. Powell STEAL (1 STL),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2025-12-09T23:14:22.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203952,79.31997371879106,89.95098039215686,1610612748,0,5,2025-12-09T23:14:34Z,120000,False,200.0,142.0,1,right,A. Wiggins 24' 3PT running (5 PTS) (D. Mitchell 1 AST),"[203952, 1630558]",1610612748.0,MIA,running,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,24.51,Made,,,,,5.0,,,,D. Mitchell,1630558.0,1.0,,,,,,,
14,PT10M49.00S,2025-12-09T23:14:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,20.05584756898817,41.17647058823529,1610612753,0,5,2025-12-09T23:15:31Z,140000,False,44.0,136.0,1,left,MISS D. Bane 14' turnaround Shot,[1630217],1610612753.0,ORL,turnaround,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,14.3,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-12-09T23:14:45.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,5,2025-12-09T23:15:31Z,150000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
