actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-21T23:11:08.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-21T23:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-21T23:11:12.0Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-03-21T23:11:12Z,40000,False,,,0,,Jump Ball D. Ayton vs. W. Carter Jr.: Tip to L. James,"[2544, 1629028, 1628976]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Ayton,1629028.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-21T23:11:22.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,94.30026281208936,48.77450980392157,1610612747,0,2,2026-03-21T23:11:27Z,70000,False,-6.0,1.0,1,right,D. Ayton alley-oop DUNK (2 PTS) (A. Reaves 1 AST),"[1629028, 1630559]",1610612747.0,LAL,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.62,Made,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-03-21T23:11:41.0Z,1,REGULAR,turnover,lost ball,[],1630217,,,1610612753,0,2,2026-03-21T23:11:47Z,90000,False,,,0,,D. Bane lost ball TURNOVER (1 TO),"[1630217, 2544]",1610612753.0,ORL,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,James,2544.0,,,,,,,,,,,
10,PT11M27.00S,2026-03-21T23:11:41.0Z,1,REGULAR,steal,,[],2544,,,1610612747,0,2,2026-03-21T23:11:43Z,100000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2026-03-21T23:11:45.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,94.30026281208936,50.49019607843137,1610612747,0,4,2026-03-21T23:11:54Z,110000,False,2.0,1.0,1,right,L. James running DUNK (2 PTS) (A. Reaves 2 AST),"[2544, 1630559]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,0.27,Made,2.0,A. Reaves,1630559.0,2.0,,,,,,,,,,,,,,
13,PT11M10.00S,2026-03-21T23:11:57.6Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,0,4,2026-03-21T23:12:01Z,130000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 2544]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,,,,,1.0,James,2544.0,,,,,,,,,,,
14,PT11M10.00S,2026-03-21T23:11:57.6Z,1,REGULAR,steal,,[],2544,,,1610612747,0,4,2026-03-21T23:11:59Z,140000,False,,,0,,L. James STEAL (2 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2026-03-21T23:12:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629029,92.72339027595268,46.07843137254902,1610612747,0,6,2026-03-21T23:12:09Z,150000,False,-20.0,16.0,1,right,L. Dončić running Layup (2 PTS),[1629029],1610612747.0,LAL,running,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,2.52,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2026-03-21T23:12:27.0Z,1,REGULAR,2pt,Jump Shot,[],1628976,9.411957950065702,65.93137254901961,1610612753,0,6,2026-03-21T23:14:11Z,160000,False,-80.0,36.0,1,left,MISS W. Carter Jr. 8' turnaround fadeaway bank Shot,[1628976],1610612753.0,ORL,turnaround fadeaway bank,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,8.75,Missed,,,,,,,,,,,,,,,,,,
