actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-04T20:11:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-04T20:11:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-04T20:11:43.1Z,1,REGULAR,jumpball,recovered,[],1641710,,,1610612753,0,0,2026-01-04T20:11:43Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Potter: Tip to A. Black,"[1641710, 1628976, 1630695]",1610612753.0,ORL,startperiod,A. Black,1641710.0,Black,A. Black,Carter Jr.,1628976.0,Potter,1630695.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-01-04T20:11:57.8Z,1,REGULAR,3pt,Jump Shot,[],1641710,69.99014454664915,26.225490196078432,1610612753,3,0,2026-01-04T20:12:10Z,70000,False,-119.0,230.0,1,right,A. Black 25' 3PT  (3 PTS) (D. Bane 1 AST),"[1641710, 1630217]",1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,25.86,Made,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-01-04T20:12:12.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630695,5.338370565045992,52.20588235294118,1610612754,3,2,2026-01-04T20:12:17Z,90000,False,-11.0,-2.0,1,left,M. Potter cutting DUNK (2 PTS) (A. Nesmith 1 AST),"[1630695, 1630174]",1610612754.0,IND,cutting,,,Potter,M. Potter,,,,,Restricted Area,0-8 Center,1.12,Made,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2026-01-04T20:12:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,93.77463863337714,55.14705882352941,1610612753,3,2,2026-01-04T20:12:31Z,110000,False,26.0,6.0,1,right,MISS A. Black driving Layup,[1641710],1610612753.0,ORL,driving,,,Black,A. Black,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2026-01-04T20:12:27.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,3,2,2026-01-04T20:12:31Z,120000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M04.00S,2026-01-04T20:12:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,7.835085413929041,40.19607843137255,1610612754,3,4,2026-01-04T20:13:32Z,130000,False,49.0,21.0,1,left,A. Nesmith driving finger roll Layup (2 PTS) (P. Siakam 1 AST),"[1630174, 1627783]",1610612754.0,IND,driving finger roll,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,5.33,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
15,PT10M48.00S,2026-01-04T20:12:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628976,95.53219448094612,5.170036764705882,1610612753,3,4,2026-01-04T20:12:59Z,150000,False,-224.0,-11.0,1,right,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2026-01-04T20:12:52.7Z,1,REGULAR,rebound,defensive,[],1642277,,,1610612754,3,4,2026-01-04T20:12:59Z,160000,False,,,0,,J. Furphy REBOUND (Off:0 Def:1),[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Left Corner 3,24+ Left,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M36.00S,2026-01-04T20:13:04.2Z,1,REGULAR,3pt,Jump Shot,[],1642277,29.911300919842315,68.13725490196079,1610612754,3,4,2026-01-04T20:13:37Z,170000,False,-91.0,229.0,1,left,MISS J. Furphy 24' 3PT - blocked,"[1642277, 1641710]",1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Above the Break 3,24+ Left Center,24.6,Missed,,,,,,,,,Black,1641710.0,,,,,,,,
