actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2026-03-31T23:11:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-31T23:11:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-31T23:11:20.0Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2026-03-31T23:11:20Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. O. Ighodaro: Tip to P. Banchero,"[1631094, 1628976, 1642345]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-03-31T23:11:34.4Z,1,REGULAR,2pt,Jump Shot,[],1630591,19.398817345597898,84.31372549019608,1610612753,2,0,2026-03-31T23:11:40Z,70000,False,-172.0,130.0,1,left,J. Suggs 21' Jump Shot (2 PTS) (P. Banchero 1 AST),"[1630591, 1631094]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,21.52,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
10,PT11M14.00S,2026-03-31T23:12:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,80.89684625492772,41.17647058823529,1610612756,2,2,2026-03-31T23:12:34Z,100000,False,-44.0,127.0,1,right,D. Brooks 13' turnaround fadeaway Jump Shot (2 PTS),[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,13.45,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2026-03-31T23:12:14.1Z,1,REGULAR,foul,personal,[],1628415,,,1610612753,2,2,2026-03-31T23:12:18Z,110000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1631094]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,,,,101284.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,
13,PT11M08.00S,2026-03-31T23:12:28.0Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,2,2,2026-03-31T23:12:39Z,130000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1630224]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Green,1630224.0,,,,,,
14,PT11M08.00S,2026-03-31T23:12:28.0Z,1,REGULAR,steal,,[],1630224,,,1610612756,2,2,2026-03-31T23:12:30Z,140000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2026-03-31T23:12:35.9Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612756,2,2,2026-03-31T23:12:41Z,150000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1630217]",1610612756.0,PHX,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Bane,1630217.0,,,,,,
16,PT11M00.00S,2026-03-31T23:12:35.9Z,1,REGULAR,steal,,[],1630217,,,1610612753,2,2,2026-03-31T23:12:38Z,160000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2026-03-31T23:12:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,7.5722733245729295,57.59803921568627,1610612753,2,2,2026-03-31T23:12:50Z,170000,False,-38.0,19.0,1,left,MISS D. Bane running Layup - blocked,"[1630217, 1642345]",1610612753.0,ORL,running,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,,,,,,,,Ighodaro,1642345.0,,,,
18,PT10M55.00S,2026-03-31T23:12:40.9Z,1,REGULAR,block,,[],1642345,,,1610612753,2,2,2026-03-31T23:12:43Z,180000,False,,,0,,O. Ighodaro BLOCK (1 BLK),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M51.00S,2026-03-31T23:12:44.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,2,2026-03-31T23:12:50Z,190000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0
20,PT10M40.00S,2026-03-31T23:12:57.3Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612756,2,2,2026-03-31T23:15:02Z,200000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 1628976]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,1.0,Carter Jr.,1628976.0,,,,,,
21,PT10M40.00S,2026-03-31T23:12:57.3Z,1,REGULAR,steal,,[],1628976,,,1610612753,2,2,2026-03-31T23:12:59Z,210000,False,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M39.00S,2026-03-31T23:13:04.2Z,1,REGULAR,foul,personal,[],1628415,,,1610612753,2,2,2026-03-31T23:15:17Z,220000,False,,,0,,D. Brooks personal FOUL (2 PF),"[1628415, 1628976]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,101284.0,2.0,0.0,Carter Jr.,1628976.0,,,,,,,,,
24,PT10M31.00S,2026-03-31T23:13:29.1Z,1,REGULAR,foul,technical,['1freethrow'],1628415,,,1610612753,2,2,2026-03-31T23:14:19Z,240000,False,,,0,,D. Brooks technical FOUL (1 Tech),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,,,,,,,101284.0,2.0,1.0,,,,,,,,,,,
27,PT10M31.00S,2026-03-31T23:14:22.2Z,1,REGULAR,foul,technical,[],1630217,,,1610612753,2,2,2026-03-31T23:14:36Z,270000,False,,,0,,D. Bane double technical FOUL (1 Tech),[1630217],1610612753.0,ORL,double,,,Bane,D. Bane,,,,,,,,,,,,,101284.0,0.0,1.0,,,,,,,,,,,
28,PT10M31.00S,2026-03-31T23:14:22.2Z,1,REGULAR,foul,technical,[],1626164,,,1610612753,2,2,2026-03-31T23:14:32Z,280000,False,,,0,,D. Booker double technical FOUL (1 Tech),[1626164],1610612756.0,PHX,double,,,Booker,D. Booker,,,,,,,,,,,,,101284.0,0.0,1.0,,,,,,,,,,,
25,PT10M31.00S,2026-03-31T23:14:22.4Z,1,REGULAR,freethrow,1 of 1,[],1630217,,,1610612753,3,2,2026-03-31T23:48:07Z,285000,False,,,0,,D. Bane technical Free Throw 1 of 1 (1 PTS),[1630217],1610612753.0,ORL,technical,,,Bane,D. Bane,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
29,PT10M21.00S,2026-03-31T23:14:41.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1641783,11.251642575558476,43.872549019607845,1610612753,3,2,2026-03-31T23:14:45Z,290000,False,31.0,53.0,1,left,MISS T. da Silva 6' Hook,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,,,,,,,,,,,,,,
30,PT10M18.00S,2026-03-31T23:14:43.3Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,3,2,2026-03-31T23:14:43Z,300000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0
31,PT10M13.00S,2026-03-31T23:14:52.8Z,1,REGULAR,foul,personal,[],1641783,,,1610612756,3,2,2026-03-31T23:15:19Z,310000,False,,,0,,T. da Silva personal FOUL (1 PF),"[1641783, 1642345]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,101284.0,1.0,0.0,Ighodaro,1642345.0,,,,,,,,,
33,PT10M07.00S,2026-03-31T23:15:12.8Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612756,3,2,2026-03-31T23:15:23Z,330000,False,,,0,,J. Green bad pass TURNOVER (2 TO),"[1630224, 1630591]",1610612756.0,PHX,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2.0,Suggs,1630591.0,,,,,,
34,PT10M07.00S,2026-03-31T23:15:12.8Z,1,REGULAR,steal,,[],1630591,,,1610612753,3,2,2026-03-31T23:15:14Z,340000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT10M02.00S,2026-03-31T23:15:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,6.521024967148489,48.28431372549019,1610612753,5,2,2026-03-31T23:15:36Z,350000,False,9.0,9.0,1,left,D. Bane running reverse Layup (3 PTS) (J. Suggs 1 AST),"[1630217, 1630591]",1610612753.0,ORL,running reverse,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.23,Made,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
37,PT09M52.00S,2026-03-31T23:15:28.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626164,88.38699080157687,37.99019607843137,1610612756,5,2,2026-03-31T23:17:30Z,370000,False,-60.0,57.0,1,right,MISS D. Booker 8' driving Hook,[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,8.26,Missed,,,,,,,,,,,,,,,,,,
