actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-01T02:12:12.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-01T02:12:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-01T02:12:16.0Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-01-01T02:12:16Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Davis: Tip to E. Mobley,"[1630596, 1628386, 203076]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-01-01T02:13:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,92.55913272010513,49.754901960784316,1610612739,0,2,2025-01-01T02:13:15Z,90000,False,-1.0,17.0,1,right,E. Mobley driving finger roll Layup (2 PTS),[1630596],1610612739.0,CLE,driving finger roll,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.74,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-01T02:13:33.8Z,1,REGULAR,2pt,Jump Shot,[],203076,19.23455978975032,70.83333333333333,1610612747,0,2,2025-01-01T02:13:39Z,100000,False,-104.0,128.0,1,left,MISS A. Davis 16' step back Shot,[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,16.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2025-01-01T02:13:38.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,2,2025-01-01T02:13:38Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Mid-Range,16-24 Left Center,,,,10.0,,,,,,,,,,,,,,,,
13,PT11M14.00S,2025-01-01T02:13:54.2Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612747,0,2,2025-01-01T02:14:00Z,130000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Davis 2 FT),"[1630596, 203076]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,1627529.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,
15,PT11M14.00S,2025-01-01T02:14:24.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203076,,,1610612747,1,2,2025-01-01T02:14:24Z,150000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2025-01-01T02:14:50.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203076,,,1610612747,2,2,2025-01-01T02:14:50Z,160000,False,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
17,PT11M03.00S,2025-01-01T02:15:04.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,70.74572930354796,75.98039215686275,1610612739,2,5,2025-01-01T02:15:09Z,170000,False,130.0,222.0,1,right,D. Mitchell 25' 3PT  (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.76,Made,3.0,,,,,,,D. Garland,1629636.0,1.0,,,,,,,,
19,PT10M48.00S,2025-01-01T02:15:18.9Z,1,REGULAR,3pt,Jump Shot,[],2544,28.56438896189225,18.137254901960787,1610612747,2,5,2025-01-01T02:15:23Z,190000,False,159.0,216.0,1,left,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,26.84,Missed,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2025-01-01T02:15:21.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,5,2025-01-01T02:15:23Z,200000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,19.0,,,,,,,,,1.0,1.0,0.0,,,,,
21,PT10M24.00S,2025-01-01T02:15:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630596,75.21353482260184,12.25490196078431,1610612739,2,8,2025-01-01T02:16:41Z,210000,False,-189.0,180.0,1,right,E. Mobley 26' 3PT  (5 PTS) (D. Wade 1 AST),"[1630596, 1629731]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,26.11,Made,5.0,,,,,,,D. Wade,1629731.0,1.0,,,,,,,,
23,PT10M15.00S,2025-01-01T02:15:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,8.196452036793687,50.98039215686275,1610612747,4,8,2025-01-01T02:15:56Z,230000,False,-5.0,25.0,1,left,L. James Layup (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,2.5,Made,2.0,,,,,,,A. Reaves,1630559.0,1.0,,,,,,,,
25,PT09M59.00S,2025-01-01T02:16:08.4Z,1,REGULAR,foul,personal,['3freethrow'],1629060,,,1610612739,4,8,2025-01-01T02:16:15Z,250000,False,,,0,,R. Hachimura shooting personal FOUL (1 PF) (Mitchell 3 FT),"[1629060, 1628378]",1610612747.0,LAL,shooting,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,204059.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,
27,PT09M59.00S,2025-01-01T02:16:39.3Z,1,REGULAR,freethrow,1 of 3,[],1628378,,,1610612739,4,8,2025-01-01T02:17:06Z,270000,False,,,0,,MISS D. Mitchell Free Throw 1 of 3,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M59.00S,2025-01-01T02:16:39.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,4,8,2025-01-01T02:17:06Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,
30,PT09M59.00S,2025-01-01T02:17:07.2Z,1,REGULAR,freethrow,2 of 3,[],1628378,,,1610612739,4,9,2025-01-01T02:17:07Z,300000,False,,,0,,D. Mitchell Free Throw 2 of 3 (4 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
31,PT09M59.00S,2025-01-01T02:17:17.8Z,1,REGULAR,freethrow,3 of 3,[],1628378,,,1610612739,4,10,2025-01-01T02:17:17Z,310000,False,,,0,,D. Mitchell Free Throw 3 of 3 (5 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
33,PT09M45.00S,2025-01-01T02:18:03.0Z,1,REGULAR,3pt,Jump Shot,[],2544,22.38830486202366,89.95098039215686,1610612747,7,10,2025-01-01T02:18:09Z,330000,False,-200.0,158.0,1,left,L. James 25' 3PT  (5 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,25.47,Made,5.0,,,,,,,A. Davis,203076.0,1.0,,,,,,,,
35,PT09M35.00S,2025-01-01T02:18:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,89.79960578186596,35.049019607843135,1610612739,7,12,2025-01-01T02:18:19Z,350000,False,-75.0,43.0,1,right,D. Garland 8' driving floating bank Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Left,8.65,Made,2.0,,,,,,,,,,,,,,,,,
36,PT09M26.00S,2025-01-01T02:18:22.1Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,7,12,2025-01-01T02:18:26Z,360000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1628386]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,Allen,1628386.0,,
37,PT09M26.00S,2025-01-01T02:18:22.1Z,1,REGULAR,steal,,[],1628386,,,1610612739,7,12,2025-01-01T02:18:24Z,370000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
38,PT09M22.00S,2025-01-01T02:18:26.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628378,66.14651773981603,58.82352941176471,1610612739,7,12,2025-01-01T02:18:35Z,380000,False,44.0,266.0,1,right,MISS D. Mitchell 26' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,26.93,Missed,,,,,,,,,,,,,,,,,,
39,PT09M15.00S,2025-01-01T02:18:33.5Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,7,12,2025-01-01T02:18:35Z,390000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,,38.0,,,,,,,,,2.0,1.0,1.0,,,,,
40,PT09M15.00S,2025-01-01T02:18:33.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1628386,94.40999984741211,50.0,1610612739,7,12,2025-01-01T02:18:38Z,400000,False,0.0,0.0,1,right,MISS J. Allen tip Layup,[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
41,PT09M14.00S,2025-01-01T02:18:34.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,7,12,2025-01-01T02:18:38Z,410000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,40.0,,,,,,,,,1.0,1.0,0.0,,,,,
