actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-03T02:40:52.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-03T02:40:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-03T02:40:54.7Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612747,0,0,2025-03-03T02:40:54Z,40000,False,,,0,,Jump Ball J. Hayes vs. I. Zubac: Tip to L. Dončić,"[1629029, 1629637, 1627826]",1610612747.0,LAL,startperiod,L. Dončić,1629029.0,Dončić,L. Dončić,Hayes,1629637.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-03T02:41:08.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,17.000657030223394,5.637254901960787,1610612747,3,0,2025-03-03T02:41:13Z,70000,False,222.0,107.0,1,left,D. Finney-Smith 24' 3PT  (3 PTS) (L. James 1 AST),"[1627827, 2544]",1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,24.64,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-03-03T02:41:31.7Z,1,REGULAR,turnover,lost ball,[],1627739,,,1610612746,3,0,2025-03-03T02:41:35Z,90000,False,,,0,,K. Dunn lost ball TURNOVER (1 TO),"[1627739, 1629029]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Left,,,,,,,1.0,Dončić,1629029.0,,,,,,,,,,,
10,PT11M19.00S,2025-03-03T02:41:31.7Z,1,REGULAR,steal,,[],1629029,,,1610612747,3,0,2025-03-03T02:41:33Z,100000,False,,,0,,L. Dončić STEAL (1 STL),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2025-03-03T02:41:37.6Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612747,3,0,2025-03-03T02:41:42Z,110000,False,,,0,,L. Dončić bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612747.0,LAL,bad pass,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,1630886.0,,,,,,,,,,
12,PT11M07.00S,2025-03-03T02:41:53.8Z,1,REGULAR,foul,offensive,[],1627826,,,1610612746,3,0,2025-03-03T02:42:00Z,120000,False,,,0,,I. Zubac offensive FOUL (1 PF),"[1627826, 2544]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,,,,,,,,1628951.0,1.0,0.0,James,2544.0,,,,,,
14,PT11M07.00S,2025-03-03T02:41:53.8Z,1,REGULAR,turnover,offensive foul,[],1627826,,,1610612746,3,0,2025-03-03T02:41:53Z,140000,False,,,0,,I. Zubac offensive foul TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,1628951.0,,,,,,,,,,
15,PT10M54.00S,2025-03-03T02:42:26.5Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,3,0,2025-03-03T02:42:31Z,150000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,1630886.0,,,,,,,,,,
16,PT10M42.00S,2025-03-03T02:42:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627826,93.08475689881735,56.127450980392155,1610612746,3,2,2025-03-03T02:43:04Z,160000,False,31.0,13.0,1,right,I. Zubac cutting Layup (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
18,PT10M41.00S,2025-03-03T02:42:47.0Z,1,REGULAR,foul,personal,[],1627739,,,1610612747,3,2,2025-03-03T02:42:52Z,180000,False,,,0,,K. Dunn personal FOUL (1 PF),"[1627739, 1629029]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Right,,,,,,,,,,1628951.0,1.0,0.0,Dončić,1629029.0,,,,,,
20,PT10M30.00S,2025-03-03T02:43:12.8Z,1,REGULAR,2pt,Jump Shot,[],1629216,24.096583442838366,64.4607843137255,1610612747,3,2,2025-03-03T02:43:18Z,200000,False,-72.0,174.0,1,left,MISS G. Vincent 18' pullup Shot,[1629216],1610612747.0,LAL,pullup,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left Center,18.84,Missed,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2025-03-03T02:43:15.8Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,3,2,2025-03-03T02:43:18Z,210000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M23.00S,2025-03-03T02:43:23.7Z,1,REGULAR,turnover,out-of-bounds,[],202695,,,1610612746,3,2,2025-03-03T02:43:28Z,220000,False,,,0,,K. Leonard lost ball out-of-bounds TURNOVER (1 TO),[202695],1610612746.0,LAC,lost ball,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right,,,,,,,1.0,,,1628951.0,,,,,,,,,,
23,PT10M14.00S,2025-03-03T02:43:34.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,22.519710906701704,92.15686274509804,1610612747,6,2,2025-03-03T02:43:40Z,230000,False,-211.0,159.0,1,left,L. Dončić 26' 3PT step back (3 PTS),[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,26.42,Made,3.0,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2025-03-03T02:43:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,89.01116951379764,53.18627450980392,1610612746,6,4,2025-03-03T02:44:01Z,240000,False,16.0,51.0,1,right,K. Dunn driving floating Jump Shot (2 PTS),[1627739],1610612746.0,LAC,driving floating,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,5.32,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M37.00S,2025-03-03T02:44:10.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,7.408015768725363,55.14705882352941,1610612747,8,4,2025-03-03T02:44:13Z,250000,False,-26.0,17.0,1,left,D. Finney-Smith driving Layup (5 PTS) (L. James 2 AST),"[1627827, 2544]",1610612747.0,LAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,3.09,Made,5.0,L. James,2544.0,2.0,,,,,,,,,,,,,,
27,PT09M28.00S,2025-03-03T02:44:20.0Z,1,REGULAR,2pt,Jump Shot,[],201935,94.26741130091985,77.45098039215686,1610612746,8,4,2025-03-03T02:44:24Z,270000,False,137.0,1.0,1,right,MISS J. Harden 13' step back Shot,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,13.73,Missed,,,,,,,,,,,,,,,,,,
28,PT09M25.00S,2025-03-03T02:44:23.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,8,4,2025-03-03T02:44:24Z,280000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,
