actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-22T03:40:49.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-22T03:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-22T03:40:53.0Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2024-11-22T03:40:53Z,40000,False,,,0,,Jump Ball A. Davis vs. G. Bitadze: Tip to A. Reaves,"[1630559, 203076, 1629048]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Davis,203076.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-22T03:41:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,93.2161629434954,53.431372549019606,1610612747,2,0,2024-11-22T03:41:06Z,70000,False,17.0,11.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.06,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2024-11-22T03:41:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641783,9.904730617608408,51.22549019607843,1610612753,2,2,2024-11-22T03:41:30Z,80000,False,-6.0,41.0,1,left,T. da Silva driving finger roll Layup (2 PTS) (F. Wagner 1 AST),"[1641783, 1630532]",1610612753.0,ORL,driving finger roll,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,4.11,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
10,PT11M02.00S,2024-11-22T03:41:48.5Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612747,2,2,2024-11-22T03:42:08Z,100000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Davis 2 FT),"[1629048, 203076]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,2005.0,1.0,0.0,Davis,203076.0,,,,,,,,,
12,PT11M02.00S,2024-11-22T03:42:21.6Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,3,2,2024-11-22T03:42:21Z,120000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2024-11-22T03:42:42.6Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,4,2,2024-11-22T03:42:42Z,130000,False,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2024-11-22T03:42:58.8Z,1,REGULAR,foul,personal,['2freethrow'],1629629,,,1610612753,4,2,2024-11-22T03:43:11Z,140000,False,,,0,,C. Reddish shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629629, 1630532]",1610612747.0,LAL,shooting,,,Reddish,C. Reddish,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2005.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,
16,PT10M54.00S,2024-11-22T03:43:24.8Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,4,3,2024-11-22T03:43:24Z,160000,False,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2024-11-22T03:43:45.5Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,4,4,2024-11-22T03:43:45Z,170000,False,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M35.00S,2024-11-22T03:44:07.0Z,1,REGULAR,3pt,Jump Shot,[],1629629,95.05584756898817,5.392156862745097,1610612747,7,4,2024-11-22T03:44:12Z,180000,False,-223.0,-6.0,1,right,C. Reddish 3PT  (3 PTS) (L. James 1 AST),"[1629629, 2544]",1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Left Corner 3,24+ Left,22.31,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
20,PT10M21.00S,2024-11-22T03:44:22.5Z,1,REGULAR,3pt,Jump Shot,[],1630591,34.21484888304862,56.61764705882353,1610612753,7,7,2024-11-22T03:44:28Z,200000,False,-33.0,269.0,1,left,J. Suggs 27' 3PT  (3 PTS) (F. Wagner 2 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,27.11,Made,3.0,F. Wagner,1630532.0,2.0,,,,,,,,,,,,,,
22,PT10M05.00S,2024-11-22T03:44:38.0Z,1,REGULAR,3pt,Jump Shot,[],2544,67.85479632063075,30.392156862745097,1610612747,7,7,2024-11-22T03:44:41Z,220000,False,-98.0,250.0,1,right,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
23,PT10M03.00S,2024-11-22T03:44:40.2Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,7,7,2024-11-22T03:44:40Z,230000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,
24,PT09M48.00S,2024-11-22T03:44:54.9Z,1,REGULAR,3pt,Jump Shot,[],1630591,36.3173455978975,54.65686274509804,1610612753,7,7,2024-11-22T03:45:00Z,240000,False,-23.0,289.0,1,left,MISS J. Suggs 28' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,28.98,Missed,,,,,,,,,,,,,,,,,,
25,PT09M47.00S,2024-11-22T03:44:57.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,7,7,2024-11-22T03:44:57Z,250000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,
26,PT09M47.00S,2024-11-22T03:44:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630559,90.19382391590013,52.69607843137255,1610612747,9,7,2024-11-22T03:45:09Z,260000,False,13.0,40.0,1,right,A. Reaves running Layup (2 PTS) (L. James 2 AST),"[1630559, 2544]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,4.19,Made,2.0,L. James,2544.0,2.0,,,,,,,,,,,,,,
27,PT09M47.00S,2024-11-22T03:45:06.1Z,1,REGULAR,foul,personal,['1freethrow'],1641783,,,1610612747,9,7,2024-11-22T03:45:23Z,270000,False,,,0,,T. da Silva shooting personal FOUL (1 PF) (Reaves 1 FT),"[1641783, 1630559]",1610612753.0,ORL,shooting,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,,,,,,,2005.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,
29,PT09M47.00S,2024-11-22T03:45:24.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630559,,,1610612747,10,7,2024-11-22T03:45:24Z,290000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2024-11-22T03:45:40.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,9.510512483574246,47.05882352941176,1610612753,10,7,2024-11-22T03:45:45Z,300000,False,15.0,37.0,1,left,MISS F. Wagner Hook - blocked,"[1630532, 203076]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,Davis,203076.0,,,
32,PT09M32.00S,2024-11-22T03:45:40.6Z,1,REGULAR,block,,[],203076,,,1610612753,10,7,2024-11-22T03:45:43Z,310000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M28.00S,2024-11-22T03:45:44.6Z,1,REGULAR,rebound,defensive,[],1629629,,,1610612747,10,7,2024-11-22T03:45:45Z,320000,False,,,0,,C. Reddish REBOUND (Off:0 Def:1),[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
34,PT09M26.00S,2024-11-22T03:45:47.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629629,91.24507227332458,50.49019607843137,1610612747,12,7,2024-11-22T03:45:53Z,330000,False,2.0,30.0,1,right,C. Reddish running Layup (5 PTS),[1629629],1610612747.0,LAL,running,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,2.99,Made,5.0,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2024-11-22T03:45:57.4Z,1,REGULAR,2pt,Jump Shot,[],1630591,11.613009198423129,67.40196078431373,1610612753,12,7,2024-11-22T03:46:01Z,340000,False,-87.0,57.0,1,left,MISS J. Suggs 10' pullup bank Shot,[1630591],1610612753.0,ORL,pullup bank,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,10.38,Missed,,,,,,,,,,,,,,,,,,
36,PT09M13.00S,2024-11-22T03:45:59.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,7,2024-11-22T03:46:01Z,350000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT09M10.00S,2024-11-22T03:46:02.6Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,12,7,2024-11-22T03:46:08Z,360000,False,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1629048]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Bitadze,1629048.0
38,PT09M10.00S,2024-11-22T03:46:02.6Z,1,REGULAR,steal,,[],1629048,,,1610612753,12,7,2024-11-22T03:53:47Z,370000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
39,PT09M05.00S,2024-11-22T03:46:07.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630591,30.798291721419176,20.09803921568627,1610612753,12,7,2024-11-22T03:46:12Z,380000,False,150.0,237.0,1,left,MISS J. Suggs 28' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,28.02,Missed,,,,,,,,,,,,,,,,,,
40,PT09M03.00S,2024-11-22T03:46:09.3Z,1,REGULAR,rebound,defensive,[],1629629,,,1610612747,12,7,2024-11-22T03:46:12Z,390000,False,,,0,,C. Reddish REBOUND (Off:0 Def:2),[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,
41,PT08M58.00S,2024-11-22T03:46:13.9Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,12,7,2024-11-22T03:46:17Z,400000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1630591]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Suggs,1630591.0
