actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-22T03:41:04.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-22T03:41:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-22T03:41:06.5Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2025-01-22T03:41:06Z,40000,False,,,0,,Jump Ball A. Davis vs. A. Sarr: Tip to M. Christie,"[1631108, 203076, 1642259]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Davis,203076.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-22T03:41:18.0Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,0,0,2025-01-22T03:41:25Z,70000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1629673]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Right,1.0,Poole,1629673.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-01-22T03:41:18.0Z,1,REGULAR,steal,,[],1629673,,,1610612764,0,0,2025-01-22T03:41:20Z,80000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-01-22T03:41:24.1Z,1,REGULAR,turnover,out-of-bounds,[],1629673,,,1610612764,0,0,2025-01-22T03:41:32Z,90000,False,,,0,,J. Poole bad pass out-of-bounds TURNOVER (1 TO),[1629673],1610612764.0,WAS,bad pass,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,2882.0,,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-01-22T03:41:41.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629060,92.82194480946123,41.666666666666664,1610612747,0,0,2025-01-22T03:42:00Z,100000,False,-42.0,15.0,1,right,MISS R. Hachimura driving Layup - blocked,"[1629060, 1642259]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,4.43,Missed,Sarr,1642259.0,,,,,,,,,,,,
11,PT11M25.00S,2025-01-22T03:41:41.8Z,1,REGULAR,block,,[],1642259,,,1610612747,0,0,2025-01-22T03:41:44Z,110000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2025-01-22T03:41:44.8Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2025-01-22T03:41:49Z,120000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
13,PT11M13.00S,2025-01-22T03:41:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,16.343626806833115,52.450980392156865,1610612764,0,0,2025-01-22T03:42:02Z,130000,False,-12.0,101.0,1,left,MISS A. Sarr 10' fadeaway Shot - blocked,"[1642259, 203076]",1610612764.0,WAS,fadeaway,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.18,Missed,Davis,203076.0,,,,,,,,,,,,
14,PT11M13.00S,2025-01-22T03:41:53.8Z,1,REGULAR,block,,[],203076,,,1610612764,0,0,2025-01-22T03:41:58Z,140000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2025-01-22T03:41:57.8Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,0,2025-01-22T03:42:02Z,150000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
16,PT11M02.00S,2025-01-22T03:42:05.5Z,1,REGULAR,3pt,Jump Shot,[],1629060,71.7969776609724,20.09803921568627,1610612747,0,0,2025-01-22T03:42:11Z,160000,False,-150.0,213.0,1,right,MISS R. Hachimura 25' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,25.99,Missed,,,,,,,,,,,,,,
17,PT10M56.00S,2025-01-22T03:42:11.5Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2025-01-22T03:42:11Z,170000,False,,,0,,B. Carrington REBOUND (Off:0 Def:2),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,
18,PT10M44.00S,2025-01-22T03:42:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,8.459264126149804,45.09803921568627,1610612764,0,0,2025-01-22T03:42:27Z,180000,False,25.0,27.0,1,left,MISS K. Kuzma driving Layup,[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,3.65,Missed,,,,,,,,,,,,,,
19,PT10M41.00S,2025-01-22T03:42:26.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2025-01-22T03:42:27Z,190000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M33.00S,2025-01-22T03:42:34.2Z,1,REGULAR,3pt,Jump Shot,[],1631108,96.36990801576873,96.07843137254902,1610612747,0,0,2025-01-22T03:42:40Z,200000,False,230.0,-18.0,1,right,MISS M. Christie 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Right Corner 3,24+ Right,,,,,23.11,Missed,,,,,,,,,,,,,,
21,PT10M28.00S,2025-01-22T03:42:39.2Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2025-01-22T03:42:40Z,210000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Right Corner 3,24+ Right,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT10M16.00S,2025-01-22T03:42:50.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641731,6.750985545335084,49.50980392156863,1610612764,0,2,2025-01-22T03:42:55Z,220000,False,2.0,11.0,1,left,B. Coulibaly driving DUNK (2 PTS) (A. Sarr 1 AST),"[1641731, 1642259]",1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,1.13,Made,,,,,,,2.0,A. Sarr,1642259.0,1.0,,,,
24,PT10M02.00S,2025-01-22T03:43:07.1Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,0,2,2025-01-22T03:43:13Z,240000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,,,,,,,
25,PT09M47.00S,2025-01-22T03:43:26.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,7.933639947437584,4.411764705882348,1610612764,0,2,2025-01-22T03:43:31Z,250000,False,228.0,22.0,1,left,MISS J. Poole 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,,,,22.9,Missed,,,,,,,,,,,,,,
26,PT09M43.00S,2025-01-22T03:43:30.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,2,2025-01-22T03:43:31Z,260000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,
27,PT09M26.00S,2025-01-22T03:43:47.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,93.08475689881735,49.754901960784316,1610612747,2,2,2025-01-22T03:43:52Z,270000,False,-1.0,13.0,1,right,R. Hachimura cutting DUNK (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,cutting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,1.26,Made,,,,,,,2.0,L. James,2544.0,1.0,,,,
29,PT09M17.00S,2025-01-22T03:44:00.5Z,1,REGULAR,2pt,Jump Shot,[],1629673,11.218791064388967,26.225490196078425,1610612764,2,4,2025-01-22T03:44:05Z,290000,False,119.0,53.0,1,left,J. Poole 13' driving bank Jump Shot (2 PTS),[1629673],1610612764.0,WAS,driving bank,,,Poole,J. Poole,,,,,Mid-Range,8-16 Right,,,,,13.02,Made,,,,,,,2.0,,,,,,,
