actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-28T03:41:10.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-28T03:41:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-28T03:41:13.2Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-02-28T03:41:13Z,40000,False,,,0,,Jump Ball J. Hayes vs. N. Reid: Tip to L. James,"[2544, 1629637, 1629675]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-02-28T03:41:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630559,40.390932982917214,50.73529411764706,1610612747,3,0,2025-02-28T03:41:50Z,70000,False,-4.0,327.0,1,left,A. Reaves 32' 3PT pullup (3 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,32.72,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2025-02-28T03:41:53.8Z,1,REGULAR,3pt,Jump Shot,[],1641740,73.242444152431,82.59803921568627,1610612750,3,3,2025-02-28T03:42:00Z,80000,False,163.0,199.0,1,right,J. Clark 25' 3PT  (3 PTS) (N. Reid 1 AST),"[1641740, 1629675]",1610612750.0,MIN,,,,Clark,J. Clark,,,,,Above the Break 3,24+ Right Center,25.72,Made,3.0,N. Reid,1629675.0,1.0,,,,,,,,,,,,,,
10,PT11M07.00S,2025-02-28T03:42:03.6Z,1,REGULAR,turnover,offensive-kicked-ball,[],1630559,,,1610612747,3,3,2025-02-28T03:42:19Z,100000,False,,,0,,A. Reaves offensive-kicked-ball TURNOVER (1 TO),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,,
11,PT10M55.00S,2025-02-28T03:42:28.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,81.38961892247043,38.970588235294116,1610612750,3,3,2025-02-28T03:42:32Z,110000,False,-55.0,122.0,1,right,MISS J. McDaniels 13' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,13.42,Missed,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2025-02-28T03:42:29.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,3,3,2025-02-28T03:42:51Z,120000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M44.00S,2025-02-28T03:42:39.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,7.145203679369246,47.549019607843135,1610612747,5,3,2025-02-28T03:42:45Z,130000,False,12.0,15.0,1,left,J. Hayes DUNK (2 PTS) (L. Dončić 1 AST),"[1629637, 1629029]",1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,1.92,Made,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,,,
15,PT10M32.00S,2025-02-28T03:42:51.9Z,1,REGULAR,3pt,Jump Shot,[],1629675,73.76806833114324,19.117647058823522,1610612750,5,3,2025-02-28T03:42:56Z,150000,False,-154.0,194.0,1,right,MISS N. Reid 24' step back 3PT,[1629675],1610612750.0,MIN,step back,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
16,PT10M29.00S,2025-02-28T03:42:54.9Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,5,3,2025-02-28T03:42:56Z,160000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M18.00S,2025-02-28T03:43:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,16.737844940867276,39.4607843137255,1610612747,7,3,2025-02-28T03:43:11Z,170000,False,53.0,105.0,1,left,L. Dončić 11' fadeaway Jump Shot (2 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,11.73,Made,2.0,,,,,,,,,,,,,,,,,
18,PT09M57.00S,2025-02-28T03:43:27.5Z,1,REGULAR,3pt,Jump Shot,[],201144,67.59198423127464,34.31372549019608,1610612750,7,3,2025-02-28T03:43:55Z,180000,False,-78.0,252.0,1,right,MISS M. Conley 26' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,26.4,Missed,,,,,,,,,,,,,,,,,,
19,PT09M54.00S,2025-02-28T03:43:30.5Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,7,3,2025-02-28T03:43:35Z,190000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT09M52.00S,2025-02-28T03:43:32.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,8.590670170827863,48.529411764705884,1610612747,9,3,2025-02-28T03:43:43Z,200000,False,7.0,28.0,1,left,L. James running Layup (2 PTS) (L. Dončić 2 AST),"[2544, 1629029]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,2.93,Made,2.0,L. Dončić,1629029.0,2.0,,,,,,,,,,,,,,
