actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-24T03:41:37.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-24T03:41:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-24T03:41:41.5Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2024-12-24T03:41:41Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Davis: Tip to J. Ivey,"[1631093, 1631105, 203076]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Duren,1631105.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-12-24T03:41:53.9Z,1,REGULAR,foul,personal,['2freethrow'],2544,,,1610612765,0,0,2024-12-24T03:42:05Z,70000,False,,,0,,L. James shooting personal FOUL (1 PF) (Cunningham 2 FT),"[2544, 1630595]",1610612747.0,LAL,shooting,,,James,L. James,,,,,Restricted Area,0-8 Center,203591.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2024-12-24T03:42:19.7Z,1,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,0,1,2024-12-24T03:42:19Z,90000,False,,,0,,C. Cunningham Free Throw 1 of 2 (1 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2024-12-24T03:42:34.7Z,1,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,0,2,2024-12-24T03:42:34Z,100000,False,,,0,,C. Cunningham Free Throw 2 of 2 (2 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M32.00S,2024-12-24T03:42:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,85.98883048620237,59.55882352941176,1610612747,2,2,2024-12-24T03:42:54Z,110000,False,48.0,79.0,1,right,A. Reaves 9' driving floating Jump Shot (2 PTS) (A. Davis 1 AST),"[1630559, 203076]",1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,9.25,A. Davis,203076.0,1.0,,,,,,,,,
13,PT11M22.00S,2024-12-24T03:43:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.276609724047319,55.3921568627451,1610612765,2,2,2024-12-24T03:43:06Z,130000,False,-27.0,16.0,1,left,MISS C. Cunningham reverse Layup,[1630595],1610612765.0,DET,reverse,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.13,,,,,,,,,,,,
14,PT11M20.00S,2024-12-24T03:43:04.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,2,2024-12-24T03:43:06Z,140000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M12.00S,2024-12-24T03:43:12.3Z,1,REGULAR,3pt,Jump Shot,[],203076,71.66557161629436,25.490196078431367,1610612747,5,2,2024-12-24T03:43:16Z,150000,False,-123.0,214.0,1,right,A. Davis 24' 3PT  (3 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,24.64,L. James,2544.0,1.0,,,,,,,,,
17,PT10M47.00S,2024-12-24T03:43:36.5Z,1,REGULAR,3pt,Jump Shot,[],203501,34.477660972404735,73.77450980392157,1610612765,5,5,2024-12-24T03:43:41Z,170000,False,-119.0,272.0,1,left,T. Hardaway Jr. 29' 3PT  (3 PTS) (C. Cunningham 1 AST),"[203501, 1630595]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,29.65,C. Cunningham,1630595.0,1.0,,,,,,,,,
