actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-12T02:41:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-12T02:41:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-12T02:41:44.7Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612747,0,0,2025-04-12T02:41:44Z,40000,False,,,0,,Jump Ball J. Hayes vs. J. Landale: Tip to L. Dončić,"[1629029, 1629637, 1629111]",1610612747.0,LAL,startperiod,L. Dončić,1629029.0,Dončić,L. Dončić,Hayes,1629637.0,Landale,1629111.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-04-12T02:42:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,9.247700394218143,47.79411764705882,1610612747,0,0,2025-04-12T02:42:23Z,80000,False,11.0,34.0,1,left,MISS L. Dončić driving Layup,[1629029],1610612747.0,LAL,driving,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-04-12T02:42:13.6Z,1,REGULAR,rebound,defensive,[],201145,,,1610612745,0,0,2025-04-12T02:42:36Z,90000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M30.00S,2025-04-12T02:42:26.0Z,1,REGULAR,3pt,Jump Shot,[],1642263,75.73915900131406,12.5,1610612745,0,3,2025-04-12T02:42:30Z,100000,False,-188.0,176.0,1,right,R. Sheppard 25' 3PT  (3 PTS) (J. Green 1 AST),"[1642263, 201145]",1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,25.69,Made,,,,,3.0,J. Green,201145.0,1.0,,,,,,,,,,
12,PT11M17.00S,2025-04-12T02:42:39.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,6.750985545335084,47.549019607843135,1610612747,2,3,2025-04-12T02:42:44Z,120000,False,12.0,11.0,1,left,L. James alley-oop DUNK (2 PTS) (L. Dončić 1 AST),"[2544, 1629029]",1610612747.0,LAL,alley-oop,,,James,L. James,,,,,Restricted Area,0-8 Center,1.65,Made,,,,,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,
14,PT10M59.00S,2025-04-12T02:42:57.8Z,1,REGULAR,3pt,Jump Shot,[],1641715,83.88633377135349,96.07843137254902,1610612745,2,6,2025-04-12T02:43:02Z,140000,False,230.0,99.0,1,right,C. Whitmore 25' 3PT step back (3 PTS),[1641715],1610612745.0,HOU,step back,,,Whitmore,C. Whitmore,,,,,Above the Break 3,24+ Right Center,25.08,Made,,,,,3.0,,,,,,,,,,,,,
15,PT10M51.00S,2025-04-12T02:43:05.0Z,1,REGULAR,3pt,Jump Shot,[],2544,31.192509855453352,27.205882352941174,1610612747,5,6,2025-04-12T02:43:10Z,150000,False,114.0,241.0,1,left,L. James 26' 3PT pullup (5 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Right Center,26.63,Made,,,,,5.0,,,,,,,,,,,,,
16,PT10M39.00S,2025-04-12T02:43:16.1Z,1,REGULAR,3pt,Jump Shot,[],1641715,67.59198423127464,67.8921568627451,1610612745,5,6,2025-04-12T02:44:01Z,160000,False,89.0,252.0,1,right,MISS C. Whitmore 26' pullup 3PT,[1641715],1610612745.0,HOU,pullup,,,Whitmore,C. Whitmore,,,,,Above the Break 3,24+ Right Center,26.75,Missed,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2025-04-12T02:43:18.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,5,6,2025-04-12T02:43:22Z,170000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M35.00S,2025-04-12T02:43:22.7Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612747,5,6,2025-04-12T02:43:29Z,180000,False,,,0,,L. Dončić bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612747.0,LAL,bad pass,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627524.0,1.0,,,,,,,,
19,PT10M13.00S,2025-04-12T02:43:53.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642263,86.25164257555848,56.86274509803921,1610612745,5,6,2025-04-12T02:44:00Z,190000,False,34.0,77.0,1,right,MISS R. Sheppard 8' driving floating Shot,[1642263],1610612745.0,HOU,driving floating,,,Sheppard,R. Sheppard,,,,,In The Paint (Non-RA),8-16 Center,8.4,Missed,,,,,,,,,,,,,,,,,,
20,PT10M10.00S,2025-04-12T02:43:56.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,5,6,2025-04-12T02:44:00Z,200000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
