actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-09T02:40:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-09T02:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-09T02:40:41.9Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612747,0,0,2024-12-09T02:40:42Z,40000,False,,,0,,Jump Ball A. Davis vs. D. Ayton: Tip to G. Vincent,"[1629216, 203076, 1629028]",1610612747.0,LAL,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Davis,203076.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-12-09T02:41:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,81.65243101182654,37.99019607843137,1610612747,0,0,2024-12-09T02:41:06Z,70000,False,-60.0,120.0,1,right,MISS G. Vincent 13' driving floating Shot,[1629216],1610612747.0,LAL,driving floating,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,13.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-12-09T02:41:03.2Z,1,REGULAR,rebound,offensive,[],1629216,,,1610612747,0,0,2024-12-09T02:41:06Z,80000,False,,,0,,G. Vincent REBOUND (Off:1 Def:0),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-12-09T02:41:05.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642261,64.70105124835743,62.745098039215684,1610612747,0,0,2024-12-09T02:41:10Z,90000,False,64.0,279.0,1,right,MISS D. Knecht 28' 3PT,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Center,28.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2024-12-09T02:41:09.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,0,2024-12-09T02:41:10Z,100000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2024-12-09T02:41:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,7.670827858081481,56.86274509803921,1610612757,0,0,2024-12-09T02:41:24Z,110000,False,-34.0,20.0,1,left,MISS S. Sharpe driving Layup - blocked,"[1631101, 203076]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,3.95,Missed,,,,,Davis,203076.0,,,,,,,,,,,,
12,PT11M19.00S,2024-12-09T02:41:18.2Z,1,REGULAR,block,,[],203076,,,1610612757,0,0,2024-12-09T02:41:20Z,120000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2024-12-09T02:41:21.2Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,0,0,2024-12-09T02:41:24Z,130000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M09.00S,2024-12-09T02:41:28.1Z,1,REGULAR,turnover,lost ball,[],1629060,,,1610612747,0,0,2024-12-09T02:41:36Z,140000,False,,,0,,R. Hachimura lost ball TURNOVER (1 TO),"[1629060, 203924]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,Grant,203924.0,,,,,,,,,
15,PT11M09.00S,2024-12-09T02:41:28.1Z,1,REGULAR,steal,,[],203924,,,1610612757,0,0,2024-12-09T02:41:33Z,150000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2024-12-09T02:41:35.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203924,8.590670170827863,4.901960784313729,1610612757,0,0,2024-12-09T02:42:49Z,160000,False,225.0,28.0,1,left,MISS J. Grant running 3PT,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,22.73,Missed,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2024-12-09T02:41:37.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2024-12-09T02:41:41Z,170000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Right Corner 3,24+ Right,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M45.00S,2024-12-09T02:41:52.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,90.53876478318003,63.67953431372549,1610612747,2,0,2024-12-09T02:41:58Z,180000,False,68.0,36.0,1,right,A. Davis 7' bank Hook (2 PTS),[203076],1610612747.0,LAL,bank,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.75,Made,,,,,,,,,,2.0,,,,,,,,
19,PT10M31.00S,2024-12-09T02:42:06.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,12.270039421813408,73.0392156862745,1610612757,2,0,2024-12-09T02:42:11Z,190000,False,-115.0,63.0,1,left,MISS D. Ayton 13' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,13.12,Missed,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2024-12-09T02:42:10.4Z,1,REGULAR,rebound,defensive,[],1642261,,,1610612747,2,0,2024-12-09T02:42:11Z,200000,False,,,0,,D. Knecht REBOUND (Off:0 Def:1),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Mid-Range,8-16 Left,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M17.00S,2024-12-09T02:42:20.4Z,1,REGULAR,2pt,Jump Shot,[],203076,77.57884362680683,56.86274509803921,1610612747,2,0,2024-12-09T02:42:26Z,210000,False,34.0,158.0,1,right,MISS A. Davis 16' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,16.2,Missed,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2024-12-09T02:42:25.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,2,0,2024-12-09T02:42:26Z,220000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M04.00S,2024-12-09T02:42:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,19.49737187910644,65.68627450980392,1610612757,2,2,2024-12-09T02:42:37Z,230000,False,-78.0,131.0,1,left,S. Sharpe 15' fadeaway Jump Shot (2 PTS),[1631101],1610612757.0,POR,fadeaway,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Left,15.25,Made,,,,,,,,,,2.0,,,,,,,,
24,PT09M43.00S,2024-12-09T02:42:56.3Z,1,REGULAR,violation,kicked ball,[],203924,,,1610612747,2,2,2024-12-09T02:43:02Z,240000,False,,,0,,J. Grant kicked ball VIOLATION,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,1662.0,,,,,,,
25,PT09M36.00S,2024-12-09T02:43:21.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,94.3988173455979,50.0,1610612747,4,2,2024-12-09T02:43:26Z,250000,False,0.0,0.0,1,right,R. Hachimura driving DUNK (2 PTS) (M. Christie 1 AST),"[1629060, 1631108]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,0.02,Made,,,,,,,,,,2.0,,M. Christie,1631108.0,1.0,,,,
27,PT09M20.00S,2024-12-09T02:43:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,7.670827858081481,48.28431372549019,1610612757,4,2,2024-12-09T02:43:41Z,270000,False,9.0,20.0,1,left,MISS D. Ayton driving Layup,[1629028],1610612757.0,POR,driving,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2024-12-09T02:43:40.2Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,4,2,2024-12-09T02:43:40Z,280000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,,,
29,PT09M16.00S,2024-12-09T02:43:40.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629028,5.590000152587891,50.0,1610612757,4,4,2024-12-09T02:43:42Z,290000,False,0.0,0.0,1,left,D. Ayton tip Layup (2 PTS),[1629028],1610612757.0,POR,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,2.0,,,,,,,,
30,PT09M11.00S,2024-12-09T02:43:50.8Z,1,REGULAR,foul,offensive,[],1629216,,,1610612747,4,4,2024-12-09T02:44:05Z,300000,False,,,0,,G. Vincent offensive FOUL (1 PF),"[1629216, 1641739]",1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202037.0,,,,1.0,0.0,Camara,1641739.0
32,PT09M11.00S,2024-12-09T02:43:50.8Z,1,REGULAR,turnover,offensive foul,[],1629216,,,1610612747,4,4,2024-12-09T02:43:50Z,320000,False,,,0,,G. Vincent offensive foul TURNOVER (1 TO),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,202037.0,,,,,,,
33,PT08M52.00S,2024-12-09T02:44:27.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629028,7.408015768725363,52.450980392156865,1610612757,4,6,2024-12-09T02:44:30Z,330000,False,-12.0,17.0,1,left,D. Ayton DUNK (4 PTS) (S. Sharpe 1 AST),"[1629028, 1631101]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,,,,,4.0,,S. Sharpe,1631101.0,1.0,,,,
35,PT08M31.00S,2024-12-09T02:44:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,81.73455978975034,37.354473039215684,1610612747,4,6,2024-12-09T02:44:52Z,350000,False,-63.0,119.0,1,right,MISS A. Davis 13' turnaround fadeaway Shot,[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,13.49,Missed,,,,,,,,,,,,,,,,,,
36,PT08M29.00S,2024-12-09T02:44:49.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,4,6,2024-12-09T02:44:52Z,360000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M11.00S,2024-12-09T02:45:07.9Z,1,REGULAR,3pt,Jump Shot,[],1629014,35.66031537450722,66.91176470588235,1610612757,4,9,2024-12-09T02:49:16Z,370000,False,-85.0,283.0,1,left,A. Simons 29' 3PT step back (3 PTS),[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,29.51,Made,,,,,,,,,,3.0,,,,,,,,
39,PT07M49.00S,2024-12-09T02:45:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,88.09132720105124,52.450980392156865,1610612747,6,9,2024-12-09T02:49:53Z,390000,False,12.0,59.0,1,right,A. Davis 6' driving floating Jump Shot (4 PTS),[203076],1610612747.0,LAL,driving floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,6.07,Made,,,,,,,,,,4.0,,,,,,,,
40,PT07M39.00S,2024-12-09T02:45:58.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,31.45532194480947,80.14705882352942,1610612757,6,12,2024-12-09T02:46:03Z,400000,False,-151.0,243.0,1,left,S. Sharpe 28' 3PT pullup (5 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,28.61,Made,,,,,,,,,,5.0,,,,,,,,
41,PT07M21.00S,2024-12-09T02:46:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,84.4119579500657,49.754901960784316,1610612747,6,12,2024-12-09T02:46:22Z,410000,False,-1.0,94.0,1,right,MISS G. Vincent 9' driving floating Shot - blocked,"[1629216, 1629014]",1610612747.0,LAL,driving floating,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,9.4,Missed,,,,,Simons,1629014.0,,,,,,,,,,,,
42,PT07M21.00S,2024-12-09T02:46:17.1Z,1,REGULAR,block,,[],1629014,,,1610612747,6,12,2024-12-09T02:46:18Z,420000,False,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M17.00S,2024-12-09T02:46:21.1Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,6,12,2024-12-09T02:46:22Z,430000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M17.00S,2024-12-09T02:46:21.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203076,94.40999984741211,50.0,1610612747,8,12,2024-12-09T02:46:24Z,440000,False,0.0,0.0,1,right,A. Davis putback Layup (6 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,6.0,,,,,,,,
45,PT07M07.00S,2024-12-09T02:46:31.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.009855453350852,77.20588235294117,1610612757,8,12,2024-12-09T02:46:35Z,450000,False,-136.0,230.0,1,left,MISS A. Simons 26' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.69,Missed,,,,,,,,,,,,,,,,,,
46,PT07M04.00S,2024-12-09T02:46:34.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,8,12,2024-12-09T02:46:35Z,460000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,45.0,3.0,2.0,1.0,,,,,,,,,,,,,,
47,PT06M57.00S,2024-12-09T02:46:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,91.37647831800263,59.068627450980394,1610612747,10,12,2024-12-09T02:46:45Z,470000,False,45.0,29.0,1,right,A. Davis driving Layup (8 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,5.36,Made,,,,,,,,,,8.0,,,,,,,,
