actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-16T19:42:35.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T19:42:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-16T19:42:58.2Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612747,0,0,2025-03-16T19:42:58Z,40000,False,,,0,,Jump Ball J. Hayes vs. N. Richards: Tip to L. Dončić,"[1629029, 1629637, 1630208]",1610612747.0,LAL,startperiod,L. Dončić,1629029.0,Dončić,L. Dončić,Hayes,1629637.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-16T19:43:13.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,8.590670170827863,95.83333333333333,1610612747,0,0,2025-03-16T19:43:54Z,70000,False,-229.0,28.0,1,left,MISS L. Dončić 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Left Corner 3,24+ Left,23.09,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-03-16T19:43:14.6Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612747,0,0,2025-03-16T19:43:54Z,80000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:0),[1630692],1610612747.0,LAL,,,,Goodwin,J. Goodwin,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-03-16T19:43:18.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630692,6.356767411300922,50.73529411764706,1610612747,2,0,2025-03-16T19:44:03Z,90000,False,-4.0,7.0,1,left,J. Goodwin putback Layup (2 PTS),[1630692],1610612747.0,LAL,putback,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2025-03-16T19:43:36.8Z,1,REGULAR,turnover,out-of-bounds,[],1630208,,,1610612756,2,0,2025-03-16T19:43:44Z,100000,False,,,0,,N. Richards lost ball out-of-bounds TURNOVER (1 TO),[1630208],1610612756.0,PHX,lost ball,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627961.0,1.0,,,,,,,,,,,
11,PT11M00.00S,2025-03-16T19:44:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629637,7.013797634691201,52.69607843137255,1610612747,4,0,2025-03-16T19:44:10Z,110000,False,-13.0,13.0,1,left,J. Hayes Layup (2 PTS) (L. Dončić 1 AST),"[1629637, 1629029]",1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,2.0,,,L. Dončić,1629029.0,1.0,,,,,,,,
14,PT11M00.00S,2025-03-16T19:44:24.4Z,1,REGULAR,foul,personal,['1freethrow'],201142,,,1610612747,4,0,2025-03-16T19:44:30Z,130000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Hayes 1 FT),"[201142, 1629637]",1610612756.0,PHX,shooting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,,,,,1.0,0.0,Hayes,1629637.0,,,,
16,PT11M00.00S,2025-03-16T19:44:31.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629637,,,1610612747,5,0,2025-03-16T19:44:31Z,150000,False,,,0,,J. Hayes Free Throw 1 of 1 (3 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
17,PT10M37.00S,2025-03-16T19:44:48.5Z,1,REGULAR,2pt,Jump Shot,[],203078,93.87319316688567,29.65686274509804,1610612756,5,0,2025-03-16T19:44:52Z,160000,False,-102.0,5.0,1,right,MISS B. Beal 10' pullup Shot,[203078],1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,Mid-Range,8-16 Left,10.18,Missed,,,,,,,,,,,,,,,,,,
