actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-14T03:13:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-14T03:13:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-14T03:13:29.6Z,1,REGULAR,jumpball,recovered,[],1630643,,,1610612763,0,0,2024-11-14T03:13:29Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. A. Davis: Tip to J. Huff,"[1630643, 1628991, 203076]",1610612763.0,MEM,startperiod,J. Huff,1630643.0,Huff,J. Huff,Jackson Jr.,1628991.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-14T03:13:41.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630583,90.5880420499343,43.13725490196079,1610612763,0,2,2024-11-14T03:13:47Z,70000,False,-34.0,36.0,1,right,S. Aldama Hook (2 PTS) (J. Wells 1 AST),"[1630583, 1642377]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,4.97,Made,2.0,J. Wells,1642377.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-11-14T03:14:02.1Z,1,REGULAR,3pt,Jump Shot,[],1629060,15.423784494086718,96.07843137254902,1610612747,3,2,2024-11-14T03:14:07Z,90000,False,-230.0,92.0,1,left,R. Hachimura 24' 3PT  (3 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left,24.83,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
11,PT11M10.00S,2024-11-14T03:14:14.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,92.16491458607096,51.22549019607843,1610612763,3,2,2024-11-14T03:14:17Z,110000,False,6.0,21.0,1,right,MISS J. Jackson Jr. turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2024-11-14T03:14:15.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,2,2024-11-14T03:14:17Z,120000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M54.00S,2024-11-14T03:14:30.9Z,1,REGULAR,2pt,Jump Shot,[],2544,7.670827858081481,67.40196078431373,1610612747,3,2,2024-11-14T03:14:35Z,130000,False,-87.0,20.0,1,left,MISS L. James 8' turnaround fadeaway Shot,[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Left,8.92,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2024-11-14T03:14:32.6Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,3,2,2024-11-14T03:14:32Z,140000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,
16,PT10M50.00S,2024-11-14T03:14:53.6Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,3,2,2024-11-14T03:14:59Z,160000,False,,,0,,A. Davis bad pass out-of-bounds TURNOVER (1 TO),[203076],1610612747.0,LAL,bad pass,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1626301.0,1.0,,,,,,,,
17,PT10M41.00S,2024-11-14T03:15:03.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630643,66.55510840998686,51.064644607843135,1610612763,3,2,2024-11-14T03:15:10Z,170000,False,5.0,262.0,1,right,MISS J. Huff 26' 3PT,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
