actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-26T03:06:18.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-26T03:06:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-26T03:06:20.7Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-02-26T03:06:20Z,40000,False,,,0,,Jump Ball J. Hayes vs. P. Washington: Tip to L. James,"[2544, 1629637, 1629023]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-26T03:06:33.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,73.242444152431,85.7843137254902,1610612747,0,0,2025-02-26T03:06:43Z,70000,False,179.0,199.0,1,right,MISS L. Dončić 26' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,26.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-26T03:06:37.0Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,0,0,2025-02-26T03:06:43Z,80000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:0),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-02-26T03:06:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629060,93.08475689881735,51.470588235294116,1610612747,2,0,2025-02-26T03:35:21Z,90000,False,7.0,13.0,1,right,R. Hachimura putback Layup (2 PTS),[1629060],1610612747.0,LAL,putback,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.45,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M18.00S,2025-02-26T03:06:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631108,14.766754270696453,49.50980392156863,1610612742,2,0,2025-02-26T03:07:10Z,100000,False,2.0,86.0,1,left,MISS M. Christie 8' driving floating Shot - blocked,"[1631108, 1629029]",1610612742.0,DAL,driving floating,,,Christie,M. Christie,,,,,In The Paint (Non-RA),8-16 Center,8.63,Missed,,,,,,Dončić,1629029.0,,,,,,,,,,,
11,PT11M18.00S,2025-02-26T03:06:59.5Z,1,REGULAR,block,,[],1629029,,,1610612742,2,0,2025-02-26T03:07:01Z,110000,False,,,0,,L. Dončić BLOCK (1 BLK),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-02-26T03:07:04.5Z,1,REGULAR,rebound,offensive,[],1630556,,,1610612742,2,0,2025-02-26T03:07:10Z,120000,False,,,0,,K. Edwards REBOUND (Off:1 Def:0),[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M13.00S,2025-02-26T03:07:04.1Z,1,REGULAR,2pt,Jump Shot,"['2ndchance', 'pointsinthepaint']",1630556,5.590000152587891,50.0,1610612742,2,0,2025-02-26T03:07:48Z,130000,False,0.0,0.0,1,left,MISS K. Edwards floating Shot - blocked,"[1630556, 1629637]",1610612742.0,DAL,floating,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,Hayes,1629637.0,,,,,,,,,,,
14,PT11M13.00S,2025-02-26T03:07:04.1Z,1,REGULAR,block,,[],1629637,,,1610612742,2,0,2025-02-26T03:07:05Z,140000,False,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2025-02-26T03:07:06.1Z,1,REGULAR,rebound,offensive,[],202691,,,1610612742,2,0,2025-02-26T03:07:48Z,150000,False,,,0,,K. Thompson REBOUND (Off:1 Def:0),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M10.00S,2025-02-26T03:07:08.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629023,6.964520367936927,96.54564950980392,1610612742,2,0,2025-02-26T03:07:19Z,160000,False,-233.0,13.0,1,left,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,23.31,Missed,,,,,,,,,,,,,,,,,,
17,PT11M10.00S,2025-02-26T03:07:08.0Z,1,REGULAR,rebound,offensive,[],202691,,,1610612742,2,0,2025-02-26T03:07:19Z,170000,False,,,0,,K. Thompson REBOUND (Off:2 Def:0),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,16.0,2.0,0.0,2.0,,,,,,,,,,,,,,
18,PT11M06.00S,2025-02-26T03:07:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202691,6.225361366622863,51.470588235294116,1610612742,2,2,2025-02-26T03:07:40Z,180000,False,-7.0,6.0,1,left,K. Thompson putback Layup (2 PTS),[202691],1610612742.0,DAL,putback,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M54.00S,2025-02-26T03:07:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,83.09789750328515,37.254901960784316,1610612747,4,2,2025-02-26T03:08:11Z,190000,False,-64.0,106.0,1,right,L. James 12' turnaround fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Left,12.4,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M40.00S,2025-02-26T03:07:37.6Z,1,REGULAR,2pt,Jump Shot,[],202691,22.519710906701704,66.42156862745098,1610612742,4,2,2025-02-26T03:08:42Z,200000,False,-82.0,159.0,1,left,MISS K. Thompson 17' fadeaway Shot,[202691],1610612742.0,DAL,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,17.91,Missed,,,,,,,,,,,,,,,,,,
