actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-20T03:41:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-20T03:41:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-20T03:42:00.4Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2024-11-20T03:42:00Z,40000,False,,,0,,Jump Ball A. Davis vs. K. Filipowski: Tip to A. Reaves,"[1630559, 203076, 1642271]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Davis,203076.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-20T03:42:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,7.802233902759525,48.28431372549019,1610612747,0,0,2024-11-20T03:42:15Z,70000,False,9.0,21.0,1,left,MISS L. James cutting Layup,[2544],1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-11-20T03:42:14.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2024-11-20T03:42:15Z,80000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-11-20T03:42:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,93.61038107752957,49.01960784313726,1610612762,0,2,2024-11-20T03:42:29Z,90000,False,-5.0,8.0,1,right,L. Markkanen alley-oop Layup (2 PTS) (J. Collins 1 AST),"[1628374, 1628381]",1610612762.0,UTA,alley-oop,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,
11,PT11M17.00S,2024-11-20T03:42:39.9Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,2,2024-11-20T03:42:44Z,110000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1628381]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Collins,1628381.0,,,,,,,
12,PT11M17.00S,2024-11-20T03:42:39.9Z,1,REGULAR,steal,,[],1628381,,,1610612762,0,2,2024-11-20T03:42:42Z,120000,False,,,0,,J. Collins STEAL (1 STL),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2024-11-20T03:42:55.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641718,85.98883048620237,40.19607843137255,1610612762,0,2,2024-11-20T03:43:00Z,130000,False,-49.0,79.0,1,right,MISS K. George 9' fadeaway Shot,[1641718],1610612762.0,UTA,fadeaway,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,9.31,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2024-11-20T03:42:58.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2024-11-20T03:43:00Z,140000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M52.00S,2024-11-20T03:43:04.2Z,1,REGULAR,3pt,Jump Shot,[],1642261,7.145203679369246,95.58823529411765,1610612747,3,2,2024-11-20T03:43:08Z,150000,False,-228.0,15.0,1,left,D. Knecht 3PT  (3 PTS) (L. James 1 AST),"[1642261, 2544]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Left Corner 3,24+ Left,22.84,Made,,,,,3.0,L. James,2544.0,1.0,,,,,,,,,,
