actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-16T03:10:37.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T03:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-16T03:11:03.3Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-01-16T03:11:03Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Davis: Tip to T. Herro,"[1629639, 1628389, 203076]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-01-16T03:11:19.0Z,1,REGULAR,3pt,Jump Shot,[],1629312,28.43298291721419,84.80392156862746,1610612748,0,0,2025-01-16T03:11:47Z,70000,False,-174.0,215.0,1,left,MISS H. Highsmith 27' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,27.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-16T03:11:21.0Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,0,0,2025-01-16T03:11:47Z,80000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-16T03:11:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,89.75032851511169,49.364276960784316,1610612747,2,0,2025-01-16T03:12:13Z,90000,False,-3.0,44.0,1,right,A. Davis driving Layup (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,4.39,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,,,,
10,PT11M13.00S,2025-01-16T03:11:47.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,36.35225032851511,63.426776960784316,1610612748,2,3,2025-01-16T03:12:27Z,100000,False,-67.0,289.0,1,left,T. Herro 29' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,29.69,Made,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,
12,PT10M57.00S,2025-01-16T03:12:02.9Z,1,REGULAR,3pt,Jump Shot,[],1631108,94.08672798948751,96.54564950980392,1610612747,5,3,2025-01-16T03:12:43Z,120000,False,233.0,3.0,1,right,M. Christie 3PT  (3 PTS) (A. Reaves 1 AST),"[1631108, 1630559]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Right Corner 3,24+ Right,23.27,Made,,,,,3.0,A. Reaves,1630559.0,1.0,,,,,,,,,,
14,PT10M45.00S,2025-01-16T03:12:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.4257555847569,52.033547794117645,1610612748,5,5,2025-01-16T03:13:13Z,140000,False,-10.0,102.0,1,left,B. Adebayo 10' fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.24,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M23.00S,2025-01-16T03:12:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,89.75032851511169,50.122549019607845,1610612747,5,5,2025-01-16T03:13:42Z,150000,False,1.0,44.0,1,right,MISS R. Hachimura driving Layup - blocked,"[1629060, 1629312]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,4.38,Missed,,,,,,,,,Highsmith,1629312.0,,,,,,,,
16,PT10M23.00S,2025-01-16T03:12:40.4Z,1,REGULAR,block,,[],1629312,,,1610612747,5,5,2025-01-16T03:12:43Z,160000,False,,,0,,H. Highsmith BLOCK (1 BLK),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
