actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-04T03:40:50.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-04T03:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-04T03:40:52.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-01-04T03:40:52Z,40000,False,,,0,,Jump Ball A. Davis vs. C. Capela: Tip to L. James,"[2544, 203076, 203991]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-04T03:41:06.6Z,1,REGULAR,turnover,traveling,[],1630559,,,1610612747,0,0,2025-01-04T03:41:11Z,70000,False,,,0,,A. Reaves traveling TURNOVER (1 TO),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,2530.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-01-04T03:41:27.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,16.343626806833115,55.88235294117647,1610612737,0,0,2025-01-04T03:41:31Z,80000,False,-29.0,101.0,1,left,MISS T. Young 10' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,10.53,Missed,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-04T03:41:29.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2025-01-04T03:41:31Z,90000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M19.00S,2025-01-04T03:41:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,91.77069645203679,53.18627450980392,1610612747,0,0,2025-01-04T03:43:28Z,100000,False,16.0,25.0,1,right,MISS A. Davis driving floating Shot,[203076],1610612747.0,LAL,driving floating,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,2.95,Missed,,,,,,,,,,,,,,,,
11,PT11M18.00S,2025-01-04T03:41:43.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2025-01-04T03:43:28Z,110000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,
12,PT11M17.00S,2025-01-04T03:41:46.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203076,94.40999984741211,50.0,1610612747,2,0,2025-01-04T03:43:34Z,120000,False,0.0,0.0,1,right,A. Davis tip DUNK (2 PTS),[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,0.0,Made,,,,,2.0,,,,,,,,,,,
13,PT10M58.00S,2025-01-04T03:42:02.2Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,0,2025-01-04T03:42:07Z,130000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203076]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,Davis,203076.0,,,,,,,,,
14,PT10M58.00S,2025-01-04T03:42:02.2Z,1,REGULAR,steal,,[],203076,,,1610612747,2,0,2025-01-04T03:42:04Z,140000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2025-01-04T03:42:05.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630559,93.74178712220763,49.01960784313726,1610612747,4,0,2025-01-04T03:42:15Z,150000,False,-5.0,6.0,1,right,A. Reaves running Layup (2 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,0.8,Made,,,,,2.0,,,L. James,2544.0,1.0,,,,,,
17,PT10M41.00S,2025-01-04T03:42:23.2Z,1,REGULAR,foul,personal,['2freethrow'],1631108,,,1610612737,4,0,2025-01-04T03:42:30Z,170000,False,,,0,,M. Christie shooting personal FOUL (1 PF) (Young 2 FT),"[1631108, 1629027]",1610612747.0,LAL,shooting,,,Christie,M. Christie,,,,,In The Paint (Non-RA),8-16 Center,1193.0,,,,,,,,,,,,,,1.0,0.0,Young,1629027.0,,
19,PT10M41.00S,2025-01-04T03:42:44.7Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,4,1,2025-01-04T03:42:44Z,190000,False,,,0,,T. Young Free Throw 1 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
20,PT10M41.00S,2025-01-04T03:43:02.5Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,4,2,2025-01-04T03:43:02Z,200000,False,,,0,,T. Young Free Throw 2 of 2 (2 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
21,PT10M30.00S,2025-01-04T03:43:21.4Z,1,REGULAR,foul,personal,[],1630700,,,1610612747,4,2,2025-01-04T03:43:27Z,210000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 203076]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Right,2530.0,,,,,,,,,,,,,,1.0,0.0,Davis,203076.0,,
23,PT10M21.00S,2025-01-04T03:43:42.7Z,1,REGULAR,3pt,Jump Shot,[],1629060,81.12680683311433,5.637254901960787,1610612747,4,2,2025-01-04T03:43:47Z,230000,False,-222.0,125.0,1,right,MISS R. Hachimura 25' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,25.45,Missed,,,,,,,,,,,,,,,,
24,PT10M18.00S,2025-01-04T03:43:45.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,2,2025-01-04T03:43:47Z,240000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT10M14.00S,2025-01-04T03:43:50.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642258,6.964520367936927,63.13189338235294,1610612737,4,4,2025-01-04T03:44:29Z,250000,False,-66.0,13.0,1,left,Z. Risacher 6' running Layup (2 PTS) (T. Young 1 AST),"[1642258, 1629027]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),0-8 Center,,,6.7,Made,,,,,2.0,,,T. Young,1629027.0,1.0,,,,,,
27,PT09M59.00S,2025-01-04T03:44:04.7Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,4,4,2025-01-04T03:44:08Z,270000,False,,,0,,A. Reaves bad pass TURNOVER (2 TO),"[1630559, 1630700]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,2.0,,,,,,,,Daniels,1630700.0,,,,,,,,,
28,PT09M59.00S,2025-01-04T03:44:04.7Z,1,REGULAR,steal,,[],1630700,,,1610612737,4,4,2025-01-04T03:44:06Z,280000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
29,PT09M56.00S,2025-01-04T03:44:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630700,8.196452036793687,50.73529411764706,1610612737,4,6,2025-01-04T03:44:16Z,290000,False,-4.0,25.0,1,left,D. Daniels running finger roll Layup (2 PTS),[1630700],1610612737.0,ATL,running finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,2.48,Made,,,,,2.0,,,,,,,,,,,
30,PT09M42.00S,2025-01-04T03:44:22.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,93.2161629434954,49.01960784313726,1610612747,6,6,2025-01-04T03:44:32Z,300000,False,-5.0,11.0,1,right,R. Hachimura cutting DUNK (2 PTS) (L. James 2 AST),"[1629060, 2544]",1610612747.0,LAL,cutting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,1.23,Made,,,,,2.0,,,L. James,2544.0,2.0,,,,,,
32,PT09M27.00S,2025-01-04T03:44:37.0Z,1,REGULAR,3pt,Jump Shot,[],1630700,33.295006570302235,61.27450980392157,1610612737,6,9,2025-01-04T03:44:41Z,320000,False,-56.0,260.0,1,left,D. Daniels 26' 3PT  (5 PTS) (T. Young 2 AST),"[1630700, 1629027]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,26.65,Made,,,,,5.0,,,T. Young,1629027.0,2.0,,,,,,
34,PT09M17.00S,2025-01-04T03:44:47.0Z,1,REGULAR,2pt,Jump Shot,[],1630559,91.90210249671485,77.20588235294117,1610612747,6,9,2025-01-04T03:44:52Z,340000,False,136.0,24.0,1,right,MISS A. Reaves 13' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Right,,,13.8,Missed,,,,,,,,,,,,,,,,
35,PT09M13.00S,2025-01-04T03:44:51.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,9,2025-01-04T03:44:52Z,350000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,
36,PT09M05.00S,2025-01-04T03:44:59.0Z,1,REGULAR,2pt,Jump Shot,[],1630552,22.78252299605782,49.50980392156863,1610612737,6,11,2025-01-04T03:48:29Z,360000,False,2.0,162.0,1,left,J. Johnson 16' pullup Jump Shot (2 PTS) (T. Young 3 AST),"[1630552, 1629027]",1610612737.0,ATL,pullup,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Center,,,16.17,Made,,,,,2.0,,,T. Young,1629027.0,3.0,,,,,,
38,PT08M49.00S,2025-01-04T03:45:15.5Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612747,6,11,2025-01-04T03:45:23Z,380000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Davis 2 FT),"[203991, 203076]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,202027.0,,,,,,,,,,,,,,1.0,0.0,Davis,203076.0,,
40,PT08M49.00S,2025-01-04T03:45:47.6Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,7,11,2025-01-04T03:45:47Z,400000,False,,,0,,A. Davis Free Throw 1 of 2 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
