actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-27T22:11:00.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T22:11:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-27T22:11:02.9Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2022-03-27T22:11:02Z,40000,,,0,,Jump Ball K. Porzingis vs. J. Kuminga: Tip to C. Kispert,"[1630557, 204001, 1630228]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Porzingis,204001.0,Kuminga,1630228.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-27T22:11:15.2Z,1,REGULAR,3pt,Jump Shot,[],1629060,14.37253613666229,1.7156862745098067,1610612764,3,0,2022-03-27T22:11:19Z,70000,241.0,83.0,1,left,R. Hachimura 25' 3PT  (3 PTS) (T. Satoransky 1 AST),"[1629060, 203107]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,25.51,Made,3.0,T. Satoransky,203107.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-03-27T22:11:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,92.55913272010513,37.99019607843137,1610612744,3,0,2022-03-27T22:11:33Z,90000,-60.0,17.0,1,right,MISS J. Kuminga 6' driving Layup,[1630228],1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,6.25,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-03-27T22:11:32.9Z,1,REGULAR,rebound,defensive,[],203107,,,1610612764,3,0,2022-03-27T22:11:33Z,110000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M25.00S,2022-03-27T22:11:34.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629060,16.343626806833115,83.33333333333334,1610612764,3,0,2022-03-27T22:13:13Z,120000,-167.0,101.0,1,left,MISS R. Hachimura 19' running pullup Shot,[1629060],1610612764.0,WAS,running pullup,,,Hachimura,R. Hachimura,,,,,19.5,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2022-03-27T22:11:38.9Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,3,0,2022-03-27T22:11:40Z,130000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M10.00S,2022-03-27T22:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],202691,78.89290407358739,89.95098039215686,1610612744,3,3,2022-03-27T22:11:54Z,140000,200.0,146.0,1,right,K. Thompson 24' 3PT  (3 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,24.74,Made,3.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
16,PT10M48.00S,2022-03-27T22:12:10.6Z,1,REGULAR,2pt,Jump Shot,[],204001,20.68002628120894,42.892156862745104,1610612764,3,3,2022-03-27T22:14:15Z,160000,36.0,142.0,1,left,MISS K. Porzingis 14' turnaround fadeaway Shot,[204001],1610612764.0,WAS,turnaround fadeaway,,,Porzingis,K. Porzingis,,,,,14.63,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2022-03-27T22:12:11.6Z,1,REGULAR,rebound,offensive,[],203484,,,1610612764,3,3,2022-03-27T22:12:16Z,170000,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
