actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-12T00:10:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-12T00:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-12T00:10:31.9Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612764,0,0,2022-01-12T00:10:31Z,40000,,,0,,Jump Ball D. Gafford vs. J. Robinson-Earl: Tip to K. Caldwell-Pope,"[203484, 1629655, 1630526]",1610612764.0,WAS,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Gafford,1629655.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-01-12T00:10:51.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.24901445466492,43.38235294117647,1610612764,2,0,2022-01-12T00:10:58Z,70000,-33.0,11.0,1,right,D. Gafford alley-oop DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[1629655, 203484]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,3.49,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-01-12T00:11:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,8.09789750328515,58.333333333333336,1610612760,2,2,2022-01-12T00:11:12Z,90000,-42.0,24.0,1,left,S. Gilgeous-Alexander cutting Layup (2 PTS) (L. Dort 1 AST),"[1628983, 1629652]",1610612760.0,OKC,cutting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.79,Made,2.0,L. Dort,1629652.0,1.0,,,,,,,,,,,,,,
11,PT11M00.00S,2022-01-12T00:11:32.7Z,1,REGULAR,foul,personal,[],1629652,,,1610612764,2,2,2022-01-12T00:11:39Z,110000,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1629655]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,202026.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,
13,PT10M52.00S,2022-01-12T00:11:58.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628398,95.3515111695138,44.6078431372549,1610612764,4,2,2022-01-12T00:12:51Z,130000,-27.0,-9.0,1,right,K. Kuzma driving Layup (2 PTS) (S. Dinwiddie 1 AST),"[1628398, 203915]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,2.84,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
15,PT10M52.00S,2022-01-12T00:12:25.7Z,1,REGULAR,violation,defensive goaltending,[],1630526,,,1610612764,4,2,2022-01-12T00:13:37Z,150000,,,0,,J. Robinson-Earl defensive goaltending VIOLATION,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,204058.0,,,,,,,,,,,,,
16,PT10M27.00S,2022-01-12T00:12:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,7.440867279894875,52.450980392156865,1610612760,4,2,2022-01-12T00:14:37Z,160000,-12.0,17.0,1,left,MISS S. Gilgeous-Alexander fadeaway Shot,[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.13,Missed,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2022-01-12T00:12:30.1Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,4,2,2022-01-12T00:14:37Z,170000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M21.00S,2022-01-12T00:12:33.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,96.7969776609724,2.941176470588235,1610612764,7,2,2022-01-12T00:12:42Z,180000,-235.0,-22.0,1,right,K. Caldwell-Pope 3PT  (3 PTS) (K. Kuzma 1 AST),"[203484, 1628398]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.64,Made,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
20,PT10M08.00S,2022-01-12T00:12:45.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,9.937582128777924,97.79411764705883,1610612760,7,2,2022-01-12T00:12:58Z,200000,-239.0,41.0,1,left,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,24.25,Missed,,,,,,,,,,,,,,,,,,
