actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-02T00:11:05.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-02T00:11:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-02T00:11:09.3Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612741,0,0,2022-01-02T00:11:09Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Gafford: Tip to D. Jones Jr.,"[1627884, 202696, 1629655]",1610612741.0,CHI,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Vucevic,202696.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2022-01-02T00:11:12.1Z,1,REGULAR,turnover,out-of-bounds,[],1627884,,,1610612741,0,0,2022-01-02T00:11:22Z,70000,,,0,,D. Jones Jr. step out-of-bounds TURNOVER (1 TO),[1627884],1610612741.0,CHI,step,,,Jones Jr.,D. Jones Jr.,,,,,2005.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-01-02T00:11:34.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,24.392247043363994,88.97058823529412,1610612764,0,0,2022-01-02T00:11:40Z,80000,-195.0,177.0,1,left,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,26.31,Missed,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-01-02T00:11:38.5Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,0,0,2022-01-02T00:11:40Z,90000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M28.00S,2022-01-02T00:11:53.3Z,1,REGULAR,3pt,Jump Shot,[],202696,69.20170827858082,25.49019607843137,1610612741,0,3,2022-01-02T00:11:57Z,100000,-123.0,237.0,1,right,N. Vucevic 26' 3PT  (3 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,26.68,Made,,,,,3.0,Z. LaVine,203897.0,1.0,,,,,,,,,
12,PT11M13.00S,2022-01-02T00:12:07.7Z,1,REGULAR,2pt,Jump Shot,[],203078,17.69053876478318,77.69607843137256,1610612764,2,3,2022-01-02T00:12:13Z,120000,-138.0,114.0,1,left,B. Beal 17' step back Jump Shot (2 PTS),[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,,,17.93,Made,,,,,2.0,,,,,,,,,,,,
13,PT11M00.00S,2022-01-02T00:12:21.7Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612741,2,3,2022-01-02T00:12:28Z,130000,,,0,,D. Gafford shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1629655, 201942]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,1626301.0,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,,,,
15,PT11M00.00S,2022-01-02T00:12:50.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,2,3,2022-01-02T00:13:08Z,150000,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2022-01-02T00:12:50.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,2,3,2022-01-02T00:13:08Z,160000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,
