actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-16T00:10:29.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T00:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-16T00:10:32.5Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-16T00:10:32Z,40000,,,0,,Jump Ball J. Valanciunas vs. D. Gafford: Tip to J. Hart,"[1628404, 202685, 1629655]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-16T00:10:48.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,79.05716162943496,35.294117647058826,1610612740,0,2,2021-11-16T00:10:53Z,70000,-74.0,144.0,1,right,B. Ingram 16' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,16.2,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2021-11-16T00:11:05.7Z,1,REGULAR,3pt,Jump Shot,[],203484,33.85348226018397,60.049019607843135,1610612764,3,2,2021-11-16T00:11:09Z,80000,-50.0,266.0,1,left,K. Caldwell-Pope 27' 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[203484, 203915]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,27.04,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,,
10,PT11M01.00S,2021-11-16T00:11:27.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,81.68528252299606,49.754901960784316,1610612740,3,2,2021-11-16T00:11:32Z,100000,-1.0,120.0,1,right,MISS J. Valanciunas 11' pullup Shot,[202685],1610612740.0,NOP,pullup,,,Valanciunas,J. Valanciunas,,,,,11.97,Missed,,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2021-11-16T00:11:29.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,3,2,2021-11-16T00:11:32Z,110000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M51.00S,2021-11-16T00:11:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629655,7.178055190538765,44.11764705882353,1610612764,5,2,2021-11-16T00:11:42Z,120000,29.0,15.0,1,left,D. Gafford driving bank Jump Shot (2 PTS) (K. Kuzma 1 AST),"[1629655, 1628398]",1610612764.0,WAS,driving bank,,,Gafford,D. Gafford,,,,,3.3,Made,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,,
14,PT10M39.00S,2021-11-16T00:11:49.9Z,1,REGULAR,2pt,Jump Shot,[],1628984,78.53153745072274,49.50980392156863,1610612740,5,2,2021-11-16T00:11:54Z,140000,-2.0,149.0,1,right,MISS D. Graham 14' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,14.93,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2021-11-16T00:11:52.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,5,2,2021-11-16T00:11:54Z,150000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M27.00S,2021-11-16T00:12:02.0Z,1,REGULAR,3pt,Jump Shot,[],203915,32.802233902759525,68.38235294117648,1610612764,5,2,2021-11-16T00:12:09Z,160000,-92.0,256.0,1,left,MISS S. Dinwiddie 27' pullup 3PT,[203915],1610612764.0,WAS,pullup,,,Dinwiddie,S. Dinwiddie,,,,,27.18,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2021-11-16T00:12:06.8Z,1,REGULAR,rebound,offensive,[],1628988,,,1610612764,5,2,2021-11-16T00:12:06Z,170000,,,0,,A. Holiday REBOUND (Off:1 Def:0),[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M21.00S,2021-11-16T00:12:08.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,28.203022339027594,22.30392156862745,1610612764,5,2,2021-11-16T00:12:13Z,180000,138.0,213.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2021-11-16T00:12:10.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,2,2021-11-16T00:12:13Z,190000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M12.00S,2021-11-16T00:12:19.1Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,5,2,2021-11-16T00:12:29Z,200000,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (1 TO),[1627742],1610612740.0,NOP,bad pass,,,Ingram,B. Ingram,,,,,,,,,,,,,,,202026.0,1.0,,,,,,,,,
21,PT09M56.00S,2021-11-16T00:12:43.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628988,7.703679369250986,71.07843137254902,1610612764,5,2,2021-11-16T00:12:48Z,210000,-105.0,20.0,1,left,MISS A. Holiday 10' driving floating Shot,[1628988],1610612764.0,WAS,driving floating,,,Holiday,A. Holiday,,,,,10.73,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2021-11-16T00:12:46.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,2,2021-11-16T00:12:48Z,220000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M43.00S,2021-11-16T00:12:55.7Z,1,REGULAR,2pt,Jump Shot,[],1629638,85.75886990801577,86.76470588235294,1610612740,5,4,2021-11-16T00:13:00Z,230000,184.0,81.0,1,right,N. Alexander-Walker 20' pullup Jump Shot (2 PTS) (B. Ingram 1 AST),"[1629638, 1627742]",1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,20.1,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
25,PT09M24.00S,2021-11-16T00:13:13.8Z,1,REGULAR,3pt,Jump Shot,[],1628398,33.590670170827856,68.62745098039215,1610612764,5,4,2021-11-16T00:13:18Z,250000,-93.0,263.0,1,left,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,27.93,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M22.00S,2021-11-16T00:13:15.8Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,5,4,2021-11-16T00:13:18Z,260000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
