actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-05T00:10:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T00:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-05T00:10:38.5Z,1,REGULAR,jumpball,recovered,[],201568,,,1610612737,0,0,2022-03-05T00:10:38Z,40000,,,0,,Jump Ball C. Capela vs. D. Gafford: Tip to D. Gallinari,"[201568, 203991, 1629655]",1610612737.0,ATL,startperiod,D. Gallinari,201568.0,Gallinari,D. Gallinari,Capela,203991.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-05T00:10:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612737,0,0,2022-03-05T00:11:00Z,70000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Capela 2 FT),"[1629655, 203991]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,202007.0,1.0,0.0,Capela,203991.0,,,,,,,,,,,,,,,,
9,PT11M47.00S,2022-03-05T00:11:12.6Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,0,0,2022-03-05T00:11:12Z,90000,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M47.00S,2022-03-05T00:11:12.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,0,0,2022-03-05T00:11:12Z,100000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M47.00S,2022-03-05T00:11:27.3Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,0,1,2022-03-05T00:11:27Z,110000,,,0,,C. Capela Free Throw 2 of 2 (1 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M24.00S,2022-03-05T00:11:51.6Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,0,1,2022-03-05T00:12:07Z,120000,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1629631]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,1.0,Hunter,1629631.0,,,,,,,,,,
13,PT11M24.00S,2022-03-05T00:11:51.6Z,1,REGULAR,steal,,[],1629631,,,1610612737,0,1,2022-03-05T00:11:53Z,130000,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2022-03-05T00:11:55.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629631,7.440867279894875,49.50980392156863,1610612737,0,3,2022-03-05T00:12:15Z,140000,2.0,17.0,1,left,D. Hunter driving Layup (2 PTS),[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,,,,,,Made,,2.0,,,,1.76,,,,,,,,,
15,PT11M22.00S,2022-03-05T00:11:59.0Z,1,REGULAR,foul,personal,['1freethrow'],203484,,,1610612737,0,3,2022-03-05T00:12:16Z,150000,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Hunter 1 FT),"[203484, 1629631]",1610612764.0,WAS,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1201.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,,
17,PT11M22.00S,2022-03-05T00:12:21.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629631,,,1610612737,0,4,2022-03-05T00:12:21Z,170000,,,0,,D. Hunter Free Throw 1 of 1 (3 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
18,PT11M06.00S,2022-03-05T00:12:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,81.15965834428384,49.26470588235294,1610612764,2,4,2022-03-05T00:12:46Z,180000,-4.0,125.0,1,right,R. Neto 12' driving floating Jump Shot (2 PTS),[203526],1610612764.0,WAS,driving floating,,,Neto,R. Neto,,,,,,,,,,Made,,2.0,,,,12.47,,,,,,,,,
20,PT10M57.00S,2022-03-05T00:12:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,14.4053876478318,42.8921568627451,1610612737,2,4,2022-03-05T00:12:52Z,200000,36.0,83.0,1,left,MISS T. Young 9' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,,,,,,Missed,,,,,,9.02,,,,,,,,,
21,PT10M56.00S,2022-03-05T00:12:51.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,2,4,2022-03-05T00:12:51Z,210000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
22,PT10M56.00S,2022-03-05T00:12:53.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,2,4,2022-03-05T00:12:53Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M51.00S,2022-03-05T00:13:07.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203991,7.5722733245729295,53.18627450980392,1610612737,2,6,2022-03-05T00:13:13Z,230000,-16.0,19.0,1,left,C. Capela alley-oop DUNK (3 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,,,,,Made,,3.0,,,,2.45,T. Young,1629027.0,1.0,,,,,,
25,PT10M41.00S,2022-03-05T00:13:17.2Z,1,REGULAR,3pt,Jump Shot,[],203484,72.09264126149803,79.65686274509804,1610612764,5,6,2022-03-05T00:13:25Z,250000,148.0,210.0,1,right,K. Caldwell-Pope 25' 3PT  (3 PTS) (D. Gafford 1 AST),"[203484, 1629655]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,Made,,3.0,,,,25.69,D. Gafford,1629655.0,1.0,,,,,,
27,PT10M24.00S,2022-03-05T00:13:34.3Z,1,REGULAR,2pt,Jump Shot,[],1628989,23.603810775295663,55.63725490196079,1610612737,5,6,2022-03-05T00:13:39Z,270000,-28.0,169.0,1,left,MISS K. Huerter 17' Jump Shot,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,Missed,,,,,,17.17,,,,,,,,,
28,PT10M22.00S,2022-03-05T00:13:36.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,6,2022-03-05T00:13:39Z,280000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,27.0,,,,,,,,,1.0,1.0,0.0,,,
