actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-21T00:11:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T00:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T00:11:26.9Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2021-11-21T00:11:27Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Gafford: Tip to J. Butler,"[202710, 1628389, 1629655]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-21T00:11:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,80.73258869908015,58.57843137254902,1610612748,0,2,2021-11-21T00:11:50Z,70000,43.0,129.0,1,right,B. Adebayo 13' Jump Shot (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,13.56,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-11-21T00:12:00.3Z,1,REGULAR,3pt,Jump Shot,[],203915,30.404073587385014,17.64705882352942,1610612764,0,2,2021-11-21T00:12:05Z,90000,162.0,233.0,1,left,MISS S. Dinwiddie 28' 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,28.39,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-11-21T00:12:03.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,2,2021-11-21T00:12:05Z,100000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M14.00S,2021-11-21T00:12:09.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,77.18462549277267,44.607843137254896,1610612748,0,2,2021-11-21T00:12:17Z,110000,-27.0,162.0,1,right,MISS B. Adebayo 16' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,16.42,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-11-21T00:12:12.8Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,0,2,2021-11-21T00:12:17Z,120000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M54.00S,2021-11-21T00:12:29.5Z,1,REGULAR,3pt,Jump Shot,[],203078,5.042706964520377,96.56862745098039,1610612764,3,2,2021-11-21T00:12:35Z,130000,-233.0,-5.0,1,left,B. Beal 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[203078, 203915]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,23.29,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,,
15,PT10M34.00S,2021-11-21T00:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],200768,77.71024967148489,87.5,1610612748,3,2,2021-11-21T00:12:55Z,150000,188.0,157.0,1,right,MISS K. Lowry 24' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,24.46,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M31.00S,2021-11-21T00:12:52.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,3,2,2021-11-21T00:12:55Z,160000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M22.00S,2021-11-21T00:13:03.0Z,1,REGULAR,turnover,out-of-bounds,[],1629655,,,1610612764,3,2,2021-11-21T00:13:24Z,170000,,,0,,D. Gafford lost ball out-of-bounds TURNOVER (1 TO),[1629655],1610612764.0,WAS,lost ball,,,Gafford,D. Gafford,,,,,,,,,,,,,,,1.0,,,,,,,,,,
18,PT10M04.00S,2021-11-21T00:13:24.9Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612748,3,2,2021-11-21T00:13:30Z,180000,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 203484]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,
19,PT10M04.00S,2021-11-21T00:13:24.9Z,1,REGULAR,steal,,[],203484,,,1610612764,3,2,2021-11-21T00:13:27Z,190000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT09M56.00S,2021-11-21T00:13:34.2Z,1,REGULAR,foul,offensive,[],1629655,,,1610612764,3,2,2021-11-21T00:13:48Z,200000,,,0,,D. Gafford offensive FOUL (1 PF),"[1629655, 200768]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Lowry,200768.0,,,
22,PT09M56.00S,2021-11-21T00:13:34.2Z,1,REGULAR,turnover,offensive foul,[],1629655,,,1610612764,3,2,2021-11-21T00:13:34Z,220000,,,0,,D. Gafford offensive foul TURNOVER (2 TO),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,2.0,,,1162.0,,,,,,,
23,PT09M46.00S,2021-11-21T00:14:01.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,75.34494086727989,62.5,1610612748,3,2,2021-11-21T00:14:52Z,230000,62.0,179.0,1,right,MISS B. Adebayo 18' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,18.99,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2021-11-21T00:14:04.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,3,2,2021-11-21T00:14:11Z,240000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M38.00S,2021-11-21T00:14:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629655,7.670827858081481,41.91176470588235,1610612764,5,2,2021-11-21T00:14:19Z,250000,40.0,20.0,1,left,D. Gafford Layup (2 PTS) (S. Dinwiddie 2 AST),"[1629655, 203915]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,4.49,Made,2.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,,,,,
27,PT09M16.00S,2021-11-21T00:14:32.5Z,1,REGULAR,3pt,Jump Shot,[],202710,82.70367936925098,2.4509803921568647,1610612748,5,2,2021-11-21T00:14:37Z,270000,-238.0,110.0,1,right,MISS J. Butler 26' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M12.00S,2021-11-21T00:14:36.5Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,5,2,2021-11-21T00:14:37Z,280000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,
29,PT09M12.00S,2021-11-21T00:14:37.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,5,2,2021-11-21T00:14:44Z,290000,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,1162.0,,,,,,,
30,PT09M01.00S,2021-11-21T00:14:53.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203078,23.702365308804204,37.745098039215684,1610612764,7,2,2021-11-21T00:15:41Z,300000,61.0,170.0,1,left,B. Beal 18' step back Jump Shot (5 PTS) (S. Dinwiddie 3 AST),"[203078, 203915]",1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,18.1,Made,5.0,S. Dinwiddie,203915.0,3.0,,,,,,,,,,,,,,,
31,PT09M01.00S,2021-11-21T00:14:56.6Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612764,7,2,2021-11-21T00:15:09Z,310000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Beal 1 FT),"[1629130, 203078]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Beal,203078.0,,,
33,PT09M01.00S,2021-11-21T00:15:28.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203078,,,1610612764,8,2,2021-11-21T00:15:28Z,330000,,,0,,B. Beal Free Throw 1 of 1 (6 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
