actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-26T23:11:09.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-26T23:11:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-26T23:11:11.6Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612755,0,0,2021-12-26T23:11:11Z,40000,,,0,,Jump Ball J. Embiid vs. D. Gafford: Tip to S. Curry,"[203552, 203954, 1629655]",1610612755.0,PHI,startperiod,S. Curry,203552.0,Curry,S. Curry,Embiid,203954.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-26T23:11:22.5Z,1,REGULAR,turnover,lost ball,[],203552,,,1610612755,0,0,2021-12-26T23:11:28Z,70000,,,0,,S. Curry lost ball TURNOVER (1 TO),"[203552, 1628988]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,1.0,Holiday,1628988.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-12-26T23:11:22.5Z,1,REGULAR,steal,,[],1628988,,,1610612764,0,0,2021-12-26T23:11:24Z,80000,,,0,,A. Holiday STEAL (1 STL),[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-26T23:11:39.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628398,81.2910643889619,62.99019607843137,1610612764,0,0,2021-12-26T23:12:54Z,90000,65.0,123.0,1,right,MISS K. Kuzma 13' driving floating Shot,[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,,,,13.95,Missed,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-26T23:11:42.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2021-12-26T23:11:47Z,100000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M22.00S,2021-12-26T23:11:47.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203954,12.040078843626807,59.55882352941176,1610612755,0,2,2021-12-26T23:11:56Z,110000,-48.0,61.0,1,left,J. Embiid 7' driving bank Jump Shot (2 PTS),[203954],1610612755.0,PHI,driving bank,,,Embiid,J. Embiid,,,,,,,,7.73,Made,,,,,2.0,,,,,,,,,,
12,PT11M15.00S,2021-12-26T23:11:54.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630557,95.22010512483574,43.38235294117647,1610612764,2,2,2021-12-26T23:12:12Z,120000,-33.0,-8.0,1,right,C. Kispert driving Layup (2 PTS) (S. Dinwiddie 1 AST),"[1630557, 203915]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,,,,3.4,Made,,,,,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,
14,PT11M00.00S,2021-12-26T23:12:09.4Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,2,2,2021-12-26T23:12:14Z,140000,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1628988]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,1.0,Holiday,1628988.0,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2021-12-26T23:12:09.4Z,1,REGULAR,steal,,[],1628988,,,1610612764,2,2,2021-12-26T23:12:11Z,150000,,,0,,A. Holiday STEAL (2 STL),[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M55.00S,2021-12-26T23:12:14.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630557,95.87713534822602,96.32352941176471,1610612764,2,2,2021-12-26T23:15:32Z,160000,232.0,-14.0,1,right,MISS C. Kispert running 3PT,[1630557],1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,,,,23.2,Missed,,,,,,,,,,,,,,,
