actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-03-29T23:11:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-29T23:11:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-29T23:11:11.9Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612764,0,0,2022-03-29T23:11:11Z,40000,,,0,,Jump Ball K. Porzingis vs. N. Vucevic: Tip to R. Hachimura,"[1629060, 204001, 202696]",1610612764.0,WAS,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Porzingis,204001.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-29T23:11:31.4Z,1,REGULAR,3pt,Jump Shot,[],204001,29.77989487516426,22.058823529411764,1610612764,0,0,2022-03-29T23:11:37Z,70000,140.0,227.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-03-29T23:11:37.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,0,2022-03-29T23:11:38Z,80000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M15.00S,2022-03-29T23:11:53.1Z,1,REGULAR,2pt,Hook,[],202696,91.80354796320631,32.1078431372549,1610612741,0,0,2022-03-29T23:11:58Z,90000,-89.0,25.0,1,right,MISS N. Vucevic 9' Hook - blocked,"[202696, 204001]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,9.28,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,
10,PT11M15.00S,2022-03-29T23:11:53.1Z,1,REGULAR,block,,[],204001,,,1610612741,0,0,2022-03-29T23:11:55Z,100000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-03-29T23:11:56.1Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,0,2022-03-29T23:11:58Z,110000,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M12.00S,2022-03-29T23:11:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,94.30026281208936,45.34313725490196,1610612741,0,2,2022-03-29T23:12:01Z,120000,-23.0,1.0,1,right,N. Vucevic Layup (2 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,2.33,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M04.00S,2022-03-29T23:12:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203107,9.543363994743759,39.21568627450981,1610612764,0,2,2022-03-29T23:12:47Z,130000,54.0,37.0,1,left,MISS T. Satoransky 6' driving Layup,[203107],1610612764.0,WAS,driving,,,Satoransky,T. Satoransky,,,,,6.55,Missed,,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2022-03-29T23:12:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,2,2022-03-29T23:13:09Z,140000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
