actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-30T23:10:53.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-30T23:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-30T23:10:56.5Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2022-03-30T23:10:56Z,40000,,,0,,Jump Ball K. Porzingis vs. M. Bamba: Tip to C. Kispert,"[1630557, 204001, 1628964]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Porzingis,204001.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-30T23:11:12.1Z,1,REGULAR,2pt,Jump Shot,[],1629060,71.53416557161628,52.450980392156865,1610612764,2,0,2022-03-30T23:11:18Z,70000,12.0,215.0,1,right,R. Hachimura 21' pullup Jump Shot (2 PTS) (T. Satoransky 1 AST),"[1629060, 203107]",1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,21.55,Made,2.0,T. Satoransky,203107.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-03-30T23:11:29.3Z,1,REGULAR,foul,personal,[],203484,,,1610612753,2,0,2022-03-30T23:11:38Z,90000,,,0,,K. Caldwell-Pope personal FOUL (1 PF),"[203484, 1629643]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,2882.0,1.0,0.0,Okeke,1629643.0,,,,,,,,,
11,PT11M11.00S,2022-03-30T23:11:57.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630175,17.132063074901453,54.65686274509804,1610612753,2,2,2022-03-30T23:12:05Z,110000,-23.0,109.0,1,left,C. Anthony 11' driving Hook (2 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,11.1,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2022-03-30T23:12:19.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,85.72601839684626,57.1078431372549,1610612764,4,2,2022-03-30T23:12:27Z,120000,36.0,82.0,1,right,K. Porzingis 8' turnaround Hook (2 PTS),[204001],1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,8.91,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M36.00S,2022-03-30T23:12:32.5Z,1,REGULAR,3pt,Jump Shot,[],1628964,22.651116951379763,8.82352941176471,1610612753,4,2,2022-03-30T23:12:37Z,140000,206.0,160.0,1,left,MISS M. Bamba 26' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-03-30T23:12:35.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,4,2,2022-03-30T23:12:37Z,150000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M19.00S,2022-03-30T23:12:49.3Z,1,REGULAR,2pt,Jump Shot,[],1629060,93.87319316688567,71.07843137254902,1610612764,4,2,2022-03-30T23:12:53Z,160000,105.0,5.0,1,right,MISS R. Hachimura 10' pullup Shot,[1629060],1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,10.55,Missed,,,,,,,,,,,,,,,,,,
17,PT10M17.00S,2022-03-30T23:12:51.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,2,2022-03-30T23:12:53Z,170000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M14.00S,2022-03-30T23:12:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629643,7.013797634691201,40.44117647058824,1610612753,4,2,2022-03-30T23:13:01Z,180000,48.0,13.0,1,left,MISS C. Okeke driving Layup - blocked,"[1629643, 204001]",1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,4.96,Missed,,,,,,,,,,,,,,Porzingis,204001.0,,,
19,PT10M14.00S,2022-03-30T23:12:54.7Z,1,REGULAR,block,,[],204001,,,1610612753,4,2,2022-03-30T23:12:58Z,190000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2022-03-30T23:12:55.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,4,2,2022-03-30T23:13:01Z,200000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
21,PT10M13.00S,2022-03-30T23:13:00.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,2,2022-03-30T23:13:00Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-03-30T23:13:21.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630532,12.401445466491452,42.64705882352941,1610612753,4,4,2022-03-30T23:13:29Z,220000,37.0,64.0,1,left,F. Wagner 7' driving floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,7.39,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M38.00S,2022-03-30T23:13:46.4Z,1,REGULAR,3pt,Jump Shot,[],1630557,93.2161629434954,95.34313725490196,1610612764,4,4,2022-03-30T23:13:51Z,230000,227.0,11.0,1,right,MISS C. Kispert 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,
24,PT09M38.00S,2022-03-30T23:13:48.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,4,2022-03-30T23:13:48Z,240000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
25,PT09M38.00S,2022-03-30T23:13:53.1Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612753,4,4,2022-03-30T23:19:42Z,250000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Anthony 2 FT),"[204001, 1630175]",1610612764.0,WAS,shooting,,,Porzingis,K. Porzingis,,,,,,,,,,,1199.0,1.0,0.0,Anthony,1630175.0,,,,,,,,,
27,PT09M38.00S,2022-03-30T23:14:15.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630175,,,1610612753,4,5,2022-03-30T23:14:42Z,270000,,,0,,C. Anthony Free Throw 1 of 2 (3 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
28,PT09M38.00S,2022-03-30T23:14:15.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630175,,,1610612753,4,6,2022-03-30T23:14:42Z,280000,,,0,,C. Anthony Free Throw 2 of 2 (4 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
29,PT09M25.00S,2022-03-30T23:14:46.1Z,1,REGULAR,2pt,Jump Shot,[],203484,87.17148488830486,15.931372549019613,1610612764,4,6,2022-03-30T23:14:52Z,290000,-170.0,68.0,1,right,MISS K. Caldwell-Pope 18' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,18.34,Missed,,,,,,,,,,,,,,,,,,
