actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-04T00:10:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-04T00:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-04T00:10:40.8Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2021-12-04T00:10:40Z,40000,,,0,,Jump Ball J. Allen vs. D. Gafford: Tip to L. Markkanen,"[1628374, 1628386, 1629655]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Allen,1628386.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-04T00:10:59.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,90.19382391590013,48.28431372549019,1610612739,0,2,2021-12-04T00:11:05Z,70000,-9.0,40.0,1,right,J. Allen cutting DUNK (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,4.06,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2021-12-04T00:11:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.065045992115643,51.22549019607843,1610612764,0,2,2021-12-04T00:12:12Z,90000,-6.0,23.0,1,left,MISS B. Beal driving finger roll Layup,[203078],1610612764.0,WAS,driving finger roll,,,Beal,B. Beal,,,,,2.41,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-12-04T00:11:26.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,2,2021-12-04T00:11:36Z,100000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
18,PT11M13.00S,2021-12-04T00:11:37.9Z,1,REGULAR,turnover,offensive goaltending,[],1629655,,,1610612764,0,2,2021-12-04T00:12:44Z,110000,,,0,,D. Gafford offensive goaltending TURNOVER (1 TO),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,2005.0,1.0,,,,,,,,,,,,
12,PT11M01.00S,2021-12-04T00:11:49.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628386,81.52102496714849,52.205882352941174,1610612739,0,2,2021-12-04T00:12:44Z,120000,11.0,121.0,1,right,MISS J. Allen 12' floating Shot,[1628386],1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,12.17,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2021-12-04T00:11:53.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,2,2021-12-04T00:11:57Z,130000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,,
14,PT10M55.00S,2021-12-04T00:11:57.5Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612764,0,2,2021-12-04T00:12:10Z,140000,,,0,,E. Mobley shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1630596, 1628398]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,,,,,,,,2005.0,,,,,1.0,0.0,Kuzma,1628398.0,,,,,
16,PT10M55.00S,2021-12-04T00:12:29.2Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,1,2,2021-12-04T00:12:29Z,160000,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2021-12-04T00:12:43.5Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,2,2,2021-12-04T00:12:43Z,170000,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT10M35.00S,2021-12-04T00:13:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,82.9664914586071,53.92156862745098,1610612739,2,2,2021-12-04T00:13:09Z,180000,20.0,108.0,1,right,MISS I. Okoro 10' driving floating Shot,[1630171],1610612739.0,CLE,driving floating,,,Okoro,I. Okoro,,,,,10.94,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M33.00S,2021-12-04T00:13:05.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,2,2021-12-04T00:13:09Z,190000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,19.0,,,1.0,1.0,0.0,,,,,,,,,
21,PT10M27.00S,2021-12-04T00:13:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,16.869250985545335,54.90196078431372,1610612764,4,2,2021-12-04T00:13:16Z,200000,-25.0,106.0,1,left,K. Caldwell-Pope 10' pullup Jump Shot (2 PTS) (K. Kuzma 1 AST),"[203484, 1628398]",1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,10.89,Made,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,,
