actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-16T00:10:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T00:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-16T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2022-01-16T00:10:35Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Gafford: Tip to R. Covington,"[203496, 203994, 1629655]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-16T00:10:46.2Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612757,0,0,2022-01-16T00:10:52Z,70000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629655, 203994]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,1146.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
9,PT11M47.00S,2022-01-16T00:11:13.5Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,0,0,2022-01-16T00:11:29Z,90000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M47.00S,2022-01-16T00:11:13.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,0,0,2022-01-16T00:11:29Z,100000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M47.00S,2022-01-16T00:11:13.5Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,0,0,2022-01-16T00:11:29Z,110000,,,0,,MISS J. Nurkic Free Throw 2 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,,,,,,,,,,
12,PT11M45.00S,2022-01-16T00:11:15.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2022-01-16T00:11:29Z,120000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M31.00S,2022-01-16T00:11:44.8Z,1,REGULAR,foul,personal,['2freethrow'],203463,,,1610612764,0,0,2022-01-16T00:11:50Z,130000,,,0,,B. McLemore shooting personal FOUL (1 PF) (Gafford 2 FT),"[203463, 1629655]",1610612757.0,POR,shooting,,,McLemore,B. McLemore,,,,,1146.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,,,,,,,,
15,PT11M31.00S,2022-01-16T00:12:09.5Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612764,1,0,2022-01-16T00:12:09Z,150000,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
16,PT11M31.00S,2022-01-16T00:12:25.1Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612764,2,0,2022-01-16T00:12:25Z,160000,,,0,,D. Gafford Free Throw 2 of 2 (2 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
17,PT11M14.00S,2022-01-16T00:12:44.4Z,1,REGULAR,3pt,Jump Shot,[],203496,31.882391590013142,71.56862745098039,1610612757,2,0,2022-01-16T00:12:50Z,170000,-108.0,247.0,1,left,MISS R. Covington 26' step back 3PT,[203496],1610612757.0,POR,step back,,,Covington,R. Covington,,,,,,,,,,Missed,,,,,,26.97,,,,,,,,,
18,PT11M11.00S,2022-01-16T00:12:47.4Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,2,0,2022-01-16T00:12:50Z,180000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,
19,PT11M10.00S,2022-01-16T00:12:49.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,11.383048620236531,46.568627450980394,1610612757,2,0,2022-01-16T00:12:55Z,190000,17.0,55.0,1,left,MISS J. Nurkic Hook,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,5.71,,,,,,,,,
20,PT11M04.00S,2022-01-16T00:12:55.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,2,0,2022-01-16T00:12:55Z,200000,,,0,,J. Nurkic REBOUND (Off:2 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,19.0,2.0,0.0,2.0,,,,,,,,,,,
21,PT11M04.00S,2022-01-16T00:12:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,5.590000152587891,50.0,1610612757,2,2,2022-01-16T00:12:54Z,210000,0.0,0.0,1,left,J. Nurkic tip Layup (2 PTS),[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,,,,,,Made,,,,,2.0,0.0,,,,,,,,,
22,PT10M46.00S,2022-01-16T00:13:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,90.48948751642575,55.88235294117647,1610612764,2,2,2022-01-16T00:13:18Z,220000,29.0,37.0,1,right,MISS S. Dinwiddie Layup,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,Missed,,,,,,4.72,,,,,,,,,
23,PT10M42.00S,2022-01-16T00:13:17.1Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,2,2,2022-01-16T00:13:18Z,230000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M38.00S,2022-01-16T00:13:21.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629642,7.5722733245729295,46.07843137254902,1610612757,2,4,2022-01-16T00:13:27Z,240000,20.0,19.0,1,left,N. Little driving DUNK (2 PTS),[1629642],1610612757.0,POR,driving,,,Little,N. Little,,,,,,,,,,Made,,,,,2.0,2.71,,,,,,,,,
25,PT10M23.00S,2022-01-16T00:13:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,92.32917214191852,55.88235294117647,1610612764,2,4,2022-01-16T00:13:41Z,250000,29.0,20.0,1,right,MISS D. Gafford cutting Layup,[1629655],1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,,,,,,Missed,,,,,,3.53,,,,,,,,,
26,PT10M21.00S,2022-01-16T00:13:38.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,4,2022-01-16T00:13:41Z,260000,,,0,,J. Nurkic REBOUND (Off:2 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,25.0,3.0,1.0,2.0,,,,,,,,,,,
27,PT10M14.00S,2022-01-16T00:13:44.5Z,1,REGULAR,2pt,Jump Shot,[],1629014,13.354139290407357,30.88235294117647,1610612757,2,6,2022-01-16T00:13:49Z,270000,96.0,73.0,1,left,A. Simons 12' floating Jump Shot (2 PTS),[1629014],1610612757.0,POR,floating,,,Simons,A. Simons,,,,,,,,,,Made,,,,,2.0,12.03,,,,,,,,,
28,PT09M58.00S,2022-01-16T00:14:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,90.48948751642575,54.90196078431373,1610612764,4,6,2022-01-16T00:16:20Z,280000,25.0,37.0,1,right,S. Dinwiddie running reverse Layup (2 PTS) (D. Gafford 1 AST),"[203915, 1629655]",1610612764.0,WAS,running reverse,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,Made,,,,,2.0,4.43,D. Gafford,1629655.0,1.0,,,,,,
30,PT09M43.00S,2022-01-16T00:14:19.8Z,1,REGULAR,turnover,traveling,[],203463,,,1610612757,4,6,2022-01-16T00:14:25Z,300000,,,0,,B. McLemore traveling TURNOVER (1 TO),[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,1146.0,,,,,,,,,,,,,,,1.0,,,,,
