actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-04T00:11:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T00:11:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-04T00:11:34.7Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612764,0,0,2022-01-04T00:11:34Z,40000,,,0,,Jump Ball D. Gafford vs. M. Plumlee: Tip to D. Avdija,"[1630166, 1629655, 203486]",1610612764.0,WAS,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Gafford,1629655.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-04T00:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],203484,9.510512483574246,95.83333333333333,1610612764,0,0,2022-01-04T00:12:04Z,70000,-229.0,37.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.22,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-01-04T00:11:57.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2022-01-04T00:12:04Z,80000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-04T00:12:01.6Z,1,REGULAR,3pt,Jump Shot,[],202330,68.64323258869908,77.20588235294117,1610612766,0,3,2022-01-04T00:12:08Z,90000,136.0,242.0,1,right,G. Hayward 27' 3PT  (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,27.79,Made,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,
11,PT11M15.00S,2022-01-04T00:12:15.6Z,1,REGULAR,3pt,Jump Shot,[],203078,25.54204993429697,84.31372549019608,1610612764,3,3,2022-01-04T00:12:19Z,110000,-172.0,188.0,1,left,B. Beal 25' 3PT  (3 PTS) (K. Kuzma 1 AST),"[203078, 1628398]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,25.42,Made,,,,,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,
14,PT11M00.00S,2022-01-04T00:12:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,3,3,2022-01-04T00:12:45Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2022-01-04T00:12:54.3Z,1,REGULAR,2pt,Jump Shot,[],1628970,80.99540078843627,72.79411764705883,1610612766,3,3,2022-01-04T00:12:58Z,150000,114.0,126.0,1,right,MISS M. Bridges 17' pullup Shot,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,17.0,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2022-01-04T00:12:56.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,3,2022-01-04T00:12:58Z,160000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M49.00S,2022-01-04T00:12:58.5Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612764,3,3,2022-01-04T00:14:02Z,170000,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1626179]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,,,
18,PT10M49.00S,2022-01-04T00:12:58.5Z,1,REGULAR,steal,,[],1626179,,,1610612766,3,3,2022-01-04T00:13:01Z,180000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
