actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-13T00:10:59.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T00:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-13T00:11:02.2Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-01-13T00:11:02Z,40000,,,0,,Jump Ball R. Lopez vs. D. Gafford: Tip to C. Anthony,"[1630175, 201577, 1629655]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Lopez,201577.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-13T00:11:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,93.38042049934296,54.166666666666664,1610612753,0,0,2022-01-13T00:11:25Z,70000,21.0,10.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,2.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-01-13T00:11:15.3Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,0,0,2022-01-13T00:11:25Z,80000,,,0,,R. Lopez REBOUND (Off:1 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-01-13T00:11:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201577,90.88370565045992,50.245098039215684,1610612753,0,0,2022-01-13T00:22:11Z,90000,1.0,33.0,1,right,MISS R. Lopez tip Layup,[201577],1610612753.0,ORL,tip,,,Lopez,R. Lopez,,,,,3.32,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M43.00S,2022-01-13T00:11:20.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2022-01-13T00:11:20Z,100000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
11,PT11M43.00S,2022-01-13T00:11:22.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2022-01-13T00:11:22Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M37.00S,2022-01-13T00:11:35.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630532,94.43166885676742,52.20588235294118,1610612753,0,0,2022-01-13T00:11:40Z,120000,11.0,0.0,1,right,MISS F. Wagner Hook,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,1.1,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M34.00S,2022-01-13T00:11:38.5Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,0,0,2022-01-13T00:11:38Z,130000,,,0,,R. Lopez REBOUND (Off:2 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,12.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
14,PT11M27.00S,2022-01-13T00:11:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630175,90.75229960578186,48.77450980392157,1610612753,0,0,2022-01-13T00:11:55Z,140000,-6.0,34.0,1,right,MISS C. Anthony Layup,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,3.49,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M24.00S,2022-01-13T00:11:47.8Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,0,0,2022-01-13T00:11:47Z,150000,,,0,,C. Anthony REBOUND (Off:1 Def:0),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT11M17.00S,2022-01-13T00:11:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629643,91.80354796320631,47.30392156862745,1610612753,0,0,2022-01-13T00:11:59Z,160000,-13.0,25.0,1,right,MISS C. Okeke Layup,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,2.8,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M17.00S,2022-01-13T00:11:53.6Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,0,0,2022-01-13T00:11:59Z,170000,,,0,,R. Lopez REBOUND (Off:3 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,16.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
18,PT11M15.00S,2022-01-13T00:11:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201577,92.46057818659659,50.98039215686274,1610612753,0,0,2022-01-13T00:22:31Z,180000,5.0,18.0,1,right,MISS R. Lopez tip Layup,[201577],1610612753.0,ORL,tip,,,Lopez,R. Lopez,,,,,1.9,Missed,,,,,,,,,,,,,,,,,,,
19,PT11M15.00S,2022-01-13T00:11:56.9Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,0,0,2022-01-13T00:12:02Z,190000,,,0,,C. Anthony REBOUND (Off:2 Def:0),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,18.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
20,PT11M08.00S,2022-01-13T00:12:03.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630175,70.90998685939553,75.0,1610612753,0,0,2022-01-13T00:12:10Z,200000,125.0,221.0,1,right,MISS C. Anthony 25' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,,
21,PT11M04.00S,2022-01-13T00:12:07.7Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,0,0,2022-01-13T00:17:59Z,210000,,,0,,C. Okeke REBOUND (Off:1 Def:0),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
22,PT11M01.00S,2022-01-13T00:12:10.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201577,88.12417871222075,47.05882352941176,1610612753,0,0,2022-01-13T00:12:20Z,220000,-15.0,59.0,1,right,MISS R. Lopez 6' Hook,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,6.09,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M58.00S,2022-01-13T00:12:13.0Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,0,0,2022-01-13T00:12:20Z,230000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT10M47.00S,2022-01-13T00:12:24.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203915,12.302890932982917,45.588235294117645,1610612764,2,0,2022-01-13T00:12:30Z,240000,22.0,63.0,1,left,S. Dinwiddie 6' Hook (2 PTS),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,6.69,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT10M35.00S,2022-01-13T00:12:37.0Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,2,0,2022-01-13T00:12:43Z,250000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 203915]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,1.0,Dinwiddie,203915.0,,,,,,,,,,,
26,PT10M35.00S,2022-01-13T00:12:37.0Z,1,REGULAR,steal,,[],203915,,,1610612764,2,0,2022-01-13T00:12:39Z,260000,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M30.00S,2022-01-13T00:12:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630557,4.944152431011826,50.49019607843137,1610612764,4,0,2022-01-13T00:12:48Z,270000,-2.0,-6.0,1,left,C. Kispert reverse Layup (2 PTS) (K. Kuzma 1 AST),"[1630557, 1628398]",1610612764.0,WAS,reverse,,,Kispert,C. Kispert,,,,,0.65,Made,,,,,2.0,,,,K. Kuzma,1628398.0,1.0,,,,,,,,
29,PT10M12.00S,2022-01-13T00:12:58.9Z,1,REGULAR,2pt,Jump Shot,[],203914,87.33574244415243,23.284313725490197,1610612753,4,0,2022-01-13T00:13:05Z,290000,-134.0,67.0,1,right,MISS G. Harris 14' pullup Shot,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,14.92,Missed,,,,,,,,,,,,,,,,,,,
