actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-30T21:11:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T21:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-30T21:11:22.4Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2021-10-30T21:11:22Z,40000,,,0,,Jump Ball A. Horford vs. M. Harrell: Tip to G. Williams,"[1629684, 201143, 1626149]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Harrell,1626149.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-10-30T21:11:38.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,87.33574244415243,37.00980392156863,1610612738,0,0,2021-10-30T21:11:46Z,70000,-65.0,67.0,1,right,MISS A. Horford 9' Hook,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,9.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-10-30T21:11:43.0Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,0,0,2021-10-30T21:11:43Z,80000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2021-10-30T21:11:57.6Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612764,0,0,2021-10-30T21:12:15Z,90000,,,0,,B. Beal bad pass out-of-bounds TURNOVER (1 TO),[203078],1610612764.0,WAS,bad pass,,,Beal,B. Beal,,,,,,,,,,,1627519.0,1.0,,,,,,,,,,,,,
10,PT11M05.00S,2021-10-30T21:12:21.4Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,0,0,2021-10-30T21:12:29Z,100000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 203484]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,,,,
11,PT11M05.00S,2021-10-30T21:12:21.4Z,1,REGULAR,steal,,[],203484,,,1610612764,0,0,2021-10-30T21:12:25Z,110000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2021-10-30T21:12:35.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203484,15.062417871222076,40.44117647058824,1610612764,0,0,2021-10-30T21:12:39Z,120000,48.0,89.0,1,left,MISS K. Caldwell-Pope 10' Jump Shot,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,10.11,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2021-10-30T21:12:37.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-10-30T21:12:39Z,130000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M41.00S,2021-10-30T21:12:45.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,85.62746386333771,32.59803921568628,1610612738,0,2,2021-10-30T21:13:00Z,140000,-87.0,83.0,1,right,J. Tatum 12' turnaround fadeaway Jump Shot (2 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,12.0,Made,,,,,,,,,2.0,,,,,,,,,,
