actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-22T01:10:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T01:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-22T01:10:53.5Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-01-22T01:10:53Z,40000,,,0,,Jump Ball S. Barnes vs. D. Gafford: Tip to P. Siakam,"[1627783, 1630567, 1629655]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-01-22T01:11:03.4Z,1,REGULAR,turnover,double dribble,[],1628384,,,1610612761,0,0,2022-01-22T01:11:17Z,70000,,,0,,O. Anunoby double dribble TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1626302.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2022-01-22T01:11:32.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203484,93.64323258869908,3.9215686274509802,1610612764,3,0,2022-01-22T01:11:39Z,80000,-230.0,7.0,1,right,K. Caldwell-Pope 3PT  (3 PTS) (B. Beal 1 AST),"[203484, 203078]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,23.05,Made,3.0,B. Beal,203078.0,1.0,,,,,,,,,,,,
10,PT11M16.00S,2022-01-22T01:11:46.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,12.565703022339028,95.09803921568627,1610612761,3,0,2022-01-22T01:11:50Z,100000,-225.0,66.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,23.48,Missed,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-01-22T01:11:49.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,0,2022-01-22T01:11:50Z,110000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M01.00S,2022-01-22T01:12:01.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,92.59198423127464,52.20588235294118,1610612764,5,0,2022-01-22T01:12:06Z,120000,11.0,17.0,1,right,D. Gafford cutting DUNK (2 PTS) (D. Avdija 1 AST),"[1629655, 1630166]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,,,2.03,Made,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,
14,PT10M46.00S,2022-01-22T01:12:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,31.882391590013142,26.47058823529412,1610612761,5,3,2022-01-22T01:12:22Z,140000,118.0,247.0,1,left,G. Trent Jr. 27' 3PT pullup (3 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,,,27.37,Made,3.0,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-01-22T01:12:29.1Z,1,REGULAR,3pt,Jump Shot,[],203915,72.48685939553219,13.970588235294118,1610612764,8,3,2022-01-22T01:12:42Z,150000,-180.0,206.0,1,right,S. Dinwiddie 27' 3PT  (3 PTS) (D. Avdija 2 AST),"[203915, 1630166]",1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,27.37,Made,3.0,D. Avdija,1630166.0,2.0,,,,,,,,,,,,
17,PT10M22.00S,2022-01-22T01:12:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,12.828515111695138,57.59803921568627,1610612761,8,3,2022-01-22T01:12:47Z,170000,-38.0,68.0,1,left,MISS P. Siakam 7' floating Shot,[1627783],1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,,,7.8,Missed,,,,,,,,,,,,,,,,
