actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-16T23:10:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-16T23:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-16T23:11:02.6Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-03-16T23:11:02Z,40000,,,0,,Jump Ball K. Porzingis vs. N. Jokic: Tip to K. Kuzma,"[1628398, 204001, 203999]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-16T23:11:21.1Z,1,REGULAR,foul,personal,['2freethrow'],203115,,,1610612764,0,0,2022-03-16T23:11:27Z,70000,,,0,,W. Barton shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[203115, 203484]",1610612743.0,DEN,shooting,,,Barton,W. Barton,,,,,201639.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-03-16T23:11:46.6Z,1,REGULAR,freethrow,1 of 2,[],203484,,,1610612764,1,0,2022-03-16T23:12:05Z,90000,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (1 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2022-03-16T23:11:46.6Z,1,REGULAR,freethrow,2 of 2,[],203484,,,1610612764,1,0,2022-03-16T23:12:05Z,100000,,,0,,MISS K. Caldwell-Pope Free Throw 2 of 2,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,Missed,,,,,,,,,,,,,,,
11,PT11M37.00S,2022-03-16T23:11:49.6Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,1,0,2022-03-16T23:12:05Z,110000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M28.00S,2022-03-16T23:12:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,16.507884362680684,43.872549019607845,1610612743,1,2,2022-03-16T23:12:19Z,120000,31.0,103.0,1,left,W. Barton 10' fadeaway Jump Shot (2 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,fadeaway,,,Barton,W. Barton,,,,,,,,,,Made,2.0,,,,,10.72,N. Jokic,203999.0,1.0,,,,,,
14,PT11M15.00S,2022-03-16T23:12:26.2Z,1,REGULAR,3pt,Jump Shot,[],204001,62.36859395532195,44.6078431372549,1610612764,1,2,2022-03-16T23:12:34Z,140000,-27.0,301.0,1,right,MISS K. Porzingis 30' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,,,,,30.24,,,,,,,,,
15,PT11M14.00S,2022-03-16T23:12:27.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,1,2,2022-03-16T23:12:34Z,150000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
16,PT11M14.00S,2022-03-16T23:12:32.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,1,2,2022-03-16T23:12:32Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
