actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-01T23:12:49.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-01T23:12:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-01T23:12:53.1Z,1,REGULAR,jumpball,recovered,[],203493,,,1610612742,0,0,2022-04-01T23:12:53Z,40000,,,0,,Jump Ball D. Powell vs. K. Porzingis: Tip to R. Bullock,"[203493, 203939, 204001]",1610612742.0,DAL,startperiod,R. Bullock,203493.0,Bullock,R. Bullock,Powell,203939.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-04-01T23:13:13.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,87.82851511169514,3.1862745098039227,1610612742,0,0,2022-04-01T23:13:19Z,70000,-234.0,62.0,1,right,MISS J. Brunson 24' 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,24.21,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-04-01T23:13:17.3Z,1,REGULAR,rebound,defensive,[],203107,,,1610612764,0,0,2022-04-01T23:13:19Z,80000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-04-01T23:13:26.0Z,1,REGULAR,2pt,Jump Shot,[],203484,23.308147174770042,62.5,1610612764,2,0,2022-04-01T23:13:31Z,90000,-62.0,167.0,1,left,K. Caldwell-Pope 17' pullup Jump Shot (2 PTS) (T. Satoransky 1 AST),"[203484, 203107]",1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,17.79,Made,,,,,2.0,T. Satoransky,203107.0,1.0,,,,,,,,,,,
11,PT11M04.00S,2022-04-01T23:13:45.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,2,0,2022-04-01T23:13:55Z,110000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 203484]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,
12,PT11M04.00S,2022-04-01T23:13:45.2Z,1,REGULAR,steal,,[],203484,,,1610612764,2,0,2022-04-01T23:13:47Z,120000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-04-01T23:13:49.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203484,30.535479632063073,24.264705882352942,1610612764,5,0,2022-04-01T23:14:31Z,130000,129.0,235.0,1,left,K. Caldwell-Pope 26' 3PT running pullup (5 PTS),[203484],1610612764.0,WAS,running pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,26.75,Made,,,,,5.0,,,,,,,,,,,,,,
14,PT10M38.00S,2022-04-01T23:14:11.0Z,1,REGULAR,2pt,Jump Shot,[],1629029,86.51445466491458,66.42156862745098,1610612742,5,2,2022-04-01T23:14:18Z,140000,82.0,74.0,1,right,L. Doncic 11' floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,11.07,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M22.00S,2022-04-01T23:14:26.4Z,1,REGULAR,2pt,Jump Shot,[],204001,24.753613666228645,62.5,1610612764,7,2,2022-04-01T23:14:32Z,150000,-62.0,180.0,1,left,K. Porzingis 19' pullup Jump Shot (2 PTS) (C. Kispert 1 AST),"[204001, 1630557]",1610612764.0,WAS,pullup,,,Porzingis,K. Porzingis,,,,,19.07,Made,,,,,2.0,C. Kispert,1630557.0,1.0,,,,,,,,,,,
16,PT10M06.00S,2022-04-01T23:14:42.7Z,1,REGULAR,2pt,Jump Shot,[],1629029,77.44743758212877,23.039215686274503,1610612742,7,2,2022-04-01T23:16:12Z,160000,-135.0,159.0,1,right,MISS L. Doncic 20' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,20.88,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M02.00S,2022-04-01T23:14:46.7Z,1,REGULAR,rebound,defensive,[],203107,,,1610612764,7,2,2022-04-01T23:14:53Z,170000,,,0,,T. Satoransky REBOUND (Off:0 Def:2),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M01.00S,2022-04-01T23:14:47.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630557,6.4881734559789805,44.36274509803921,1610612764,9,2,2022-04-01T23:15:56Z,180000,28.0,8.0,1,left,C. Kispert running Layup (2 PTS) (T. Satoransky 2 AST),"[1630557, 203107]",1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,2.95,Made,,,,,2.0,T. Satoransky,203107.0,2.0,,,,,,,,,,,
20,PT09M47.00S,2022-04-01T23:15:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,79.94415243101183,38.725490196078425,1610612742,9,4,2022-04-01T23:15:11Z,200000,-56.0,136.0,1,right,J. Brunson 14' pullup Jump Shot (2 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,14.72,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT09M32.00S,2022-04-01T23:15:17.1Z,1,REGULAR,2pt,Jump Shot,[],204001,24.227989487516425,51.96078431372549,1610612764,9,4,2022-04-01T23:15:21Z,210000,-10.0,175.0,1,left,MISS K. Porzingis 17' pullup Shot,[204001],1610612764.0,WAS,pullup,,,Porzingis,K. Porzingis,,,,,17.55,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M29.00S,2022-04-01T23:15:20.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,9,4,2022-04-01T23:15:21Z,220000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT09M21.00S,2022-04-01T23:15:28.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,67.06636005256242,61.029411764705884,1610612742,9,4,2022-04-01T23:15:33Z,230000,55.0,257.0,1,right,MISS L. Doncic 26' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M17.00S,2022-04-01T23:15:32.6Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,9,4,2022-04-01T23:15:33Z,240000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M09.00S,2022-04-01T23:15:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612764,9,4,2022-04-01T23:15:54Z,250000,,,0,,L. Doncic shooting personal FOUL (1 PF) (Satoransky 2 FT),"[1629029, 203107]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Satoransky,203107.0,,,
28,PT09M09.00S,2022-04-01T23:16:06.8Z,1,REGULAR,freethrow,1 of 2,[],203107,,,1610612764,10,4,2022-04-01T23:16:06Z,270000,,,0,,T. Satoransky Free Throw 1 of 2 (1 PTS),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
29,PT09M09.00S,2022-04-01T23:16:19.7Z,1,REGULAR,freethrow,2 of 2,[],203107,,,1610612764,11,4,2022-04-01T23:16:19Z,280000,,,0,,T. Satoransky Free Throw 2 of 2 (2 PTS),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
30,PT08M55.00S,2022-04-01T23:16:37.3Z,1,REGULAR,foul,personal,[],203107,,,1610612742,11,4,2022-04-01T23:16:44Z,290000,,,0,,T. Satoransky personal FOUL (1 PF),"[203107, 1627827]",1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Finney-Smith,1627827.0,,,
32,PT08M47.00S,2022-04-01T23:16:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,91.50788436268068,38.970588235294116,1610612742,11,4,2022-04-01T23:17:53Z,310000,-55.0,27.0,1,right,MISS D. Powell 6' alley-oop Layup,[203939],1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,6.15,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M45.00S,2022-04-01T23:17:00.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,11,4,2022-04-01T23:19:41Z,320000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT08M39.00S,2022-04-01T23:17:07.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629060,23.833771353482263,75.24509803921569,1610612764,11,4,2022-04-01T23:19:06Z,330000,-126.0,172.0,1,left,MISS R. Hachimura 21' running pullup Shot,[1629060],1610612764.0,WAS,running pullup,,,Hachimura,R. Hachimura,,,,,21.29,Missed,,,,,,,,,,,,,,,,,,,
