actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M40.00S,2021-12-12T00:12:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,84.54336399474376,49.754901960784316,1610612764,4,2,2021-12-12T00:12:15Z,160000,-1.0,93.0,1,right,D. Gafford 9' cutting Layup (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,9.28,Made,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,,
18,PT10M26.00S,2021-12-12T00:12:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.32391590013141,38.23529411764706,1610612762,4,5,2021-12-12T00:12:28Z,180000,59.0,242.0,1,left,D. Mitchell 24' 3PT pullup (3 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,24.89,Made,3.0,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2021-12-12T00:12:47.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,4,5,2021-12-12T00:12:47Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M58.00S,2021-12-12T00:13:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,86.25164257555848,42.64705882352941,1610612764,4,5,2021-12-12T00:15:03Z,200000,-37.0,77.0,1,right,MISS B. Beal 8' pullup Shot,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,8.51,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M57.00S,2021-12-12T00:13:13.8Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,4,5,2021-12-12T00:13:29Z,210000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M49.00S,2021-12-12T00:13:22.7Z,1,REGULAR,3pt,Jump Shot,[],201144,23.702365308804204,12.5,1610612762,4,5,2021-12-12T00:13:35Z,220000,188.0,170.0,1,left,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M45.00S,2021-12-12T00:13:26.7Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,4,5,2021-12-12T00:13:35Z,230000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,
26,PT09M39.00S,2021-12-12T00:13:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,90.45663600525624,45.34313725490197,1610612764,4,5,2021-12-12T00:13:42Z,240000,-23.0,37.0,1,right,MISS S. Dinwiddie Layup,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,4.39,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M39.00S,2021-12-12T00:13:32.5Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,4,5,2021-12-12T00:14:10Z,250000,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,
28,PT09M31.00S,2021-12-12T00:13:39.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630166,94.40999984741211,50.0,1610612764,6,5,2021-12-12T00:13:57Z,260000,0.0,0.0,1,right,D. Avdija tip Layup (2 PTS),[1630166],1610612764.0,WAS,tip,,,Avdija,D. Avdija,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
