actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-20T00:10:26.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T00:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T00:10:28.9Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612764,0,0,2022-01-20T00:10:28Z,40000,,,0,,Jump Ball D. Gafford vs. D. Sharpe: Tip to S. Dinwiddie,"[203915, 1629655, 1630549]",1610612764.0,WAS,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Gafford,1629655.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-01-20T00:10:47.7Z,1,REGULAR,2pt,Jump Shot,[],1628398,22.651116951379763,44.607843137254896,1610612764,0,0,2022-01-20T00:10:55Z,70000,27.0,160.0,1,left,MISS K. Kuzma 16' floating Shot,[1628398],1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,16.27,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-01-20T00:10:48.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2022-01-20T00:10:55Z,80000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-20T00:10:54.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,0,2022-01-20T00:10:54Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-01-20T00:11:14.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630549,92.0335085413929,48.0392156862745,1610612751,0,2,2022-01-20T00:11:19Z,100000,-10.0,22.0,1,right,D. Sharpe alley-oop DUNK (2 PTS) (K. Irving 1 AST),"[1630549, 202681]",1610612751.0,BKN,alley-oop,,,Sharpe,D. Sharpe,,,,,2.44,Made,,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
12,PT11M10.00S,2022-01-20T00:11:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,7.933639947437584,51.71568627450981,1610612764,2,2,2022-01-20T00:11:33Z,120000,-9.0,22.0,1,left,D. Gafford Layup (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,2.37,Made,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,
14,PT11M10.00S,2022-01-20T00:11:32.2Z,1,REGULAR,foul,personal,['1freethrow'],1630556,,,1610612764,2,2,2022-01-20T00:11:43Z,140000,,,0,,K. Edwards shooting personal FOUL (1 PF) (Gafford 1 FT),"[1630556, 1629655]",1610612751.0,BKN,shooting,,,Edwards,K. Edwards,,,,,,,,,,,,1627964.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,
16,PT11M10.00S,2022-01-20T00:11:54.9Z,1,REGULAR,freethrow,1 of 1,[],1629655,,,1610612764,3,2,2022-01-20T00:11:54Z,160000,,,0,,D. Gafford Free Throw 1 of 1 (3 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Made,,3.0,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2022-01-20T00:12:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,86.12023653088042,48.28431372549019,1610612751,3,4,2022-01-20T00:12:17Z,170000,-9.0,78.0,1,right,K. Irving 7' pullup Jump Shot (2 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,7.85,Made,,2.0,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2022-01-20T00:12:28.1Z,1,REGULAR,2pt,Jump Shot,[],203078,23.833771353482263,52.205882352941174,1610612764,3,4,2022-01-20T00:12:32Z,180000,-11.0,172.0,1,left,MISS B. Beal 17' pullup Shot,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,17.19,Missed,,,,,,,,,,,,,,,,,,,
