actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-23T00:11:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T00:11:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-23T00:11:57.8Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612764,0,0,2021-11-23T00:11:57Z,40000,,,0,,Jump Ball D. Gafford vs. M. Plumlee: Tip to S. Dinwiddie,"[203915, 1629655, 203486]",1610612764.0,WAS,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Gafford,1629655.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-23T00:12:10.9Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612764,0,0,2021-11-23T00:12:16Z,70000,,,0,,B. Beal lost ball out-of-bounds TURNOVER (1 TO),[203078],1610612764.0,WAS,lost ball,,,Beal,B. Beal,,,,,1627519.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2021-11-23T00:12:34.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202330,17.427726675427067,54.41176470588235,1610612766,0,0,2021-11-23T00:12:38Z,80000,-22.0,111.0,1,left,MISS G. Hayward 11' floating Shot,[202330],1610612766.0,CHA,floating,,,Hayward,G. Hayward,,,,,,,11.35,Missed,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-23T00:12:37.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2021-11-23T00:12:38Z,90000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M23.00S,2021-11-23T00:12:40.9Z,1,REGULAR,3pt,Jump Shot,[],203484,79.58278580814718,6.862745098039216,1610612764,0,0,2021-11-23T00:12:47Z,100000,-216.0,139.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,25.68,Missed,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2021-11-23T00:12:44.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2021-11-23T00:12:47Z,110000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M05.00S,2021-11-23T00:12:58.5Z,1,REGULAR,3pt,Jump Shot,[],1630163,4.812746386333772,97.54901960784314,1610612766,0,0,2021-11-23T00:13:03Z,120000,-238.0,-7.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,23.78,Missed,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2021-11-23T00:13:02.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2021-11-23T00:13:03Z,130000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,
14,PT10M52.00S,2021-11-23T00:13:12.1Z,1,REGULAR,3pt,Jump Shot,[],203915,65.39093298291722,49.01960784313725,1610612764,0,0,2021-11-23T00:13:16Z,140000,-5.0,273.0,1,right,MISS S. Dinwiddie 27' pullup 3PT,[203915],1610612764.0,WAS,pullup,,,Dinwiddie,S. Dinwiddie,,,,,,,27.28,Missed,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2021-11-23T00:13:14.1Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2021-11-23T00:13:16Z,150000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M36.00S,2021-11-23T00:13:27.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,4.155716162943495,98.2843137254902,1610612766,0,0,2021-11-23T00:13:33Z,160000,-241.0,-13.0,1,left,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,24.18,Missed,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2021-11-23T00:13:28.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2021-11-23T00:13:33Z,170000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
18,PT10M35.00S,2021-11-23T00:13:35.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,0,0,2021-11-23T00:13:35Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
