actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-31T00:10:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-31T00:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-31T00:10:45.3Z,1,REGULAR,jumpball,recovered,[],201567,,,1610612739,0,0,2021-12-31T00:10:45Z,40000,,,0,,Jump Ball E. Mobley vs. D. Gafford: Tip to K. Love,"[201567, 1630596, 1629655]",1610612739.0,CLE,startperiod,K. Love,201567.0,Love,K. Love,Mobley,1630596.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-31T00:10:55.6Z,1,REGULAR,turnover,bad pass,[],1630171,,,1610612739,0,0,2021-12-31T00:17:33Z,70000,,,0,,I. Okoro bad pass TURNOVER (1 TO),"[1630171, 1629655]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,1.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-31T00:10:55.6Z,1,REGULAR,steal,,[],1629655,,,1610612764,0,0,2021-12-31T00:10:57Z,80000,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-12-31T00:11:03.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,90.62089356110381,96.56862745098039,1610612764,3,0,2021-12-31T00:11:15Z,90000,233.0,36.0,1,right,K. Kuzma 3PT  (3 PTS) (B. Wanamaker 1 AST),"[1628398, 202954]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,23.55,Made,3.0,B. Wanamaker,202954.0,1.0,,,,,,,,,,,
11,PT11M10.00S,2021-12-31T00:11:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630698,7.5722733245729295,41.66666666666667,1610612739,3,0,2021-12-31T00:13:20Z,110000,42.0,19.0,1,left,MISS K. Pangos driving finger roll Layup,[1630698],1610612739.0,CLE,driving finger roll,,,Pangos,K. Pangos,,,,,,,,4.57,Missed,,,,,,,,,,,,,,,
12,PT11M03.00S,2021-12-31T00:11:38.2Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,3,0,2021-12-31T00:13:02Z,120000,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M03.00S,2021-12-31T00:11:37.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630596,5.590000152587891,50.0,1610612739,3,2,2021-12-31T00:11:37Z,130000,0.0,0.0,1,left,E. Mobley putback DUNK (2 PTS),[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,
14,PT10M49.00S,2021-12-31T00:11:51.5Z,1,REGULAR,3pt,Jump Shot,[],203484,92.9862023653088,2.941176470588235,1610612764,3,2,2021-12-31T00:11:58Z,140000,-235.0,13.0,1,right,MISS K. Caldwell-Pope pullup 3PT,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,23.57,Missed,,,,,,,,,,,,,,,
15,PT10M47.00S,2021-12-31T00:11:53.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,3,2,2021-12-31T00:11:58Z,150000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M42.00S,2021-12-31T00:11:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,8.492115637319317,57.84313725490197,1610612739,3,2,2021-12-31T00:18:36Z,160000,-39.0,27.0,1,left,MISS L. Markkanen cutting Layup - blocked,"[1628374, 1628398]",1610612739.0,CLE,cutting,,,Markkanen,L. Markkanen,,,,,,,,4.78,Missed,,,,,,,,,Kuzma,1628398.0,,,,,
52,PT10M42.00S,2021-12-31T00:11:59.0Z,1,REGULAR,block,,[],1628398,,,1610612739,3,2,2021-12-31T00:18:06Z,165000,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2021-12-31T00:12:03.0Z,1,REGULAR,rebound,defensive,[],202954,,,1610612764,3,2,2021-12-31T00:12:09Z,170000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612764.0,WAS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M33.00S,2021-12-31T00:12:07.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203078,79.05716162943496,52.69607843137255,1610612764,5,2,2021-12-31T00:19:25Z,180000,13.0,144.0,1,right,B. Beal 14' pullup Jump Shot (2 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,,,,14.5,Made,2.0,,,,,,,,,,,,,,
19,PT10M12.00S,2021-12-31T00:12:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,10.85742444152431,42.64705882352941,1610612739,5,2,2021-12-31T00:20:29Z,190000,37.0,50.0,1,left,MISS I. Okoro 6' turnaround Shot,[1630171],1610612739.0,CLE,turnaround,,,Okoro,I. Okoro,,,,,,,,6.18,Missed,,,,,,,,,,,,,,,
20,PT10M12.00S,2021-12-31T00:12:28.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,5,2,2021-12-31T00:12:35Z,200000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
