actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-03T23:10:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T23:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-03T23:10:38.0Z,1,REGULAR,jumpball,recovered,[],1629018,,,1610612761,0,0,2021-11-03T23:10:38Z,40000,,,0,,Jump Ball P. Achiuwa vs. D. Gafford: Tip to G. Trent Jr.,"[1629018, 1630173, 1629655]",1610612761.0,TOR,startperiod,G. Trent Jr.,1629018.0,Trent Jr.,G. Trent Jr.,Achiuwa,1630173.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-03T23:10:49.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,6.783837056504599,51.71568627450981,1610612761,0,2,2021-11-03T23:10:54Z,70000,-9.0,11.0,1,left,P. Achiuwa alley-oop DUNK (2 PTS) (F. VanVleet 1 AST),"[1630173, 1627832]",1610612761.0,TOR,alley-oop,,,Achiuwa,P. Achiuwa,,,,,1.42,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-11-03T23:11:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,91.67214191852825,51.71568627450981,1610612764,0,2,2021-11-03T23:11:11Z,90000,9.0,26.0,1,right,MISS K. Kuzma Layup,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-11-03T23:11:08.5Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,2,2021-11-03T23:11:08Z,100000,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M24.00S,2021-11-03T23:11:09.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629655,92.59198423127464,49.50980392156863,1610612764,2,2,2021-11-03T23:11:15Z,110000,-2.0,17.0,1,right,D. Gafford DUNK (2 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,1.73,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2021-11-03T23:11:20.4Z,1,REGULAR,2pt,Jump Shot,[],1629018,7.046649145860711,17.892156862745097,1610612761,2,4,2021-11-03T23:11:25Z,120000,161.0,14.0,1,left,G. Trent Jr. 16' pullup Jump Shot (2 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,16.11,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2021-11-03T23:11:39.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,85.75886990801577,99.01960784313727,1610612764,2,4,2021-11-03T23:11:46Z,130000,245.0,81.0,1,right,MISS K. Kuzma 25' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-11-03T23:11:42.7Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,2,4,2021-11-03T23:11:46Z,140000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M39.00S,2021-11-03T23:11:54.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,31.61957950065703,19.852941176470587,1610612761,2,4,2021-11-03T23:11:58Z,150000,151.0,245.0,1,left,MISS G. Trent Jr. 28' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,28.74,Missed,,,,,,,,,,,,,,,,,,,
