actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-15T00:11:10.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-15T00:11:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-15T00:11:14.4Z,1,REGULAR,jumpball,recovered,[],1630180,,,1610612765,0,0,2022-02-15T00:11:14Z,40000,,,0,,Jump Ball I. Stewart vs. T. Bryant: Tip to S. Bey,"[1630180, 1630191, 1628418]",1610612765.0,DET,startperiod,S. Bey,1630180.0,Bey,S. Bey,Stewart,1630191.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-15T00:11:27.6Z,1,REGULAR,3pt,Jump Shot,[],1630180,15.062417871222076,96.56862745098039,1610612765,0,0,2022-02-15T00:11:33Z,70000,-233.0,89.0,1,left,MISS S. Bey 24' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-15T00:11:27.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2022-02-15T00:11:33Z,80000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-02-15T00:11:32.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,0,0,2022-02-15T00:11:32Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-02-15T00:12:00.8Z,1,REGULAR,2pt,Jump Shot,[],1628398,77.08607095926413,74.75490196078431,1610612764,2,0,2022-02-15T00:12:06Z,100000,124.0,163.0,1,right,K. Kuzma 20' pullup Jump Shot (2 PTS),[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,20.46,Made,,2.0,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-02-15T00:12:28.3Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612765,2,0,2022-02-15T00:12:36Z,120000,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Bey 2 FT),"[1628398, 1630180]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,,,,,1626302.0,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,
14,PT11M00.00S,2022-02-15T00:12:48.2Z,1,REGULAR,freethrow,1 of 2,[],1630180,,,1610612765,2,1,2022-02-15T00:12:48Z,140000,,,0,,S. Bey Free Throw 1 of 2 (1 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,Made,,1.0,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-02-15T00:13:03.9Z,1,REGULAR,freethrow,2 of 2,[],1630180,,,1610612765,2,2,2022-02-15T00:13:03Z,150000,,,0,,S. Bey Free Throw 2 of 2 (2 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,Made,,2.0,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-02-15T00:13:22.0Z,1,REGULAR,turnover,out-of-bounds,[],203526,,,1610612764,2,2,2022-02-15T00:14:21Z,160000,,,0,,R. Neto lost ball out-of-bounds TURNOVER (1 TO),[203526],1610612764.0,WAS,lost ball,,,Neto,R. Neto,,,,,,,,,203592.0,,,,,1.0,,,,,,,,,,,
