actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-07T23:11:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T23:11:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-07T23:11:25.5Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612749,0,0,2021-11-07T23:11:25Z,40000,,,0,,Jump Ball B. Portis vs. D. Gafford: Tip to J. Holiday,"[201950, 1626171, 1629655]",1610612749.0,MIL,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Portis,1626171.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-07T23:11:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,94.56307490144546,46.07843137254902,1610612749,0,0,2021-11-07T23:12:10Z,70000,-20.0,-1.0,1,right,MISS J. Holiday driving finger roll Layup,[201950],1610612749.0,MIL,driving finger roll,,,Holiday,J. Holiday,,,,,1.96,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-11-07T23:11:41.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2021-11-07T23:11:41Z,80000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M34.00S,2021-11-07T23:11:53.2Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612764,0,0,2021-11-07T23:11:58Z,100000,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Gafford 2 FT),"[203507, 1629655]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,1162.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,,
12,PT11M34.00S,2021-11-07T23:12:16.7Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612764,0,0,2021-11-07T23:12:16Z,120000,,,0,,MISS D. Gafford Free Throw 1 of 2,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M34.00S,2021-11-07T23:12:16.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,0,0,2021-11-07T23:12:16Z,130000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M34.00S,2021-11-07T23:12:34.9Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612764,1,0,2021-11-07T23:12:34Z,140000,,,0,,D. Gafford Free Throw 2 of 2 (1 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
15,PT11M15.00S,2021-11-07T23:12:56.1Z,1,REGULAR,3pt,Jump Shot,[],201950,95.48291721419186,4.166666666666666,1610612749,1,0,2021-11-07T23:13:04Z,150000,-229.0,-10.0,1,right,MISS J. Holiday 3PT - blocked,"[201950, 1629655]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,22.94,Missed,,,,,,,,,,,Gafford,1629655.0,,,,,,,
16,PT11M15.00S,2021-11-07T23:12:56.1Z,1,REGULAR,block,,[],1629655,,,1610612749,1,0,2021-11-07T23:12:59Z,160000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
