actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-13T00:11:02.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T00:11:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-13T00:11:07.0Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-02-13T00:11:07Z,40000,,,0,,Jump Ball D. Sabonis vs. T. Bryant: Tip to H. Barnes,"[203084, 1627734, 1628418]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-13T00:11:23.2Z,1,REGULAR,2pt,Jump Shot,[],1628368,22.421156373193167,40.19607843137255,1610612758,0,2,2022-02-13T00:11:27Z,70000,49.0,158.0,1,left,D. Fox 16' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,16.57,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2022-02-13T00:11:41.8Z,1,REGULAR,3pt,Jump Shot,[],1628418,69.59592641261499,70.34313725490196,1610612764,0,2,2022-02-13T00:11:48Z,80000,102.0,233.0,1,right,MISS T. Bryant 25' 3PT,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2022-02-13T00:11:46.8Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,0,2,2022-02-13T00:11:48Z,90000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M10.00S,2022-02-13T00:11:52.6Z,1,REGULAR,3pt,Jump Shot,[],203200,31.35676741130092,77.45098039215686,1610612758,0,2,2022-02-13T00:11:58Z,100000,-137.0,242.0,1,left,MISS J. Holiday 27' pullup 3PT,[203200],1610612758.0,SAC,pullup,,,Holiday,J. Holiday,,,,,27.85,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-02-13T00:11:56.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,0,2,2022-02-13T00:11:58Z,110000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M56.00S,2022-02-13T00:12:05.6Z,1,REGULAR,3pt,Jump Shot,[],1630557,80.23981603153744,6.127450980392156,1610612764,0,2,2022-02-13T00:12:10Z,120000,-219.0,133.0,1,right,MISS C. Kispert 25' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,25.67,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-02-13T00:12:08.6Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,0,2,2022-02-13T00:12:10Z,130000,,,0,,M. Harkless REBOUND (Off:0 Def:2),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M46.00S,2022-02-13T00:12:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203090,7.440867279894875,59.31372549019608,1610612758,0,4,2022-02-13T00:12:20Z,140000,-47.0,17.0,1,left,M. Harkless Layup (2 PTS) (H. Barnes 1 AST),"[203090, 203084]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,4.97,Made,2.0,,,,,H. Barnes,203084.0,1.0,,,,,,,,,,,
