actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-02T00:10:28.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-02T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-02T00:10:30.7Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2021-12-02T00:10:30Z,40000,,,0,,Jump Ball D. Gafford vs. K. Towns: Tip to K. Kuzma,"[1628398, 1629655, 1626157]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Gafford,1629655.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-02T00:10:47.1Z,1,REGULAR,2pt,Jump Shot,[],203484,76.5604467805519,70.58823529411765,1610612764,0,0,2021-12-02T00:11:21Z,70000,103.0,168.0,1,right,MISS K. Caldwell-Pope 19' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,19.68,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-02T00:10:49.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,0,2021-12-02T00:10:52Z,80000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-12-02T00:11:05.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,6.915243101182654,50.73529411764706,1610612750,0,2,2021-12-02T00:11:09Z,90000,-4.0,13.0,1,left,J. Vanderbilt cutting DUNK (2 PTS) (K. Towns 1 AST),"[1629020, 1626157]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,1.3,Made,,,,,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,
11,PT11M04.00S,2021-12-02T00:11:23.4Z,1,REGULAR,turnover,bad pass,[],1629655,,,1610612764,0,2,2021-12-02T00:11:28Z,110000,,,0,,D. Gafford bad pass TURNOVER (1 TO),"[1629655, 1626157]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,,,
12,PT11M04.00S,2021-12-02T00:11:23.4Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,2,2021-12-02T00:11:50Z,120000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2021-12-02T00:11:32.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626157,9.806176084099869,39.705882352941174,1610612750,0,2,2021-12-02T00:11:38Z,130000,51.0,40.0,1,left,MISS K. Towns 6' driving DUNK - blocked,"[1626157, 1629655]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,6.5,Missed,,,,,,,,,,,,Gafford,1629655.0,,,,,,
14,PT10M55.00S,2021-12-02T00:11:32.1Z,1,REGULAR,block,,[],1629655,,,1610612750,0,2,2021-12-02T00:11:34Z,140000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2021-12-02T00:11:35.1Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612750,0,2,2021-12-02T00:11:38Z,150000,,,0,,D. Russell REBOUND (Off:1 Def:0),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
