actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-06T23:10:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-06T23:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-06T23:10:25.2Z,1,REGULAR,jumpball,recovered,[],203526,,,1610612764,0,0,2022-03-06T23:10:25Z,40000,,,0,,Jump Ball K. Porzingis vs. I. Jackson: Tip to R. Neto,"[203526, 204001, 1630543]",1610612764.0,WAS,startperiod,R. Neto,203526.0,Neto,R. Neto,Porzingis,204001.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-06T23:10:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,92.72339027595268,54.65686274509803,1610612764,2,0,2022-03-06T23:10:52Z,70000,23.0,16.0,1,right,K. Porzingis alley-oop Layup (2 PTS) (K. Kuzma 1 AST),"[204001, 1628398]",1610612764.0,WAS,alley-oop,,,Porzingis,K. Porzingis,,,,,2.82,Made,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
9,PT11M14.00S,2022-03-06T23:11:05.7Z,1,REGULAR,3pt,Jump Shot,[],1627763,3.7614980289093296,96.81372549019608,1610612754,2,0,2022-03-06T23:11:10Z,90000,-234.0,-17.0,1,left,MISS M. Brogdon 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2022-03-06T23:11:07.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,0,2022-03-06T23:11:10Z,100000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M10.00S,2022-03-06T23:11:13.3Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612764,2,0,2022-03-06T23:11:23Z,110000,,,0,,I. Jackson shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[1630543, 203484]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,
13,PT11M10.00S,2022-03-06T23:11:39.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203484,,,1610612764,3,0,2022-03-06T23:11:39Z,130000,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (1 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2022-03-06T23:11:56.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203484,,,1610612764,4,0,2022-03-06T23:11:56Z,140000,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (2 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-03-06T23:12:12.1Z,1,REGULAR,2pt,Jump Shot,[],1630169,25.18068331143233,48.77450980392157,1610612754,4,0,2022-03-06T23:12:18Z,150000,6.0,184.0,1,left,MISS T. Haliburton 18' pullup Shot,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,18.43,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-03-06T23:12:15.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,0,2022-03-06T23:12:18Z,160000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,
