actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-05T23:11:22.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T23:11:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T23:11:25.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-11-05T23:11:25Z,40000,,,0,,Jump Ball S. Adams vs. D. Gafford: Tip to J. Morant,"[1629630, 203500, 1629655]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-05T23:11:40.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,86.02168199737189,36.27450980392157,1610612763,0,2,2021-11-05T23:11:46Z,70000,-69.0,79.0,1,right,J. Jackson Jr. 10' Hook (2 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,10.46,Made,2.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-11-05T23:11:59.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,7.046649145860711,55.14705882352941,1610612764,2,2,2021-11-05T23:13:14Z,90000,-26.0,14.0,1,left,D. Gafford reverse DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[1629655, 203484]",1610612764.0,WAS,reverse,,,Gafford,D. Gafford,,,,,2.91,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,,
11,PT11M10.00S,2021-11-05T23:12:12.0Z,1,REGULAR,2pt,Jump Shot,[],1630217,81.15965834428384,66.66666666666666,1610612763,2,4,2021-11-05T23:12:17Z,110000,83.0,125.0,1,right,D. Bane 14' floating Jump Shot (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,floating,,,Bane,D. Bane,,,,,14.99,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
13,PT10M53.00S,2021-11-05T23:12:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629655,17.559132720105126,40.68627450980392,1610612764,4,4,2021-11-05T23:12:33Z,130000,47.0,113.0,1,left,D. Gafford 12' turnaround fadeaway Jump Shot (4 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,turnaround fadeaway,,,Gafford,D. Gafford,,,,,12.19,Made,4.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,,
15,PT10M33.00S,2021-11-05T23:12:51.4Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612763,4,4,2021-11-05T23:13:01Z,150000,,,0,,B. Beal shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[203078, 1628991]",1610612764.0,WAS,shooting,,,Beal,B. Beal,,,,,,,,,,,1627963.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,,
17,PT10M33.00S,2021-11-05T23:13:14.1Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,4,5,2021-11-05T23:13:14Z,170000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2021-11-05T23:13:31.1Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,4,6,2021-11-05T23:13:31Z,180000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (4 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2021-11-05T23:13:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.623521681997373,47.30392156862745,1610612764,6,6,2021-11-05T23:13:49Z,190000,13.0,29.0,1,left,B. Beal running Layup (2 PTS) (S. Dinwiddie 1 AST),"[203078, 203915]",1610612764.0,WAS,running,,,Beal,B. Beal,,,,,3.16,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,,
21,PT10M01.00S,2021-11-05T23:14:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,88.12417871222075,64.4607843137255,1610612763,6,8,2021-11-05T23:14:09Z,210000,72.0,59.0,1,right,J. Morant 9' driving floating bank Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,9.34,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT09M46.00S,2021-11-05T23:14:19.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,15.456636005256241,36.27450980392157,1610612764,6,8,2021-11-05T23:14:23Z,220000,69.0,93.0,1,left,MISS K. Kuzma 11' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,11.54,Missed,,,,,,,,,,,,,,,,,,,
