actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-20T00:10:52.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-20T00:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-20T00:10:55.5Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2022-03-20T00:10:55Z,40000,,,0,,Jump Ball L. James vs. K. Porzingis: Tip to R. Westbrook,"[201566, 2544, 204001]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,James,2544.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-20T00:11:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626169,92.16491458607096,54.16666666666667,1610612747,0,2,2022-03-20T00:11:16Z,70000,21.0,21.0,1,right,S. Johnson alley-oop Layup (2 PTS) (L. James 1 AST),"[1626169, 2544]",1610612747.0,LAL,alley-oop,,,Johnson,S. Johnson,,,,,2.96,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-03-20T00:11:28.7Z,1,REGULAR,2pt,Jump Shot,[],1629060,23.04533508541394,30.637254901960787,1610612764,2,2,2022-03-20T00:11:33Z,90000,97.0,164.0,1,left,R. Hachimura 19' pullup Jump Shot (2 PTS) (R. Neto 1 AST),"[1629060, 203526]",1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,19.05,Made,2.0,R. Neto,203526.0,1.0,,,,,,,,,,,,,,,
11,PT10M56.00S,2022-03-20T00:11:55.6Z,1,REGULAR,3pt,Jump Shot,[],1626169,90.45663600525624,96.07843137254902,1610612747,2,2,2022-03-20T00:12:01Z,110000,230.0,37.0,1,right,MISS S. Johnson 3PT,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,23.34,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2022-03-20T00:12:00.3Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,2,2,2022-03-20T00:12:00Z,120000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT10M51.00S,2022-03-20T00:12:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,94.40999984741211,50.0,1610612747,2,4,2022-03-20T00:12:00Z,130000,0.0,0.0,1,right,R. Westbrook tip Layup (2 PTS),[201566],1610612747.0,LAL,tip,,,Westbrook,R. Westbrook,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2022-03-20T00:12:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612764,2,4,2022-03-20T00:12:31Z,140000,,,0,,M. Monk shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1628370, 204001]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,,,,,,,,,,,204058.0,1.0,0.0,Porzingis,204001.0,,,,,,
16,PT10M42.00S,2022-03-20T00:12:37.2Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,2,4,2022-03-20T00:12:37Z,160000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-03-20T00:12:37.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,2,4,2022-03-20T00:12:37Z,170000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
