actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-14T23:46:04.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-14T23:46:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-14T23:46:06.4Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-14T23:46:06Z,40000,,,0,,Jump Ball J. Embiid vs. N. Jokic: Tip to T. Maxey,"[1630178, 203954, 203999]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-03-14T23:46:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,7.440867279894875,62.5,1610612755,0,0,2022-03-14T23:46:32Z,70000,-62.0,17.0,1,left,MISS J. Embiid 6' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,6.49,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-03-14T23:46:30.4Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612755,0,0,2022-03-14T23:46:30Z,80000,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-03-14T23:46:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,10.726018396846255,50.73529411764706,1610612755,0,0,2022-03-14T23:46:46Z,90000,-4.0,48.0,1,left,MISS J. Embiid Layup - blocked,"[203954, 203999]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,4.84,Missed,,,,,Jokic,203999.0,,,,,,,,,,,,,
10,PT11M24.00S,2022-03-14T23:46:39.6Z,1,REGULAR,block,,[],203999,,,1610612755,0,0,2022-03-14T23:46:46Z,100000,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-03-14T23:46:42.6Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,0,0,2022-03-14T23:46:46Z,110000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M20.00S,2022-03-14T23:46:45.8Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,0,0,2022-03-14T23:46:53Z,120000,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,,,,,,,,,2715.0,1.0,,,,,,,,,,,
13,PT11M04.00S,2022-03-14T23:47:10.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203954,6.783837056504599,47.549019607843135,1610612755,2,0,2022-03-14T23:47:16Z,130000,12.0,11.0,1,left,J. Embiid driving DUNK (2 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,1.67,Made,,,,,,,,,2.0,,,,,,,,,,
14,PT10M42.00S,2022-03-14T23:47:32.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.25558475689881,47.549019607843135,1610612743,2,2,2022-03-14T23:47:38Z,140000,-12.0,58.0,1,right,N. Jokic turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,5.92,Made,,,,,,,,,2.0,,,,,,,,,,
