actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-20T00:10:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T00:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T00:11:01.4Z,1,REGULAR,jumpball,recovered,[],1629718,,,1610612755,0,0,2022-01-20T00:11:01Z,40000,,,0,,Jump Ball J. Embiid vs. M. Bamba: Tip to C. Brown Jr.,"[1629718, 203954, 1628964]",1610612755.0,PHI,startperiod,C. Brown Jr.,1629718.0,Brown Jr.,C. Brown Jr.,Embiid,203954.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-20T00:11:13.8Z,1,REGULAR,2pt,Jump Shot,[],203954,12.401445466491452,78.18627450980392,1610612755,0,0,2022-01-20T00:11:19Z,70000,-141.0,64.0,1,left,MISS J. Embiid 15' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,15.48,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-20T00:11:17.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,0,2022-01-20T00:11:19Z,80000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-20T00:11:28.2Z,1,REGULAR,3pt,Jump Shot,[],203914,72.9796320630749,80.63725490196079,1610612753,0,0,2022-01-20T00:11:32Z,90000,153.0,201.0,1,right,MISS G. Harris 25' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-01-20T00:11:31.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,0,0,2022-01-20T00:11:32Z,100000,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-01-20T00:11:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,92.95335085413929,44.11764705882353,1610612753,0,0,2022-01-20T00:11:47Z,110000,-29.0,14.0,1,right,MISS M. Bamba cutting Layup,[1628964],1610612753.0,ORL,cutting,,,Bamba,M. Bamba,,,,,3.24,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-20T00:11:46.3Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,0,0,2022-01-20T00:11:46Z,120000,,,0,,M. Bamba REBOUND (Off:2 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,11.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-01-20T00:11:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,94.40999984741211,50.0,1610612753,0,2,2022-01-20T00:11:46Z,130000,0.0,0.0,1,right,M. Bamba tip Layup (2 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M57.00S,2022-01-20T00:12:00.2Z,1,REGULAR,3pt,Jump Shot,[],203552,7.802233902759525,2.941176470588232,1610612755,0,2,2022-01-20T00:12:04Z,140000,235.0,21.0,1,left,MISS S. Curry 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,23.62,Missed,,,,,,,,,,,,,,,,,,,
