actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-28T00:35:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-28T00:35:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-28T00:35:45.3Z,1,REGULAR,jumpball,recovered,[],1627788,,,1610612755,0,0,2022-01-28T00:35:45Z,40000,,,0,,Jump Ball J. Embiid vs. A. Davis: Tip to F. Korkmaz,"[1627788, 203954, 203076]",1610612755.0,PHI,startperiod,F. Korkmaz,1627788.0,Korkmaz,F. Korkmaz,Embiid,203954.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-28T00:35:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.703679369250986,57.35294117647059,1610612755,0,0,2022-01-28T00:36:02Z,70000,-37.0,20.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,4.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-28T00:36:01.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2022-01-28T00:36:02Z,80000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-01-28T00:36:17.7Z,1,REGULAR,3pt,Jump Shot,[],1628370,69.85873850197109,77.94117647058823,1610612747,0,0,2022-01-28T00:36:22Z,90000,140.0,231.0,1,right,MISS M. Monk 26' pullup 3PT,[1628370],1610612747.0,LAL,pullup,,,Monk,M. Monk,,,,,26.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-01-28T00:36:20.4Z,1,REGULAR,rebound,offensive,[],1626169,,,1610612747,0,0,2022-01-28T00:36:20Z,100000,,,0,,S. Johnson REBOUND (Off:1 Def:0),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2022-01-28T00:36:22.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626169,95.74572930354796,71.56862745098039,1610612747,0,2,2022-01-28T00:36:26Z,110000,108.0,-13.0,1,right,S. Johnson 10' pullup Jump Shot (2 PTS),[1626169],1610612747.0,LAL,pullup,,,Johnson,S. Johnson,,,,,10.85,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M07.00S,2022-01-28T00:36:32.9Z,1,REGULAR,3pt,Jump Shot,[],1630178,20.45006570302234,3.9215686274509802,1610612755,3,2,2022-01-28T00:36:36Z,120000,230.0,140.0,1,left,T. Maxey 26' 3PT  (3 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,26.94,Made,,,,,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,
14,PT10M45.00S,2022-01-28T00:36:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,91.93495400788436,51.470588235294116,1610612747,3,2,2022-01-28T00:37:01Z,140000,7.0,23.0,1,right,MISS M. Monk driving finger roll Layup,[1628370],1610612747.0,LAL,driving finger roll,,,Monk,M. Monk,,,,,2.44,Missed,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2022-01-28T00:37:00.5Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,3,2,2022-01-28T00:37:00Z,150000,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
