actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-15T00:10:41.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T00:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-01-15T00:10:47.2Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612738,0,0,2022-01-15T00:10:47Z,40000,,,0,,Jump Ball R. Williams III vs. J. Embiid: Tip to D. Schroder,"[203471, 1629057, 203954]",1610612738.0,BOS,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Williams III,1629057.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-15T00:10:56.7Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,0,0,2022-01-15T00:11:00Z,70000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1630178]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-01-15T00:10:56.7Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,0,2022-01-15T00:10:58Z,80000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-15T00:11:05.1Z,1,REGULAR,turnover,backcourt,[],202699,,,1610612755,0,0,2022-01-15T00:11:16Z,90000,,,0,,T. Harris backcourt TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,1.0,,,1830.0,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-01-15T00:11:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,92.0335085413929,1.7156862745098067,1610612738,0,3,2022-01-15T00:11:35Z,100000,-241.0,22.0,1,right,A. Horford 24' 3PT  (3 PTS) (D. Schroder 1 AST),"[201143, 203471]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,24.24,Made,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,,
12,PT11M01.00S,2022-01-15T00:11:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,6.093955321944804,48.28431372549019,1610612755,2,3,2022-01-15T00:11:57Z,120000,9.0,5.0,1,left,M. Thybulle finger roll Layup (2 PTS) (J. Embiid 1 AST),"[1629680, 203954]",1610612755.0,PHI,finger roll,,,Thybulle,M. Thybulle,,,,,,,,,0.98,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,
14,PT10M46.00S,2022-01-15T00:12:07.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,96.36990801576873,24.509803921568633,1610612738,2,3,2022-01-15T00:12:11Z,140000,-127.0,-18.0,1,right,MISS J. Tatum 12' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,12.88,Missed,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-01-15T00:12:10.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,3,2022-01-15T00:12:11Z,150000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M22.00S,2022-01-15T00:12:31.3Z,1,REGULAR,2pt,Jump Shot,[],203954,7.539421813403408,76.9607843137255,1610612755,2,3,2022-01-15T00:12:35Z,160000,-135.0,18.0,1,left,MISS J. Embiid 13' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,13.6,Missed,,,,,,,,,,,,,,,
