actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-21T00:40:10.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-21T00:40:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-21T00:40:13.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-21T00:40:13Z,40000,,,0,,Jump Ball J. Embiid vs. P. Achiuwa: Tip to T. Maxey,"[1630178, 203954, 1630173]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2022-03-21T00:40:42.7Z,1,REGULAR,3pt,Jump Shot,[],1629680,92.29632063074901,3.1862745098039227,1610612755,3,0,2022-03-21T00:41:26Z,70000,-234.0,20.0,1,right,M. Thybulle 3PT  (3 PTS) (T. Maxey 1 AST),"[1629680, 1630178]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.49,Made,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,,
9,PT11M08.00S,2022-03-21T00:41:02.3Z,1,REGULAR,2pt,Jump Shot,[],1629018,8.196452036793687,80.3921568627451,1610612761,3,2,2022-03-21T00:41:12Z,90000,-152.0,25.0,1,left,G. Trent Jr. 15' step back Jump Shot (2 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,15.4,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT10M56.00S,2022-03-21T00:41:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,92.42772667542707,51.96078431372549,1610612755,5,2,2022-03-21T00:41:18Z,100000,10.0,19.0,1,right,M. Thybulle cutting Layup (5 PTS) (J. Harden 1 AST),"[1629680, 201935]",1610612755.0,PHI,cutting,,,Thybulle,M. Thybulle,,,,,2.11,Made,5.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,,
12,PT10M48.00S,2022-03-21T00:41:45.5Z,1,REGULAR,jumpball,recovered,[],203954,,,1610612761,5,2,2022-03-21T00:41:45Z,120000,,,0,,Jump Ball M. Thybulle vs. P. Siakam: Tip to J. Embiid,"[203954, 1629680, 1627783]",1610612755.0,PHI,heldball,J. Embiid,203954.0,Embiid,J. Embiid,Thybulle,1629680.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-03-21T00:41:45.5Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,5,2,2022-03-21T00:41:45Z,150000,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 1629680]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,,,,,,
16,PT10M48.00S,2022-03-21T00:41:45.5Z,1,REGULAR,steal,,[],1629680,,,1610612755,5,2,2022-03-21T00:41:45Z,160000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-03-21T00:41:49.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,71.7969776609724,20.588235294117652,1610612755,5,2,2022-03-21T00:41:55Z,170000,-147.0,213.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2022-03-21T00:41:51.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,5,2,2022-03-21T00:41:55Z,180000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
