actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-10T00:32:52.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-10T00:32:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-10T00:32:55.5Z,1,REGULAR,jumpball,recovered,[],1627788,,,1610612755,0,0,2021-11-10T00:32:55Z,40000,,,0,,Jump Ball A. Drummond vs. B. Portis: Tip to F. Korkmaz,"[1627788, 203083, 1626171]",1610612755.0,PHI,startperiod,F. Korkmaz,1627788.0,Korkmaz,F. Korkmaz,Drummond,203083.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-10T00:33:13.5Z,1,REGULAR,2pt,Jump Shot,[],1630194,20.68002628120894,29.166666666666657,1610612755,2,0,2021-11-10T00:33:22Z,70000,104.0,142.0,1,left,P. Reed 17' Jump Shot (2 PTS) (S. Milton 1 AST),"[1630194, 1629003]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,17.6,Made,2.0,S. Milton,1629003.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2021-11-10T00:33:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.42772667542707,41.91176470588235,1610612749,2,0,2021-11-10T00:34:00Z,90000,-40.0,19.0,1,right,MISS G. Antetokounmpo Layup - blocked,"[203507, 203083]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,4.45,Missed,,,,,Drummond,203083.0,,,,,,,,,,,,
10,PT11M18.00S,2021-11-10T00:33:34.4Z,1,REGULAR,block,,[],203083,,,1610612749,2,0,2021-11-10T00:33:39Z,100000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2021-11-10T00:33:36.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,2,0,2021-11-10T00:34:00Z,110000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,
11,PT11M16.00S,2021-11-10T00:33:58.8Z,1,REGULAR,jumpball,recovered,[],1627788,,,1610612755,2,0,2021-11-10T00:33:58Z,120000,,,0,,Jump Ball A. Drummond vs. G. Antetokounmpo: Tip to F. Korkmaz,"[1627788, 203083, 203507]",1610612755.0,PHI,heldball,F. Korkmaz,1627788.0,Korkmaz,F. Korkmaz,Drummond,203083.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2021-11-10T00:34:01.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627788,5.831143232588701,51.22549019607843,1610612755,4,0,2021-11-10T00:34:09Z,150000,-6.0,2.0,1,left,F. Korkmaz running finger roll Layup (2 PTS) (A. Drummond 1 AST),"[1627788, 203083]",1610612755.0,PHI,running finger roll,,,Korkmaz,F. Korkmaz,,,,,0.65,Made,2.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,
17,PT11M04.00S,2021-11-10T00:34:13.2Z,1,REGULAR,foul,personal,[],1629003,,,1610612749,4,0,2021-11-10T00:34:20Z,170000,,,0,,S. Milton personal FOUL (1 PF),"[1629003, 201950]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,2715.0,1.0,0.0,Holiday,201950.0,,,,,,
19,PT10M54.00S,2021-11-10T00:34:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,95.45006570302233,48.529411764705884,1610612749,4,2,2021-11-10T00:34:45Z,190000,-7.0,-10.0,1,right,G. Allen driving finger roll Layup (2 PTS),[1628960],1610612749.0,MIL,driving finger roll,,,Allen,G. Allen,,,,,1.22,Made,2.0,,,,,,,,,,,,,,,,,
