actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-01T00:10:37.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T00:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-01T00:10:40.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-02-01T00:10:40Z,40000,,,0,,Jump Ball A. Drummond vs. S. Adams: Tip to T. Maxey,"[1630178, 203083, 203500]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-02-01T00:10:47.2Z,1,REGULAR,2pt,Jump Shot,[],203552,23.702365308804204,45.09803921568627,1610612755,0,0,2022-02-01T00:10:55Z,70000,25.0,170.0,1,left,MISS S. Curry 17' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,17.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-02-01T00:10:49.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2022-02-01T00:10:55Z,80000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-02-01T00:11:09.9Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,0,0,2022-02-01T00:11:17Z,90000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,,,,,,,2715.0,1.0,,,,,,,,,,,,
52,PT11M08.00S,2022-02-01T00:11:37.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,19.365965834428394,89.4607843137255,1610612755,0,0,2022-02-01T00:17:42Z,105000,-197.0,130.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,23.6,Missed,,,,,,,,,,,,,,,,,,
53,PT11M07.00S,2022-02-01T00:11:38.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,0,2022-02-01T00:17:42Z,112500,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,,,,,
54,PT11M06.00S,2022-02-01T00:11:50.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203083,5.962549277266746,47.549019607843135,1610612755,2,0,2022-02-01T00:18:22Z,116250,12.0,4.0,1,left,A. Drummond tip Layup (2 PTS),[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,1.28,Made,,,,,,,2.0,,,,,,,,,,,
12,PT10M40.00S,2022-02-01T00:12:04.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,71.66557161629436,19.362745098039213,1610612763,2,3,2022-02-01T00:13:15Z,120000,-153.0,214.0,1,right,J. Jackson Jr. 26' 3PT  (3 PTS) (Z. Williams 1 AST),"[1628991, 1630533]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,26.3,Made,,,,,,,3.0,Z. Williams,1630533.0,1.0,,,,,,,,
14,PT10M18.00S,2022-02-01T00:12:26.3Z,1,REGULAR,2pt,Jump Shot,[],202699,23.04533508541394,47.05882352941176,1610612755,4,3,2022-02-01T00:17:26Z,140000,15.0,164.0,1,left,T. Harris 16' pullup Jump Shot (2 PTS) (A. Drummond 1 AST),"[202699, 203083]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,16.48,Made,,,,,,,2.0,A. Drummond,203083.0,1.0,,,,,,,,
