actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-30T00:41:11.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T00:41:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-30T00:41:14.4Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612758,0,0,2022-01-30T00:41:14Z,40000,,,0,,Jump Ball R. Holmes vs. J. Embiid: Tip to D. Mitchell,"[1630558, 1626158, 203954]",1610612758.0,SAC,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Holmes,1626158.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-30T00:41:30.5Z,1,REGULAR,3pt,Jump Shot,[],1630558,79.188567674113,6.127450980392156,1610612758,0,3,2022-01-30T00:41:36Z,70000,-219.0,143.0,1,right,D. Mitchell 26' 3PT  (3 PTS) (H. Barnes 1 AST),"[1630558, 203084]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,26.19,Made,3.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-30T00:41:49.6Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612755,0,3,2022-01-30T00:41:57Z,90000,,,0,,H. Barnes shooting personal FOUL (1 PF) (Embiid 2 FT),"[203084, 203954]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,,,,,,,1204.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
11,PT11M24.00S,2022-01-30T00:42:15.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,1,3,2022-01-30T00:42:15Z,110000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-01-30T00:42:32.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,2,3,2022-01-30T00:42:32Z,120000,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-01-30T00:42:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,86.94152431011827,50.0,1610612758,2,3,2022-01-30T00:42:57Z,130000,0.0,70.0,1,right,MISS H. Barnes 7' pullup Shot,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,7.02,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-01-30T00:42:54.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,3,2022-01-30T00:42:57Z,140000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M56.00S,2022-01-30T00:43:04.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,2,3,2022-01-30T00:43:04Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-01-30T00:43:22.3Z,1,REGULAR,turnover,bad pass,[],203552,,,1610612755,2,3,2022-01-30T00:43:26Z,160000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[203552, 1630169]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,,,
