actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-29T23:11:05.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-29T23:11:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-29T23:11:08.5Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2022-03-29T23:11:08Z,40000,,,0,,Jump Ball J. Embiid vs. B. Lopez: Tip to T. Harris,"[202699, 203954, 201572]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-29T23:11:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.949408672798953,59.31372549019608,1610612755,2,0,2022-03-29T23:11:24Z,70000,-47.0,97.0,1,left,J. Embiid 10' pullup Jump Shot (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,10.8,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-03-29T23:11:36.6Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,2,0,2022-03-29T23:11:40Z,90000,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1629680]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,,,,,,
10,PT11M29.00S,2022-03-29T23:11:36.6Z,1,REGULAR,steal,,[],1629680,,,1610612755,2,0,2022-03-29T23:11:39Z,100000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-03-29T23:11:41.0Z,1,REGULAR,foul,personal,[],201572,,,1610612755,2,0,2022-03-29T23:11:52Z,110000,,,0,,B. Lopez personal FOUL (1 PF),"[201572, 203954]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,1627961.0,1.0,0.0,Embiid,203954.0,,,,,,,
13,PT11M09.00S,2022-03-29T23:12:12.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202699,8.722076215505908,70.83333333333333,1610612755,2,0,2022-03-29T23:12:18Z,130000,-104.0,29.0,1,left,MISS T. Harris 10' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,10.83,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-03-29T23:12:15.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2022-03-29T23:12:18Z,140000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
15,PT10M58.00S,2022-03-29T23:12:22.9Z,1,REGULAR,3pt,Jump Shot,[],201572,69.69448094612352,23.774509803921575,1610612749,2,3,2022-03-29T23:12:26Z,150000,-131.0,232.0,1,right,B. Lopez 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,26.68,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-03-29T23:12:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.093955321944804,47.549019607843135,1610612755,2,3,2022-03-29T23:12:42Z,170000,12.0,5.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,1.32,Missed,,,,,,,,,,,,,,,,,,,
