actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-16T00:33:37.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-16T00:33:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-16T00:33:40.6Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-02-16T00:33:40Z,40000,,,0,,Jump Ball A. Horford vs. J. Embiid: Tip to M. Smart,"[203935, 201143, 203954]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-16T00:33:56.9Z,1,REGULAR,foul,personal,[],201980,,,1610612738,0,0,2022-02-16T00:34:04Z,70000,,,0,,D. Green personal FOUL (1 PF),"[201980, 1627759]",1610612755.0,PHI,,,,Green,D. Green,,,,,204058.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-02-16T00:34:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.9664914586071,62.745098039215684,1610612738,0,2,2022-02-16T00:34:18Z,90000,64.0,108.0,1,right,J. Brown 12' Jump Shot (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,12.5,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,
11,PT11M13.00S,2022-02-16T00:34:37.6Z,1,REGULAR,2pt,Jump Shot,[],203954,5.962549277266746,78.67647058823529,1610612755,0,2,2022-02-16T00:34:42Z,110000,-143.0,4.0,1,left,MISS J. Embiid 14' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,,,,,,14.34,Missed,,,,,,,,,,,,,
12,PT11M10.00S,2022-02-16T00:34:40.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2022-02-16T00:34:42Z,120000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M01.00S,2022-02-16T00:34:49.6Z,1,REGULAR,3pt,Jump Shot,[],1629684,92.95335085413929,3.1862745098039227,1610612738,0,5,2022-02-16T00:34:53Z,130000,-234.0,14.0,1,right,G. Williams 3PT  (3 PTS) (J. Tatum 1 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,23.45,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,
15,PT10M38.00S,2022-02-16T00:35:12.6Z,1,REGULAR,2pt,Jump Shot,[],203954,9.379106438896187,71.07843137254902,1610612755,0,5,2022-02-16T00:35:16Z,150000,-105.0,36.0,1,left,MISS J. Embiid 11' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,,,,,,11.13,Missed,,,,,,,,,,,,,
16,PT10M36.00S,2022-02-16T00:35:14.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,0,5,2022-02-16T00:35:16Z,160000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M31.00S,2022-02-16T00:35:19.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,84.4119579500657,72.30392156862744,1610612738,0,7,2022-02-16T00:35:33Z,170000,112.0,94.0,1,right,J. Brown 14' pullup Jump Shot (4 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,14.58,Made,4.0,,,,,,,,,,,,
