actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-30T00:10:57.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T00:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-30T00:11:01.7Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2021-11-30T00:11:01Z,40000,,,0,,Jump Ball M. Bamba vs. J. Embiid: Tip to F. Wagner,"[1630532, 1628964, 203954]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Bamba,1628964.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-30T00:11:13.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,65.3580814717477,49.01960784313726,1610612753,0,0,2021-11-30T00:11:18Z,70000,-5.0,273.0,1,right,MISS W. Carter Jr. 27' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-11-30T00:11:18.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2021-11-30T00:11:18Z,80000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2021-11-30T00:11:35.5Z,1,REGULAR,3pt,Jump Shot,[],201980,5.436925098554539,96.32352941176471,1610612755,0,0,2021-11-30T00:11:46Z,90000,-232.0,-1.0,1,left,MISS D. Green turnaround fadeaway bank 3PT - blocked,"[201980, 1628964]",1610612755.0,PHI,turnaround fadeaway bank,,,Green,D. Green,,,,,23.16,Missed,,,,,Bamba,1628964.0,,,,,,,,,,,,
10,PT11M20.00S,2021-11-30T00:11:35.5Z,1,REGULAR,block,,[],1628964,,,1610612755,0,0,2021-11-30T00:11:40Z,100000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2021-11-30T00:11:40.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2021-11-30T00:11:46Z,110000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2021-11-30T00:11:43.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,69.1688567674113,77.94117647058823,1610612753,0,0,2021-11-30T00:14:08Z,120000,140.0,237.0,1,right,MISS F. Wagner 27' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,27.54,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2021-11-30T00:11:43.5Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,0,0,2021-11-30T00:11:50Z,130000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M56.00S,2021-11-30T00:12:00.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.65768725361366,59.80392156862745,1610612755,2,0,2021-11-30T00:12:09Z,140000,-49.0,113.0,1,left,J. Embiid 12' fadeaway Jump Shot (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,12.36,Made,,,,,,,2.0,T. Maxey,1630178.0,1.0,,,,,,,,
16,PT10M42.00S,2021-11-30T00:12:14.0Z,1,REGULAR,2pt,Jump Shot,[],1630532,84.01773981603154,30.14705882352942,1610612753,2,2,2021-11-30T00:12:18Z,160000,-99.0,98.0,1,right,F. Wagner 13' floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,13.93,Made,,,,,,,2.0,,,,,,,,,,,
17,PT10M30.00S,2021-11-30T00:12:25.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.24375821287779,83.82352941176471,1610612755,2,2,2021-11-30T00:12:30Z,170000,-169.0,251.0,1,left,MISS T. Maxey 30' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,30.23,Missed,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2021-11-30T00:12:28.8Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,2,2021-11-30T00:12:30Z,180000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M17.00S,2021-11-30T00:12:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,88.61695137976346,51.470588235294116,1610612753,2,2,2021-11-30T00:12:43Z,190000,7.0,55.0,1,right,MISS J. Suggs driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,5.5,Missed,,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2021-11-30T00:12:42.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,2,2021-11-30T00:12:43Z,200000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M08.00S,2021-11-30T00:12:48.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202699,5.568331143232584,52.69607843137255,1610612755,2,2,2021-11-30T00:12:52Z,210000,-13.0,0.0,1,left,MISS T. Harris driving Hook,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,1.35,Missed,,,,,,,,,,,,,,,,,,
22,PT10M05.00S,2021-11-30T00:12:51.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,2,2021-11-30T00:12:52Z,220000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT09M56.00S,2021-11-30T00:13:00.4Z,1,REGULAR,3pt,Jump Shot,[],1630532,74.1622864651774,14.950980392156865,1610612753,2,2,2021-11-30T00:13:06Z,230000,-175.0,190.0,1,right,MISS F. Wagner 25' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,
