actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
264,PT04M49.00S,2022-03-08T00:56:41.5Z,2,REGULAR,turnover,double dribble,[],203954,,,1610612755,49,45,2022-03-08T00:56:48Z,2640000,,,0,,J. Embiid double dribble TURNOVER (1 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,1627964.0,,,,,1.0,,,,,
265,PT04M41.00S,2022-03-08T00:57:04.1Z,2,REGULAR,foul,personal,[],1629680,,,1610612741,49,45,2022-03-08T00:57:09Z,2650000,,,0,,M. Thybulle personal FOUL (3 PF),"[1629680, 202684]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,1627964.0,3.0,0.0,Thompson,202684.0,,,,,,
267,PT04M41.00S,2022-03-08T00:57:10.0Z,2,REGULAR,substitution,out,[],1629680,,,1610612741,49,45,2022-03-08T00:57:27Z,2670000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT04M41.00S,2022-03-08T00:57:10.0Z,2,REGULAR,substitution,out,[],203897,,,1610612741,49,45,2022-03-08T00:57:27Z,2680000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT04M41.00S,2022-03-08T00:57:10.0Z,2,REGULAR,substitution,out,[],1629750,,,1610612741,49,45,2022-03-08T00:57:27Z,2690000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT04M41.00S,2022-03-08T00:57:10.0Z,2,REGULAR,substitution,in,[],1627777,,,1610612741,49,45,2022-03-08T00:57:27Z,2700000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT04M41.00S,2022-03-08T00:57:10.0Z,2,REGULAR,substitution,in,[],1629632,,,1610612741,49,45,2022-03-08T00:57:27Z,2710000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT04M41.00S,2022-03-08T00:57:10.0Z,2,REGULAR,substitution,in,[],1627884,,,1610612741,49,45,2022-03-08T00:57:27Z,2720000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT04M29.00S,2022-03-08T00:57:48.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201942,66.5407358738502,55.3921568627451,1610612741,49,45,2022-03-08T00:57:56Z,2730000,27.0,262.0,1,right,MISS D. DeRozan 26' pullup 3PT,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
274,PT04M26.00S,2022-03-08T00:57:51.8Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,49,45,2022-03-08T00:57:56Z,2740000,,,0,,G. Niang REBOUND (Off:0 Def:3),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,273.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
275,PT04M23.00S,2022-03-08T00:57:56.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203954,5.962549277266746,52.69607843137255,1610612755,51,45,2022-03-08T01:02:09Z,2750000,-13.0,4.0,1,left,J. Embiid running finger roll Layup (15 PTS) (D. Green 1 AST),"[203954, 201980]",1610612755.0,PHI,running finger roll,,,Embiid,J. Embiid,,,,,1.39,Made,,,,,15.0,D. Green,201980.0,1.0,,,,,,,,,,,
277,PT04M10.00S,2022-03-08T00:58:17.7Z,2,REGULAR,2pt,Jump Shot,[],1630245,77.05321944809461,52.205882352941174,1610612741,51,47,2022-03-08T00:58:23Z,2770000,11.0,163.0,1,right,A. Dosunmu 16' pullup Jump Shot (9 PTS),[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,16.36,Made,,,,,9.0,,,,,,,,,,,,,,
278,PT03M57.00S,2022-03-08T00:58:33.0Z,2,REGULAR,foul,personal,['2freethrow'],201942,,,1610612755,51,47,2022-03-08T00:58:41Z,2780000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Niang 2 FT),"[201942, 1627777]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Niang,1627777.0,,,,,,
280,PT03M57.00S,2022-03-08T00:58:58.0Z,2,REGULAR,freethrow,1 of 2,[],1627777,,,1610612755,52,47,2022-03-08T00:58:58Z,2800000,,,0,,G. Niang Free Throw 1 of 2 (7 PTS),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
281,PT03M57.00S,2022-03-08T00:59:03.9Z,2,REGULAR,substitution,out,[],1630245,,,1610612755,52,47,2022-03-08T00:59:07Z,2810000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT03M57.00S,2022-03-08T00:59:03.9Z,2,REGULAR,substitution,in,[],203897,,,1610612755,52,47,2022-03-08T00:59:07Z,2820000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT03M57.00S,2022-03-08T00:59:15.0Z,2,REGULAR,freethrow,2 of 2,[],1627777,,,1610612755,53,47,2022-03-08T00:59:15Z,2830000,,,0,,G. Niang Free Throw 2 of 2 (8 PTS),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
284,PT03M42.00S,2022-03-08T00:59:34.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,53,47,2022-03-08T00:59:34Z,2840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT03M42.00S,2022-03-08T00:59:36.2Z,2,REGULAR,substitution,out,[],1627777,,,1610612741,53,47,2022-03-08T00:59:46Z,2850000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT03M42.00S,2022-03-08T00:59:36.2Z,2,REGULAR,substitution,in,[],201935,,,1610612741,53,47,2022-03-08T00:59:46Z,2860000,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M37.00S,2022-03-08T00:59:56.6Z,2,REGULAR,3pt,Jump Shot,[],1629632,67.9862023653088,73.2843137254902,1610612741,53,47,2022-03-08T01:00:05Z,2870000,116.0,248.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,27.43,Missed,,,,,,,,,,,,,,,,,,,
291,PT03M36.00S,2022-03-08T01:00:01.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612741,53,47,2022-03-08T01:00:01Z,2880000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,
292,PT03M36.00S,2022-03-08T01:00:06.5Z,2,REGULAR,foul,personal,[],201935,,,1610612741,53,47,2022-03-08T01:00:13Z,2890000,,,0,,J. Harden loose ball personal FOUL (2 PF),"[201935, 1627884]",1610612755.0,PHI,loose ball,,,Harden,J. Harden,,,,,,,,,,,,,,,1162.0,2.0,0.0,Jones Jr.,1627884.0,,,,,,
294,PT03M21.00S,2022-03-08T01:00:36.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629632,82.44086727989487,52.94117647058824,1610612741,53,47,2022-03-08T01:00:40Z,2910000,15.0,113.0,1,right,MISS C. White 11' driving floating Shot,[1629632],1610612741.0,CHI,driving floating,,,White,C. White,,,,,11.36,Missed,,,,,,,,,,,,,,,,,,,
295,PT03M19.00S,2022-03-08T01:00:39.2Z,2,REGULAR,rebound,defensive,[],201980,,,1610612755,53,47,2022-03-08T01:00:39Z,2920000,,,0,,D. Green REBOUND (Off:0 Def:2),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,294.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
296,PT03M11.00S,2022-03-08T01:00:49.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201942,,,1610612755,53,47,2022-03-08T01:00:59Z,2930000,,,0,,D. DeRozan shooting personal FOUL (2 PF) (Embiid 2 FT),"[201942, 203954]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,1162.0,2.0,0.0,Embiid,203954.0,,,,,,
298,PT03M11.00S,2022-03-08T01:01:20.8Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,54,47,2022-03-08T01:01:20Z,2950000,,,0,,J. Embiid Free Throw 1 of 2 (16 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,16.0,,,,,,,,,,,,,,
299,PT03M11.00S,2022-03-08T01:01:32.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,54,47,2022-03-08T01:01:32Z,2960000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT03M11.00S,2022-03-08T01:04:32.7Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,55,47,2022-03-08T01:04:32Z,2970000,,,0,,J. Embiid Free Throw 2 of 2 (17 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,17.0,,,,,,,,,,,,,,
301,PT02M48.00S,2022-03-08T01:04:59.3Z,2,REGULAR,3pt,Jump Shot,[],203897,66.14651773981603,68.13725490196079,1610612741,55,47,2022-03-08T01:05:05Z,2980000,91.0,266.0,1,right,MISS Z. LaVine 28' step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,28.08,Missed,,,,,,,,,,,,,,,,,,,
302,PT02M45.00S,2022-03-08T01:05:02.3Z,2,REGULAR,rebound,offensive,[],201942,,,1610612741,55,47,2022-03-08T01:05:05Z,2990000,,,0,,D. DeRozan REBOUND (Off:2 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,301.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
303,PT02M43.00S,2022-03-08T01:05:03.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201942,94.3988173455979,46.568627450980394,1610612741,55,49,2022-03-08T01:05:10Z,3000000,-17.0,0.0,1,right,D. DeRozan reverse Layup (13 PTS),[201942],1610612741.0,CHI,reverse,,,DeRozan,D. DeRozan,,,,,1.72,Made,,,,,13.0,,,,,,,,,,,,,,
