actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-03T00:10:52.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T00:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-03T00:10:54.9Z,1,REGULAR,jumpball,recovered,[],201980,,,1610612755,0,0,2022-02-03T00:10:54Z,40000,,,0,,Jump Ball J. Embiid vs. D. Gafford: Tip to D. Green,"[201980, 203954, 1629655]",1610612755.0,PHI,startperiod,D. Green,201980.0,Green,D. Green,Embiid,203954.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-02-03T00:11:06.0Z,1,REGULAR,3pt,Jump Shot,[],1629680,16.90210249671485,4.411764705882353,1610612755,3,0,2022-02-03T00:11:10Z,70000,228.0,106.0,1,left,M. Thybulle 25' 3PT  (3 PTS) (T. Maxey 1 AST),"[1629680, 1630178]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,25.15,Made,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-02-03T00:11:25.6Z,1,REGULAR,2pt,Jump Shot,[],203484,77.7431011826544,24.019607843137255,1610612764,3,2,2022-02-03T00:12:05Z,90000,-130.0,157.0,1,right,K. Caldwell-Pope 20' turnaround Jump Shot (2 PTS) (A. Holiday 1 AST),"[203484, 1628988]",1610612764.0,WAS,turnaround,,,Caldwell-Pope,K. Caldwell-Pope,,,,,20.35,Made,2.0,A. Holiday,1628988.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2022-02-03T00:11:50.3Z,1,REGULAR,foul,personal,[],1629655,,,1610612755,3,2,2022-02-03T00:11:56Z,110000,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 203954]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,202026.0,1.0,0.0,Embiid,203954.0,,,,,,,,,
13,PT11M06.00S,2022-02-03T00:12:22.5Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612755,3,2,2022-02-03T00:12:22Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-02-03T00:12:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,4.28712220762155,64.70588235294117,1610612755,5,2,2022-02-03T00:12:43Z,140000,-74.0,-12.0,1,left,J. Embiid 7' step back Jump Shot (2 PTS),[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,7.45,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-02-03T00:13:05.2Z,1,REGULAR,2pt,Jump Shot,[],1628398,88.25558475689881,10.049019607843137,1610612764,5,2,2022-02-03T00:13:11Z,150000,-200.0,58.0,1,right,MISS K. Kuzma 20' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,20.8,Missed,,,,,,,,,,,,,,,,,,
16,PT10M31.00S,2022-02-03T00:13:07.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,5,2,2022-02-03T00:13:11Z,160000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
17,PT10M31.00S,2022-02-03T00:13:11.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,5,2,2022-02-03T00:13:11Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M19.00S,2022-02-03T00:13:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,16.770696452036795,46.32352941176471,1610612755,5,2,2022-02-03T00:13:31Z,180000,18.0,105.0,1,left,MISS T. Maxey 10' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,10.67,Missed,,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2022-02-03T00:13:28.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,5,2,2022-02-03T00:13:31Z,190000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M13.00S,2022-02-03T00:13:33.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203484,94.95729303547962,48.529411764705884,1610612764,5,4,2022-02-03T00:13:41Z,200000,-7.0,-5.0,1,right,K. Caldwell-Pope running reverse Layup (4 PTS) (S. Dinwiddie 1 AST),"[203484, 203915]",1610612764.0,WAS,running reverse,,,Caldwell-Pope,K. Caldwell-Pope,,,,,0.9,Made,4.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
22,PT09M59.00S,2022-02-03T00:13:46.7Z,1,REGULAR,3pt,Jump Shot,[],202699,31.61957950065703,65.93137254901961,1610612755,5,4,2022-02-03T00:13:51Z,220000,-80.0,245.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2022-02-03T00:13:49.7Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,5,4,2022-02-03T00:13:51Z,230000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,22.0,2.0,2.0,0.0,,,,,
24,PT09M50.00S,2022-02-03T00:13:55.5Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",1628398,92.9862023653088,46.81372549019608,1610612764,5,6,2022-02-03T00:14:49Z,240000,-16.0,13.0,1,right,K. Kuzma driving bank Hook (2 PTS) (S. Dinwiddie 2 AST),"[1628398, 203915]",1610612764.0,WAS,driving bank,,,Kuzma,K. Kuzma,,,,,2.08,Made,2.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,,,,
26,PT09M32.00S,2022-02-03T00:14:14.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,7.966491458607096,53.18627450980392,1610612755,7,6,2022-02-03T00:14:17Z,260000,-16.0,22.0,1,left,T. Harris driving floating Jump Shot (2 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,2.75,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
28,PT09M17.00S,2022-02-03T00:14:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,89.96386333771353,35.294117647058826,1610612764,7,8,2022-02-03T00:14:33Z,280000,-74.0,42.0,1,right,K. Kuzma 8' driving floating bank Jump Shot (4 PTS),[1628398],1610612764.0,WAS,driving floating bank,,,Kuzma,K. Kuzma,,,,,8.46,Made,4.0,,,,,,,,,,,,,,,,,
29,PT09M06.00S,2022-02-03T00:14:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.398817345597898,43.13725490196079,1610612755,7,8,2022-02-03T00:14:45Z,290000,34.0,130.0,1,left,MISS J. Embiid 13' bank Shot,[203954],1610612755.0,PHI,bank,,,Embiid,J. Embiid,,,,,13.43,Missed,,,,,,,,,,,,,,,,,,
30,PT09M04.00S,2022-02-03T00:14:41.5Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,7,8,2022-02-03T00:14:45Z,300000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:3),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,29.0,3.0,3.0,0.0,,,,,
31,PT08M58.00S,2022-02-03T00:14:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,84.05059132720105,57.84313725490197,1610612764,7,8,2022-02-03T00:16:13Z,310000,39.0,97.0,1,right,MISS S. Dinwiddie 10' driving floating Shot,[203915],1610612764.0,WAS,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,10.5,Missed,,,,,,,,,,,,,,,,,,
32,PT08M55.00S,2022-02-03T00:14:51.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,8,2022-02-03T00:14:52Z,320000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
116,PT08M48.00S,2022-02-03T00:14:56.4Z,1,REGULAR,turnover,lost ball,[],202699,,,1610612755,7,8,2022-02-03T00:30:39Z,340000,,,0,,T. Harris lost ball TURNOVER (1 TO),"[202699, 1628398]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,1.0,Kuzma,1628398.0,,
