actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-02-13T00:40:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T00:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-13T00:40:49.3Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-02-13T00:40:49Z,40000,,,0,,Jump Ball J. Embiid vs. J. Allen: Tip to T. Maxey,"[1630178, 203954, 1628386]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-13T00:41:06.2Z,1,REGULAR,2pt,Jump Shot,[],1630178,6.783837056504599,22.794117647058822,1610612755,0,0,2022-02-13T00:41:10Z,70000,136.0,11.0,1,left,MISS T. Maxey 13' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,13.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-13T00:41:09.2Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2022-02-13T00:41:10Z,80000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-13T00:41:15.4Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,0,0,2022-02-13T00:42:16Z,90000,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1629680]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,,,,,
10,PT11M31.00S,2022-02-13T00:41:15.4Z,1,REGULAR,steal,,[],1629680,,,1610612755,0,0,2022-02-13T00:41:21Z,100000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-02-13T00:41:25.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,16.507884362680684,26.47058823529412,1610612755,0,0,2022-02-13T00:41:32Z,110000,118.0,103.0,1,left,MISS J. Embiid 15' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,15.61,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-02-13T00:41:27.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2022-02-13T00:41:32Z,120000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M08.00S,2022-02-13T00:41:42.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,0,2022-02-13T00:41:42Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-02-13T00:42:01.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,87.99277266754271,95.58823529411765,1610612739,0,0,2022-02-13T00:42:09Z,140000,228.0,60.0,1,right,MISS D. Garland 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,23.58,Missed,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-02-13T00:42:04.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2022-02-13T00:42:04Z,150000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-02-13T00:42:09.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,0,0,2022-02-13T00:42:09Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2022-02-13T00:42:25.0Z,1,REGULAR,foul,technical,['1freethrow'],1630596,,,1610612755,0,0,2022-02-13T00:42:41Z,170000,,,0,,E. Mobley defensive-3-second technical FOUL (1 Tech),[1630596],1610612739.0,CLE,defensive-3-second,,,Mobley,E. Mobley,,,,,,,,,,,,,,203593.0,0.0,1.0,,,,,,,,
18,PT10M48.00S,2022-02-13T00:42:42.9Z,1,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,1,0,2022-02-13T00:42:42Z,180000,,,0,,T. Maxey technical Free Throw 1 of 1 (1 PTS),[1630178],1610612755.0,PHI,technical,,,Maxey,T. Maxey,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
19,PT10M39.00S,2022-02-13T00:43:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,6.1268068331143235,47.794117647058826,1610612755,3,0,2022-02-13T00:43:09Z,190000,11.0,5.0,1,left,M. Thybulle Layup (2 PTS) (J. Embiid 1 AST),"[1629680, 203954]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,1.21,Made,,,,,,,,,,,2.0,J. Embiid,203954.0,1.0,,,,
21,PT10M27.00S,2022-02-13T00:43:21.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,3,0,2022-02-13T00:43:21Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2022-02-13T00:43:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629731,65.1281208935611,58.08823529411765,1610612739,3,0,2022-02-13T00:43:49Z,220000,40.0,275.0,1,right,MISS D. Wade 27' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,27.82,Missed,,,,,,,,,,,,,,,,,,
23,PT10M12.00S,2022-02-13T00:43:48.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,3,0,2022-02-13T00:43:49Z,230000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M00.00S,2022-02-13T00:43:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.206964520367937,46.07843137254902,1610612755,5,0,2022-02-13T00:44:03Z,240000,20.0,-4.0,1,left,J. Embiid driving finger roll Layup (2 PTS),[203954],1610612755.0,PHI,driving finger roll,,,Embiid,J. Embiid,,,,,1.99,Made,,,,,,,,,,,2.0,,,,,,,
25,PT09M34.00S,2022-02-13T00:44:26.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,94.43166885676742,49.26470588235294,1610612739,5,2,2022-02-13T00:44:30Z,250000,-4.0,0.0,1,right,E. Mobley alley-oop DUNK (2 PTS) (J. Allen 1 AST),"[1630596, 1628386]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,0.37,Made,,,,,,,,,,,2.0,J. Allen,1628386.0,1.0,,,,
27,PT09M23.00S,2022-02-13T00:44:38.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629680,5.206964520367937,50.0,1610612755,7,2,2022-02-13T00:44:42Z,270000,0.0,-4.0,1,left,M. Thybulle cutting DUNK (4 PTS) (J. Embiid 2 AST),"[1629680, 203954]",1610612755.0,PHI,cutting,,,Thybulle,M. Thybulle,,,,,0.36,Made,,,,,,,,,,,4.0,J. Embiid,203954.0,2.0,,,,
29,PT09M00.00S,2022-02-13T00:45:01.0Z,1,REGULAR,turnover,lost ball,[],1630171,,,1610612739,7,2,2022-02-13T00:45:09Z,290000,,,0,,I. Okoro lost ball TURNOVER (1 TO),"[1630171, 1630178]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,,
30,PT09M00.00S,2022-02-13T00:45:01.0Z,1,REGULAR,steal,,[],1630178,,,1610612755,7,2,2022-02-13T00:45:06Z,300000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M55.00S,2022-02-13T00:45:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202699,6.521024967148489,49.50980392156863,1610612755,9,2,2022-02-13T00:45:21Z,310000,2.0,9.0,1,left,T. Harris running Layup (2 PTS) (D. Green 1 AST),"[202699, 201980]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,0.91,Made,,,,,,,,,,,2.0,D. Green,201980.0,1.0,,,,
32,PT08M55.00S,2022-02-13T00:45:16.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,9,2,2022-02-13T00:45:16Z,320000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M55.00S,2022-02-13T00:48:03.9Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,9,2,2022-02-13T00:48:16Z,330000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M55.00S,2022-02-13T00:48:03.9Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,9,2,2022-02-13T00:48:16Z,340000,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M40.00S,2022-02-13T00:48:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629636,69.33311432325887,22.058823529411764,1610612739,9,5,2022-02-13T00:48:37Z,350000,-140.0,236.0,1,right,D. Garland 27' 3PT  (3 PTS) (I. Okoro 1 AST),"[1629636, 1630171]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,27.41,Made,,,,,,,,,,,3.0,I. Okoro,1630171.0,1.0,,,,
38,PT08M17.00S,2022-02-13T00:48:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,10.988830486202366,62.00980392156863,1610612755,11,5,2022-02-13T00:48:58Z,370000,-60.0,51.0,1,left,J. Embiid 7' pullup Jump Shot (4 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,7.86,Made,,,,,,,,,,,4.0,,,,,,,
39,PT08M04.00S,2022-02-13T00:49:08.6Z,1,REGULAR,2pt,Jump Shot,[],1629636,76.5604467805519,41.42156862745098,1610612739,11,7,2022-02-13T00:49:12Z,380000,-43.0,168.0,1,right,D. Garland 17' pullup Jump Shot (5 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,17.32,Made,,,,,,,,,,,5.0,,,,,,,
40,PT07M47.00S,2022-02-13T00:49:26.2Z,1,REGULAR,3pt,Jump Shot,[],203954,33.722076215505915,57.59803921568627,1610612755,14,7,2022-02-13T00:49:30Z,390000,-38.0,264.0,1,left,J. Embiid 26' 3PT  (7 PTS) (M. Thybulle 1 AST),"[203954, 1629680]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,26.72,Made,,,,,,,,,,,7.0,M. Thybulle,1629680.0,1.0,,,,
42,PT07M34.00S,2022-02-13T00:49:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,93.77463863337714,49.50980392156863,1610612739,14,9,2022-02-13T00:49:43Z,410000,-2.0,6.0,1,right,D. Garland driving finger roll Layup (7 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,0.65,Made,,,,,,,,,,,7.0,,,,,,,
