actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-22T00:10:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T00:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-22T00:10:57.2Z,1,REGULAR,jumpball,recovered,[],1627788,,,1610612755,0,0,2022-01-22T00:10:57Z,40000,,,0,,Jump Ball J. Embiid vs. I. Zubac: Tip to F. Korkmaz,"[1627788, 203954, 1627826]",1610612755.0,PHI,startperiod,F. Korkmaz,1627788.0,Korkmaz,F. Korkmaz,Embiid,203954.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-22T00:11:13.2Z,1,REGULAR,3pt,Jump Shot,[],1630198,70.38436268068331,74.01960784313727,1610612755,0,0,2022-01-22T00:11:18Z,70000,120.0,226.0,1,right,MISS I. Joe 25' 3PT,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-01-22T00:11:17.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-01-22T00:11:18Z,80000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-01-22T00:11:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629599,6.915243101182654,95.09803921568627,1610612746,0,0,2022-01-22T00:11:27Z,90000,-225.0,13.0,1,left,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-01-22T00:11:25.3Z,1,REGULAR,rebound,offensive,[],202704,,,1610612746,0,0,2022-01-22T00:11:25Z,100000,,,0,,R. Jackson REBOUND (Off:1 Def:0),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2022-01-22T00:11:33.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202694,21.76412614980289,47.794117647058826,1610612746,0,2,2022-01-22T00:11:39Z,110000,11.0,152.0,1,left,M. Morris Sr. 15' driving floating Jump Shot (2 PTS),[202694],1610612746.0,LAC,driving floating,,,Morris Sr.,M. Morris Sr.,,,,,15.25,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M05.00S,2022-01-22T00:11:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,83.78777923784494,62.745098039215684,1610612755,0,2,2022-01-22T00:11:56Z,120000,64.0,100.0,1,right,MISS T. Maxey 11' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,11.85,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2022-01-22T00:11:50.8Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,2,2022-01-22T00:11:56Z,130000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M47.00S,2022-01-22T00:12:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,5.995400788436268,63.725490196078425,1610612746,0,4,2022-01-22T00:12:10Z,140000,-69.0,4.0,1,left,R. Jackson 6' driving floating Jump Shot (2 PTS),[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,6.87,Made,,,,,2.0,,,,,,,,,,,,,
