actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-30T23:41:52.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T23:41:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-30T23:41:55.5Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2021-10-30T23:41:55Z,40000,,,0,,Jump Ball J. Embiid vs. C. Capela: Tip to T. Maxey,"[1630178, 203954, 203991]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-10-30T23:42:16.9Z,1,REGULAR,2pt,Jump Shot,[],202699,3.892904073587385,71.07843137254902,1610612755,0,0,2021-10-30T23:42:21Z,70000,-105.0,-16.0,1,left,MISS T. Harris 10' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,10.66,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2021-10-30T23:42:20.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-10-30T23:42:21Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-10-30T23:42:25.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629027,86.15308804204993,51.9607843137255,1610612737,0,2,2021-10-30T23:42:31Z,90000,10.0,78.0,1,right,T. Young 7' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,7.83,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M07.00S,2021-10-30T23:42:44.5Z,1,REGULAR,3pt,Jump Shot,[],202699,26.10052562417871,84.31372549019608,1610612755,0,2,2021-10-30T23:42:48Z,100000,-172.0,193.0,1,left,MISS T. Harris 25' pullup 3PT,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2021-10-30T23:42:46.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,2,2021-10-30T23:42:48Z,110000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT10M55.00S,2021-10-30T23:43:02.6Z,1,REGULAR,turnover,bad pass,[],1629631,,,1610612737,0,2,2021-10-30T23:45:15Z,120000,,,0,,D. Hunter bad pass TURNOVER (1 TO),"[1629631, 1630178]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,,
13,PT10M55.00S,2021-10-30T23:43:02.6Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,2,2021-10-30T23:43:04Z,130000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2021-10-30T23:43:05.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,6.652431011826544,46.81372549019608,1610612755,2,2,2021-10-30T23:43:44Z,140000,16.0,10.0,1,left,T. Maxey running DUNK (2 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,1.88,Made,,,,,2.0,,,,,,,,,,,,,,
