actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-18T23:10:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-18T23:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-18T23:11:00.0Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-18T23:11:00Z,40000,,,0,,Jump Ball J. Embiid vs. D. Powell: Tip to T. Maxey,"[1630178, 203954, 203939]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-18T23:11:15.5Z,1,REGULAR,3pt,Jump Shot,[],202699,74.29369250985545,84.31372549019608,1610612755,0,0,2022-03-18T23:11:21Z,70000,172.0,189.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-18T23:11:19.5Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,0,2022-03-18T23:11:21Z,80000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-03-18T23:11:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,7.670827858081481,55.88235294117647,1610612742,0,0,2022-03-18T23:11:48Z,90000,-29.0,20.0,1,left,MISS D. Powell cutting Layup,[203939],1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,3.53,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2022-03-18T23:11:42.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-03-18T23:11:44Z,100000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT10M58.00S,2022-03-18T23:11:58.6Z,1,REGULAR,2pt,Jump Shot,[],202699,95.58147174770039,26.470588235294116,1610612755,0,0,2022-03-18T23:12:03Z,110000,-118.0,-11.0,1,right,MISS T. Harris 11' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,11.81,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2022-03-18T23:12:01.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,0,2022-03-18T23:12:03Z,120000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M44.00S,2022-03-18T23:12:18.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2022-03-18T23:12:18Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2022-03-18T23:12:33.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,7.802233902759525,80.14705882352942,1610612742,0,0,2022-03-18T23:12:39Z,140000,-151.0,21.0,1,left,MISS L. Doncic 15' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,15.21,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M34.00S,2022-03-18T23:12:37.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-03-18T23:12:39Z,150000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
16,PT10M19.00S,2022-03-18T23:12:51.4Z,1,REGULAR,2pt,Jump Shot,[],1630178,93.34756898817345,84.55882352941177,1610612755,0,0,2022-03-18T23:12:56Z,160000,173.0,10.0,1,right,MISS T. Maxey 17' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,17.31,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M17.00S,2022-03-18T23:12:53.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,0,2022-03-18T23:12:56Z,170000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M03.00S,2022-03-18T23:13:07.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,23.04533508541394,65.19607843137254,1610612742,0,2,2022-03-18T23:13:12Z,180000,-76.0,164.0,1,left,J. Brunson 18' pullup Jump Shot (2 PTS) (D. Powell 1 AST),"[1628973, 203939]",1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,18.08,Made,,,,,2.0,D. Powell,203939.0,1.0,,,,,,,,,,,
20,PT09M46.00S,2022-03-18T23:13:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,89.6681997371879,49.754901960784316,1610612755,0,2,2022-03-18T23:13:30Z,200000,-1.0,45.0,1,right,MISS J. Harden driving Layup - blocked,"[201935, 1629029]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,4.46,Missed,,,,,,,,,Doncic,1629029.0,,,,,,,,,
21,PT09M46.00S,2022-03-18T23:13:24.8Z,1,REGULAR,block,,[],1629029,,,1610612755,0,2,2022-03-18T23:13:26Z,210000,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
